,bn_phrases,en_translated,Unnamed: 0
0,"ঝাউগড়া বাজার, ","Zhaugara Bazar,",
1,চাইন্দা ফরেস্ট অফিস সড়ক,Chanda Forest Office Road,
2,"মরিয়ম মেডিকেল, ","Maryam Medical,",
3,"নশরৎপুর, ","Nashratpur,",
4,"সাঈদ বেকারী, ","Saeed Baker,",
5,"বাড়ীভাদেরা সরকারী প্রাথমিক বিদ্যালয়, ","Home rent is Government Primary School,",
6,"কাখাংছড়ি, ","Kakhangchhari,",
7,"শিববাটি সড়ক, ","Shibbati road,",
8,"পেলাগাজী দিঘী মসজিদ রোড, হাইদচাকিয়া","Palagazi Dighi Mosque Road, Haidchakia",
9,"লালচাঁদপুর, ","Lalchandpur,",
10,"দনিয়া রোড, ","Donia Road,",
11,"বালুঘাট ঈদগাহ মাঠ, ","Balughat Eidgah Field,",
12,"হাজী আব্দুল মোনাফ সওদাগর এন্ড সন্স, ","Haji Abdul Monaf Saudagar & Sons,",
13,"সুগন্ধি, ","Aromatic,",
14,"মা ইলেকট্রনিক্স, ","Mother Electronics,",
15,"হাজারীবাগ ট্যানারি এলাকা, ","Hazaribagh Tannery Area,",
16,"ঈশ্বরদী পশু হাসপাতাল, ","Ishwardi Animal Hospital,",
17,"রামদাসেরবাগ, ","Ramdarsbagh,",
18,"জামিয়াতুল কুরআন মাদ্রাসা রোড, আমানবাজার","Jamiatul Quran Madrasa Road, Aman Bazar",
19,"সন্তষ জাহ্নবী উচ্চ বিদ্যালয়, ","Santha Jahnabi High School,",
20,"মেসার্স মুন্না ক্লথ স্টোর, ","Messrs. Munna Cloth Store,",
21,"বাঁশখালী, ","Bamboo,",
22,"আদিতমারী রেলওয়ে স্টেশন, ","Aditmari Railway Station,",
23,সামপুর রোড,Sampur Road,
24,"মুজিব লাইব্রেরি, ","Mujib Library,",
25,"মালিবাগ সুপার মার্কেট, ","Malibag Super Market,",
26,"আজিমপুর ছাপড়া মসজিদ রোড, ","Azimpur Printra Mosque Road,",
27,"মেসার্স যমুনা ফামের্সী, ","Messrs. Jamuna Famersi,",
28,"বঙ্গলতলী, ","Bangaltali,",
29,"রাস্তার মাথা, ","The head of the street,",
30,"চন্দ্রপুরি হোটেল, ","Chandrapuri Hotel,",
31,"চুনতি, ","Lime,",
32,"স্টার সিনেপ্লেক্স, মিরপুর, ","Star Cineplex, Mirpur,",
33,"গঙ্গারামপুর বাজার, ","Gangarampur Bazar,",
34,"নাগবাড়িয়া, ","Nagbariya,",
35,"ধোবাউড়া, ","Wash,",
36,"আশুগঞ্জ রেলওয়ে স্টেশন, ","Ashuganj Railway Station,",
37,"মা ফিলিং স্টেশন, ","Mother Filling Station,",
38,"ভেড়ামারা সড়ক, ","Veramara road,",
39,সেনবাগ রোড,Senbagh Road,
40,"সুইট সুপার হোটেল, ","Suite Super Hotel,",
41,"বাবরি জামে মসজিদ, ","Babri Jame Mosque,",
42,"শেখ কামাল আন্তর্জাতিক ক্রিকেট স্টেডিয়াম, গোপালগঞ্জ, ","Sheikh Kamal International Cricket Stadium, Gopalganj,",
43,"দক্ষিন আড়পাড়া জামে মসজিদ, ","South Arpara Jame Mosque,",
44,"বৈশাখী রেস্তোরাঁ এন্ড বিরিয়ানি হাউস, ","Baishakhi Restaurant & Biriyani House,",
45,"গজালিয়া, ","Gajalia,",
46,"পদুয়ার বাজার, ","Paduar Bazar,",
47,"বায়েজীদ বোস্তামী সড়ক, ","Bayazid Bostami Road,",
48,"বুড়িমাড়ী রেলওয়ে স্টেশন, ","Burimari Railway Station,",
49,"সালিম বাড়ি গলি, ","Salem Home Molley,",
50,"হুজুরপাড়া মসজিদ, ","Hujurpara Mosque,",
51,"আইডিয়াল কিন্ডারগার্টেন স্কুল, ","Ideal Kindergarten School,",
52,"বাংলাদেশ কৃষি ব্যাংক, লৌহজং শাখা, ","Bangladesh Agricultural Bank, Lohjong Branch,",
53,"বড় শাহাতলী, ","Large Shahatali,",
54,"অনিল বেকারী এন্ড কনফেকশনারী, ","Anil Bakery & Confectionary,",
55,"সোহেল মটরস সার্ভিস, ","Sohail Motors Service,",
56,"নোয়াগাঁপ, ","Noagang,",
57,"বালুরপাড়, ","Balurpara,",
58,"কিশোরগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স, ","Kishoreganj Upazila Health Complex,",
59,"সিটিব্যাংক, ","Citibank,",
60,বনানী সুপার মার্কেট সড়ক,Banani Super Market Road,
61,"শহীদনগর সড়ক, ","Shahidnagar Road,",
62,"উত্তর বাজার ব্রিজ, ","North Market Bridge,",
63,"শরৎনগর, ","Autumn city,",
64,"জোয়ারিয়া নালা এমদাদুল উলুম মাদ্রাসা, ","Jaria Nala Emdadul Ulum Madrasa,",
65,"হুজুরপাড়া ৬ নং গলি, ","Hujurpara No. 4 alley,",
66,"ফার্স্ট গেট, ","First Gate,",
67,"মিরপুর-১ বাস স্টপ, ","Mirpur-1 bus stop,",
68,"একোরেস্ট্রেট জামে মসজিদ, ","Ekorestrate Jame Mosque,",
69,"বাংলাদেশ ব্যাংকের অতিথিশালা, ","Husbandry of Bangladesh Bank,",
70,"সাগরপাড়া, ","Sagarpara,",
