bn_phrases
"হাজী মফিজুর রহমান জামের মসজিদ পাঠাগার, "
"আলমগঞ্জ, "
"চেয়ারম্যান বাড়ি আল-আমিন মসজিদ, "
"হুজুরপাড়া গলি, "
"জনতাবাগ উচ্চ বিদ্যালয়, "
"গাজী রশিদিয়া পাড়া শাহী জামে মসজিদ, "
"গারলস সকল রোড, "
"আইবিবিএল এটিএম, "
"বায়তুল মামুর মসজিদ গলি, "
"নাজ সু, "
নতন বাজার পশচিম পাড়া রোড
"বাইতুর রহমান জা‌মে মস‌জিদ, "
"কাঠপটটি রোড, "
"ঝিলপাড়, "
"পার্বতীপুর জংশন, "
"ডলুছড়া, "
রোড নং- ২
"জসিম উদ্দিন মেম্বার সড়ক, "
"মধুমতি সেতু, "
"চক্রিতি বাজার, "
মাদরাসা মসজিদ লেন
"বেতুয়া লঞ্চ ঘাট, "
বিয়াশ-বরগ্রাম-বামিহাল রোড
"ঈশা খা ভিনিউ, "
"শান্তি নীড়, "
"ফকিরাপুল সড়ক, "
কাজী নজরল ইসলাম রোড
"পালবাড়ী, "
"পাগলাপীর বাবার মাজার, "
"বাটা সু, "
"কালাচাঁদপুর, "
"পুরাতন এলিফ্যান্ট রোড, "
"বয়েজ সকল রোড, "
"দয়াগঞ্জ সড়ক, "
"নামচরি, "
"বীর উততম জিয়াউর রহমান সড়ক, "
"চাতরা, "
"আদর্শবাগ, "
"সানমুম কমিউনিটি সেন্টার, "
"সলতান বাড়ি গলি, "
"মীম ফিলিং স্টেশন, "
"মায়ের দোয়া ডেকারেটর, "
"বলক # সি সড়ক # ১২, "
"গোবিন্দিয়া, "
"গুচ্ছ গ্রাম আদর্শ বাজার, "
"বলিয়ারপুর, "
মৃধাপাড়া সড়ক
"ভঙ্গেরগাঁও, "
"উত্তরা এবিএম সিটি, "
কানার রাসতা
"পাইলট স্কুল জামে মসজিদ, "
"লোনেশ্বর বাজার, "
"দিরাই উপজেলা, "
"চয়াডাঙগা জেলা, "
"আরমানিটোলা, "
"খিরশিন এস. কে. উচ্চ বিদ্যালয়, "
"কুতুবদিয়া, "
"ইষ্টার্ণ ব্যাংক লিমিটেড এটিএম, "
"তেরোবারিয়া, "
"এবি ব্যাংক প্রশিক্ষণ একাডেমী, "
"বেগম রোকেয়া সরণী, "
"গাজীপর জেলা, "
"পূর্ব রসুলপুর ৫নং সড়ক, "
"শায়েসতা খান সড়ক, "
"শাহিরন মেডিকেল স্টোর, "
"সড়ক ৯০, "
"বীর শ্রেষ্ঠ চত্বর, "
"ধান গবেষণা সড়ক প্রথম গলি, "
"বাস্তা, "
"উত্তরা ব্যাংক, "
"দেওয়ান বাড়ির গলি, "
"বারুহাস, "
"সাকিব ছাত্রাবাস, "
"বিষ্ণুপুর, "
"মা ক্ষণিকালয়, "
ফটিকছড়ি থানা রোড এবং থানা মসজিদ রোড
"ধামইরহাট - জয়পুরহাট সড়ক, "
"দিঘিরপার পরিবহন কাউন্টার, "
"শিবালয়, "
"সিহাব পোল্ট্রি ফার্ম, "
"বংশাল সড়ক, "
"ডি বলক ৯ নং সড়ক, "
"বরগুনা চরকোলনী জামে মসজিদ, "
"ইসলাম নগর, "
"নাটেহরা, "
"যোগীপোল ইউনিয়ন পরিষদ, "
"জগন্নাথপুর সড়ক, "
"ফরিদাবাদ প্রধান সড়ক, "
"বরিশাল কেন্দ্রীয় কারাগার প্রস্তাবিত, "
"কাগাপাশা বাজার, "
"টিকাপাড়া, "
"জিরি, "
হাড়ীখালী টু তেরখাদা খুলনা রোড
"স্টেশন সড়ক, "
বিবিরহাট বাজার ক নামবার রোড
"পাহাড়তলী সিডিএ মার্কেট, "
"উত্তর মানিকদিয়া জামে মসজিদ, "
"কড়াইল, "
"ব্রাক ব্যাংক লিমিটেড, "
"হরণী, "
"কাসিমপুর, "
"ফাতেমা বস্র বিতান এন্ড টেইলর্স, "
"নবাবগঞ্জ বাজার গলি, "
"হাফেজী হজর গলি নং ১, "
"অভয় দাস লেন, "
"সাউথইস্ট ব্যাংক, "
"আব্দুল খালেক সুপার মার্কেট, "
"নবগ্রাম, "
"মেম্বার গলি, "
"বুক হাউজ, "
"দোয়েল চত্বর, "
"ফেজ ফার্মা, "
"কালীপুর, "
"খানেপুর, "
"গোলচককর, "
"মাদ্রাসা, "
"আফনান সিটি, "
"আমতলা রোড, "
"মুহুরী সেতু, "
"বেততলা, "
"রিয়াজ মামার দোকান, "
বিএফআইডিসি রোড
"বটতৈল ঈদগাহ মাঠ, "
"ডাচ বাংলা ব্যাংকের এটিএম, "
"পূর্ব গোড়ান, "
মিঠা পুকুর রোড
"শেখের জায়গা, "
"জয়পুরহাট, "
"বিলশা, "
"ব্র্যাক ব্যাংক বন্দর বুথ, "
"দাউদকান্দি ঈদগাহ ময়দান, "
"বলই, "
"বাগেরহাট জেলা, "
"ঢাকিরগাঁও, "
"সড়ক নং ২, "
"কড়ই, "
"রংপুর, "
"সৈয়দপুর বঙ্গবন্ধু উচ্চ বিদ্যালয়, "
"কায়েতপাড়া, "
"লালন শাহ্‌ মাজার, "
"হাসপাতাল জামে মসজিদ, "
"জামালপুর আদালত, "
"শ্রীকন্ঠপুর শেখপাড়া বড় পুকুর, "
"বাংলা মোটর ফুট ওভার ব্রিজ, "
"তালা, "
"বাইতুল কুদ্দুস জামে মসজিদ, "
"শাহীন-হোটেল, "
চাইনদা চরপাড়া সড়ক
"বেগম রোকেয়া গার্লস স্কুল অ্যান্ড কলেজ, "
"সুনামগঞ্জ, "
"িনাইদহ সদর উপজেলা, "
"র‍্যাব সিপিসি-৩, "
"ক্যাফে ঝিল, "
"স্টাফ হোটেল এবং রেস্টুরেন্ট, "
"নতুন মাদ্রাসা গলি, "
"কুমিল্লাপাড়া, "
"দীঘিনালা - লংগদ সড়ক, "
"আবল কাসেম রোড, "
"মদজিদ, "
"সার্কিট হাউজ, "
"দৌলতপর-সয়াগাজী রোড, "
"প্রজাপদ্দি, "
"টি এম আই হাই স্কুল, "
"নুরানী মসজিদ সড়ক, "
"শ্রী শ্রী ঠাকুর অনুকূল চন্দ্র স​ৎসঙ্গ আশ্রম আনোয়ারা, "
"উদয়পুর বাজার, "
"পূর্ব রসুলপুর ৭নং সড়ক, "
"আভ্যন্তরীণ টার্মিনাল, "
"জিরানী, "
ফরিদপর পরধান সড়ক
"মনখালী, "
"ফরিদপুর - রাজবাড়ী মহাসড়ক, "
"আখাউড়া, "
"খিলগাও সরকারি উচ্চ বিদ্যালয়, "
"মানব্জমিন, "
"বাজিতপুর, "
"চন্দ্রকান্দি, "
"শ্রীমঙ্গল, "
"ভাণ্ডারিয়া লঞ্চঘাট, "
দোহাজারী সড়ক সেতু
"নতন বিমানবনদর সড়ক, "
