en_phrases
"Excel Technology, "
Jogipol Road
"Goldar pharmacy, "
"Inatganj Road, "
"Sinthiya Shari Ghor, "
"Bonogram Girl's High School, "
"A-Tex Label BD Ltd, "
"Ahmed Villa, "
"Dept. of Architecture Building, "
"Bamihal Bus Stand, "
"aaaaaAl amine enterprise, "
"DESCO, "
Khilji Road
"Nandigram, "
"Erfan General Store, "
"Motaleb Sheikh tubewell, "
"hotel sat-tara, "
"Munsir hat Jame Mosjid., "
Kaji dewan bari Tero kandi kacha rasta
"Movenpick Hotel Sylhet, "
"Peyerabagh Jame Masjid, "
Sarangpur Road
"Nich Kata Sheikh Mujib Matir Kella, "
"Shymkhali Government Prinary School, "
"Atithi Hotel and Restarurent, "
"Robi Customers Care, "
"Ratandi Taltali, "
"Kharia Universal Temple, "
choukuni to khoralkati katcha road
"Hamejia Dakhil Madrasa, "
"DBBL ATM Booth, "
"Chechan Bazar, "
"House, "
Hare Street
"Local Market infront of Maddar House, "
"mother's care counseling center, "
"Camellia House, "
"Roni House, "
Haziganj-Ramganj Road
"Babu tea stall, "
"Agira N N CNG Filling Station, "
"North Tafal House Quraan Dinina Madrasa, "
"Ma Bilash, "
"Pres Club, "
"Fancy hair dresser salon, "
"Cox's Bazar Sadar Hospital, "
"Dhaka Standard School, "
"Suhuri Bridge Bazar, "
"Bala Para Railway Gate Waktia Masjid, "
"Deputy Comissioner Office, "
Road Dangmari to sunil's house
"Matikata Bazar, "
"Yousuf Pharmacy, "
"Katakhali, "
"ALIM TEA STALL, "
"Amir Tea Stal, "
"Kanaipur Telecom, "
Colonel Hat Bus Stop
"Maruf Departmental Store, "
"Plice Line Playground, "
"Kodomtola Primary School, "
"Nazumuddin Super Merket, "
"Basiruddin's house tube well, "
"Nijum Dwip Bidhaniketon Gov. School, "
Pacca road in front of Sohid Sordar house
"Mirpur Shaheen School, "
North Hazipur Road
"Pulia Bazar, "
"Ajgor Resthouse, "
"Shimanto Bank Limited, "
"Shatani Jame Mosque, "
"Sujana Square, "
"Hafis Uddin, "
"Aggrodut Eco Park, "
"Kushtia Mistanno Vandar, "
"Salam Biriyani House, "
"Elias Ahmed Chowdhury Degree College Playground, "
"Goushia Hotel and Restaurent, "
"NACTER JAME MOSQUE, "
"Dudhal Mow Esakia Al- Aman Jame Mosjid, "
obda badh
"Nowga Rice Shop, "
"Munsi house Jame Mosque, "
"Rifa Convention Center, "
"Afsar Memorial High School, "
"Elite Clinic, "
"Bildangi Jame masjid, "
"Abrar Cycle Store, "
Peyalawala Masjid Road
"Saleha Mall, "
"Siddeque Bekary, "
"Care & Cure Homio Hall, "
"Adiba Mobile Center, "
"M.T.C Tower, "
"City Alo banking for women, "
"Daogaon, "
"Wakil enterprise, "
"Sonali Bank Corp, "
"Mothurdanga Jame Mosjid, "
"Basic Tahura, "
"Shree Shree Loknath Temple, "
Kamrul Islam Road
"Jhorna Nir, "
"Md. Jahan girl Alam, "
"West Alaka Jame Mosque, "
J C Guha Road
"Madrasa Masjid, "
"Hargaz, "
"8 no WOrd Commissioner Office, "
"Hazrat Inayat Ullah Sah R Jamee Mosque, "
"Dokkhin Samudabad Vangga Khal Switch Get, "
Giojmohol Road
"Omerta, "
"The Kitchen, "
Morol Goli
Kopotakko school More
"D. Mohammad Enamul Haque Babhan, "
Char Balaki Rd
Kallyanpur Basspotti Road
"Sonadanga Bus Terminal, "
"Al-Hera medicine Corner, "
