,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4504,2343351880,893cf342317ffff,22.4732356,89.6175708,Mangla Upazila Health Complex,"Mangla Upazila Health Complex, Bagerhat District, Khulna Division, Bangladesh","বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ","Mangla Upazila Health Complex, ",,,,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['hospital'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
4582,3578047659,893cf341e2bffff,22.3707932,89.6434788,Joymoni Forest Office,"Joymoni Forest Office, ",,"Joymoni Forest Office, ",,,,বাংলাদেশ,খুলনা বিভাগ,housenumber,sameSource,['government'],[],Bangladesh,Khulna,Bagerhat,Mongla,Chila,0788084c4f27331c26023c1564256680
4591,3578049494,893cf341e2bffff,22.3704167,89.6442244,Joymoni Bazar,"Joymoni Bazar, ",,"Joymoni Bazar, ",,,,বাংলাদেশ,খুলনা বিভাগ,housenumber,sameSource,['marketplace'],[],Bangladesh,Khulna,Bagerhat,Mongla,Chila,0788084c4f27331c26023c1564256680
577,4410247093,893cf34200fffff,22.4826707,89.6009217,,"Bagerhat District, Khulna Division, Bangladesh","বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,,['PowerPac Economic Zone'],,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['government'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
952,4605820199,893cf35519bffff,22.5511584,89.6524528,,"Rampal Upazila, Bagerhat District, Khulna Division, Bangladesh","রামপাল উপজেলা, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,রামপাল উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Bagerhat,Rampal,Perikhali,b576ee1c649888b561cccebd7b55fee5
1186,5176022555,893cf341e67ffff,22.3673053,89.6428864,Forest Ghat,"Forest Ghat, Bagerhat District, Khulna Division, Bangladesh","বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ","Forest Ghat, ",,,,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Bagerhat,Mongla,ChandpaiRange,a9acae0b7a51899f709eaf805a82b809
1190,5176025011,893cf34231bffff,22.4696242,89.6144663,মংলা উপজেলা কেন্দ্রীয় মন্দির,"Bagerhat District, Khulna Division, Bangladesh","মংলা উপজেলা কেন্দ্রীয় মন্দির, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,"মংলা উপজেলা কেন্দ্রীয় মন্দির, ",,,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['place_of_worship'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
1193,5176041682,893cf341dcbffff,22.400343499999998,89.6555788,Baiddomari Bazar,"Baiddomari Bazar, Bagerhat District, Khulna Division, Bangladesh","বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ","Baiddomari Bazar, ",,,,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['supermarket'],[],Bangladesh,Khulna,Bagerhat,Mongla,ChandpaiRange,a9acae0b7a51899f709eaf805a82b809
1196,5176047212,893cf34230bffff,22.4689298,89.6147159,Roy Telecom রায় টেলি,"Roy Telecom, Bagerhat District, Khulna Division, Bangladesh","রায় টেলি, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['copyshop'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
1199,5176051801,893cf3423c3ffff,22.4717188,89.6054148,Bangladesh Hotel & Restaurant বাংলাদেশ হোটেল এন্ড রেঁস্তোরা,"Bangladesh Hotel & Restaurant, Bagerhat District, Khulna Division, Bangladesh","বাংলাদেশ হোটেল এন্ড রেঁস্তোরা, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['restaurant'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
