,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
878,2343347187,893cd4a5203ffff,22.0335498,89.9658496,Patharghata Upazila Health Complex,"Patharghata Upazila Health Complex, Pathorghata Subdistrict, Barguna District, Barishal Division, Bangladesh","পাথরঘাটা উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ","Patharghata Upazila Health Complex, ",,,পাথরঘাটা উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Barisal,Barguna,Patharghata,Paurashava,42aa51218affecc3150d6e87aae6b0e2
1017,2343347181,893cd5d3153ffff,22.1563767,90.1279307,Barguna General Hospital,"Barguna General Hospital, Barguna Sadar Subdistrict, Barguna District, Barishal Division, Bangladesh","বরগুনা সদর উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ","Barguna General Hospital, ",,,বরগুনা সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Barisal,Barguna,BargunaSadar,Paurashava,8955a1255859d5f783ab4ef6545219ed
1020,2343347182,893cf36080bffff,22.4135824,90.1601989,Betagi Upazila Health Complex,"Betagi Upazila Health Complex, Betagi Subdistrict, Barguna District, Barishal Division, Bangladesh","বেতাগী উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ","Betagi Upazila Health Complex, ",,,বেতাগী উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Barisal,Barguna,Betagi,Paurashava,415fe46cc63a3d9a74af941e3d290caa
1165,4380160493,893cd4a5063ffff,22.0488173,89.9761249,,"Pathorghata Subdistrict, Barguna District, Barishal Division, Bangladesh","পাথরঘাটা উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,"['BADC, Patharghata, Barguna']",পাথরঘাটা উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['seafood'],[],Bangladesh,Barisal,Barguna,Patharghata,Kalmegha,9b9adc16fd5d9daa5ab8bb28ee251718
1169,4380188190,893cd4ac54bffff,21.9613687,89.9662277,,"Pathorghata Subdistrict, Barguna District, Barishal Division, Bangladesh","পাথরঘাটা উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,['Haringhata Rederve Forest'],পাথরঘাটা উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['viewpoint'],[],Bangladesh,Barisal,Barguna,Patharghata,Patharghata,6af1fc878382be261e6f7ed456eb3fab
1187,4631096724,893cd4a5067ffff,22.0481775,89.9774118,,"Pathorghata Subdistrict, Barguna District, Barishal Division, Bangladesh","পাথরঘাটা উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,পাথরঘাটা উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Barisal,Barguna,Patharghata,Kalmegha,9b9adc16fd5d9daa5ab8bb28ee251718
1204,3603073509,893cd5d1247ffff,22.072635,90.1325147,Tube well,"Tube well, Taltali Subdistrict, Barguna District, Barishal Division, Bangladesh","তালতলি উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ","Tube well, ",,['logic_undp'],তালতলি উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['water_well'],[],Bangladesh,Barisal,Barguna,Amtali,PanchaKoralia,1c40b04c31c9a53382461b87c89dfb12
1224,4380157394,893cd5d31cbffff,22.1613343,90.1246302,,"Barguna Sadar Subdistrict, Barguna District, Barishal Division, Bangladesh","বরগুনা সদর উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,"['Sadhinota Chattor, Charcolony']",বরগুনা সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['attraction'],[],Bangladesh,Barisal,Barguna,BargunaSadar,Paurashava,8955a1255859d5f783ab4ef6545219ed
1227,4380157395,893cd5d3563ffff,22.1714897,90.1207954,,"Barguna Sadar Subdistrict, Barguna District, Barishal Division, Bangladesh","বরগুনা সদর উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,['Petrol Pump Barguna'],বরগুনা সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['fuel'],[],Bangladesh,Barisal,Barguna,BargunaSadar,Gaurichanna,faa1d2a8b1c10d483030acf0d7f3bd57
1230,4380157396,893cd5d310fffff,22.1596848,90.1376375,,"Barguna Sadar Subdistrict, Barguna District, Barishal Division, Bangladesh","বরগুনা সদর উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,['Stedium Bus Stand'],বরগুনা সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Barisal,Barguna,BargunaSadar,Paurashava,8955a1255859d5f783ab4ef6545219ed
1278,4590712294,893cd5da0a7ffff,22.059833,90.1126749,Ghat,"Ghat, Taltali Subdistrict, Barguna District, Barishal Division, Bangladesh","তালতলি উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ","Ghat, ",,['logic_undp'],তালতলি উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Barisal,Barguna,Amtali,ChhotaBagi,c1aed91dcf85ce84297faf4cc38008f5
1287,4719778500,893cd5d30afffff,22.1607003,90.120239,,"Barguna Sadar Subdistrict, Barguna District, Barishal Division, Bangladesh","বরগুনা সদর উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,['Barguna Bazar'],বরগুনা সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['beverages'],[],Bangladesh,Barisal,Barguna,BargunaSadar,Paurashava,8955a1255859d5f783ab4ef6545219ed
1290,4719778501,893cd5d31c3ffff,22.1627331,90.1247552,,"Barguna Sadar Subdistrict, Barguna District, Barishal Division, Bangladesh","বরগুনা সদর উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,['Moha Sarak Bridge'],বরগুনা সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['viewpoint'],[],Bangladesh,Barisal,Barguna,BargunaSadar,Paurashava,8955a1255859d5f783ab4ef6545219ed
1334,4988321721,893cd5d310bffff,22.1599026,90.1334079,BRTC Bus Counter,"BRTC Bus Counter, Barguna Sadar Subdistrict, Barguna District, Barishal Division, Bangladesh","বরগুনা সদর উপজেলা, বরগুনা জেলা, বরিশাল বিভাগ, বাংলাদেশ","BRTC Bus Counter, ",,['Dhaka Bus Station'],বরগুনা সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Barisal,Barguna,BargunaSadar,Paurashava,8955a1255859d5f783ab4ef6545219ed
