,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
544,1731369808,893cf01a233ffff,23.5264682,88.7971289,দর্শনা রেলওয়ে জংশন,"Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দর্শনা রেলওয়ে জংশন, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",,"দর্শনা রেলওয়ে জংশন, ",['Darshana Railway Junction'],দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,DarshanaPaurashava,10591cbf160b465144978d7efc91be93
550,2344160642,893cf0c4d5bffff,23.6142025,88.7627066,Damurhuda Upazila Health Complex,"Damurhuda Upazila Health Complex, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ","Damurhuda Upazila Health Complex, ",,,দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Damurhuda,5c4997ff6ceaabefefe21ab6fb517a09
560,2407514251,893cf01a01bffff,23.5462126,88.793689,Darsana Fire Station,"Darsana Fire Station, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ","Darsana Fire Station, ",,,দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['fire_station'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Howli,748178ad3ab8f03c2ab4e204f961aeaf
563,2407516743,893cf0c5c97ffff,23.5750446,88.7093807,কার্পাসডাঙ্গা ঈদগাহ,"Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","কার্পাসডাঙ্গা ঈদগাহ, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",,"কার্পাসডাঙ্গা ঈদগাহ, ",['Karpashdanga Eidgah'],দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
565,2407516860,893cf0c434bffff,23.57572,88.7101656,Karpashdanga Bus Stop,"Karpashdanga Bus Stop, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",Karpashdanga Bus Stop,,,দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
567,2407517144,893cf0c5c97ffff,23.5750361,88.7080558,Ajij Filling Station,"Ajij Filling Station, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ","Ajij Filling Station, ",,,দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['fuel'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
599,4747062822,893cf01a23bffff,23.5244359,88.7954735,Puraton Bazar Haat,"Puraton Bazar Haat, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ","Puraton Bazar Haat, ",,,দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,DarshanaPaurashava,10591cbf160b465144978d7efc91be93
601,4747062823,893cf0c5c93ffff,23.5749255,88.7053494,Karpasdanga Bazar,"Karpasdanga Bazar, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ","Karpasdanga Bazar, ",,,দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
603,4747062831,893cf0c423bffff,23.579497,88.7000325,কার্পাশডাঙ্গা নজরুল হাট,"Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","কার্পাশডাঙ্গা নজরুল হাট, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",,"কার্পাশডাঙ্গা নজরুল হাট, ",['Karpasdanga Nazrul Hat'],দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['museum'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
1295,232400128,893cf0c4837ffff,23.60338392,88.77749653,Damuhuda Pilot Girls high School,"Damuhuda Pilot Girls high School, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ","Damuhuda Pilot Girls high School, ",,,দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Damurhuda,5c4997ff6ceaabefefe21ab6fb517a09
1298,232400169,893cf0c495bffff,23.59842346,88.78303724,Wadud Shah Degree College,"Wadud Shah Degree College, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ","Wadud Shah Degree College, ",,,দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Howli,748178ad3ab8f03c2ab4e204f961aeaf
