,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2152,2333164536,893cc692dbbffff,23.6815145,90.7823232,Homna Upazila Health Complex,"Homna Upazila Health Complex, Homna, Cumilla District, Chattogram Division, Bangladesh","কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Homna Upazila Health Complex, ",,,Homna,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Chittagong,Comilla,Homna,HomnaPaurashava,6ee6cd21be285790013d80c06a802dcd
2234,2382257863,893cc691b57ffff,23.5295846,90.7830709,Daudkandi Upazila Health Complex,"Daudkandi Upazila Health Complex, Daudkandi, Cumilla District, Chattogram Division, Bangladesh","কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Daudkandi Upazila Health Complex, ",,,Daudkandi,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Chittagong,Comilla,Daudkandi,Gauripur,778b38aa7539fbaf716d93507af4016f
2627,3658575967,893cc691b3bffff,23.5305804,90.7924108,Amirabad Bus Stop,"Amirabad Bus Stop, Daudkandi, Cumilla District, Chattogram Division, Bangladesh","কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Amirabad Bus Stop,,,Daudkandi,বাংলাদেশ,চট্টগ্রাম বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Chittagong,Comilla,Daudkandi,Gauripur,778b38aa7539fbaf716d93507af4016f
2668,4161598524,893cc691357ffff,23.5308891,90.7132001,Daudkandi Toll Plaza,"Daudkandi Toll Plaza, Daudkandi, Cumilla District, Chattogram Division, Bangladesh","কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Daudkandi Toll Plaza, ",,,Daudkandi,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['toll_booth'],[],Bangladesh,Chittagong,Comilla,Daudkandi,DaudkandiPaurashava,7d5a98225db5788b0dbbacee16a6b68b
2697,4519284490,893cc692d83ffff,23.6823573,90.7783274,,"Homna, Cumilla District, Chattogram Division, Bangladesh","কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,['Homna govt primary school'],Homna,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Chittagong,Comilla,Homna,HomnaPaurashava,6ee6cd21be285790013d80c06a802dcd
2703,4525501601,893cc692d87ffff,23.6838173,90.7798074,,"Homna, Cumilla District, Chattogram Division, Bangladesh","কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,['Homna Thana'],Homna,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['police'],[],Bangladesh,Chittagong,Comilla,Homna,HomnaPaurashava,6ee6cd21be285790013d80c06a802dcd
2745,4639624197,893cc69138bffff,23.5404061,90.71445,,"Daudkandi, Cumilla District, Chattogram Division, Bangladesh","কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Daudkandi,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Chittagong,Comilla,Daudkandi,UttarDaudkandi,4831157d179c96a15934fb9502b5f6b3
2751,4639624199,893cc691383ffff,23.5410593,90.7141905,,"Daudkandi, Cumilla District, Chattogram Division, Bangladesh","কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Daudkandi,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Chittagong,Comilla,Daudkandi,UttarDaudkandi,4831157d179c96a15934fb9502b5f6b3
2759,4704652799,893cc692d87ffff,23.6837208,90.7795026,,,,,,['M/S Khorshed Traders'],Homna,বাংলাদেশ,চট্টগ্রাম বিভাগ,housenumber,sameSource,['beauty_salon'],[],Bangladesh,Chittagong,Comilla,Homna,HomnaPaurashava,6ee6cd21be285790013d80c06a802dcd
2764,4704669189,893cc692d87ffff,23.6823639,90.7790897,,"Homna, Cumilla District, Chattogram Division, Bangladesh","কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,['Adv.Sazib House'],Homna,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['lawyer'],[],Bangladesh,Chittagong,Comilla,Homna,HomnaPaurashava,6ee6cd21be285790013d80c06a802dcd
