,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2766,368385475,893cde8ad23ffff,20.7683959,92.3363376,ShahPorir Dwip Ferry Terminal,"ShahPorir Dwip Ferry Terminal, Cox's Bazar District, Chattogram Division, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","ShahPorir Dwip Ferry Terminal, ",,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['ferry_terminal'],[],Bangladesh,Chittagong,Cox'SBazar,Teknaf,Sabrang,64a25e8d9b06df7f7c5db488e725e13c
2789,5121901803,893cde804cfffff,20.8664738,92.301241,,"Cox's Bazar District, Chattogram Division, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['marketplace'],[],Bangladesh,Chittagong,Cox'SBazar,Teknaf,TeknafPaurashava,442b519db114320831413a6e8f4f6eab
2791,5878253188,893cde8ad03ffff,20.7679057,92.3264145,Monjur Cloth Store,"Monjur Cloth Store, Cox's Bazar District, Chattogram Division, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Monjur Cloth Store, ",,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['mall'],[],Bangladesh,Chittagong,Cox'SBazar,Teknaf,Sabrang,64a25e8d9b06df7f7c5db488e725e13c
2792,5878259834,893cde8ad03ffff,20.7687413,92.3258847,Rashed Telecom,"Rashed Telecom, Cox's Bazar District, Chattogram Division, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Rashed Telecom, ",,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['mobile_phone'],[],Bangladesh,Chittagong,Cox'SBazar,Teknaf,Sabrang,64a25e8d9b06df7f7c5db488e725e13c
2793,5883396226,893cde8ad23ffff,20.7681916,92.3362141,Shahparirdwip LGED Guest House,"Shahparirdwip LGED Guest House, Cox's Bazar District, Chattogram Division, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Shahparirdwip LGED Guest House, ",,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['guest_house'],[],Bangladesh,Chittagong,Cox'SBazar,Teknaf,Sabrang,64a25e8d9b06df7f7c5db488e725e13c
2794,5883797695,893cde8110fffff,20.8038004,92.3177318,Lafar Ghona Jame Mosjid,"Lafar Ghona Jame Mosjid, Cox's Bazar District, Chattogram Division, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Lafar Ghona Jame Mosjid, ",,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Chittagong,Cox'SBazar,Teknaf,Sabrang,64a25e8d9b06df7f7c5db488e725e13c
2795,5883818245,893cde8113bffff,20.8068894,92.3211893,Noya Para Jame Masjid,"Noya Para Jame Masjid, Cox's Bazar District, Chattogram Division, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Noya Para Jame Masjid, ",,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Chittagong,Cox'SBazar,Teknaf,Sabrang,64a25e8d9b06df7f7c5db488e725e13c
2796,5884494340,893cde81103ffff,20.8071133,92.3134856,Azizia electronic & engineering market,"Azizia electronic & engineering market, Cox's Bazar District, Chattogram Division, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Azizia electronic & engineering market, ",,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['marketplace'],[],Bangladesh,Chittagong,Cox'SBazar,Teknaf,Sabrang,64a25e8d9b06df7f7c5db488e725e13c
2797,5886976757,893cde81113ffff,20.8084718,92.3125298,Noapara Bazar (নোয়াপাড়া বাজার),"Noapara Bazar, Cox's Bazar District, Chattogram Division, Bangladesh","নোয়াপাড়া বাজার, কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['marketplace'],[],Bangladesh,Chittagong,Cox'SBazar,Teknaf,Sabrang,64a25e8d9b06df7f7c5db488e725e13c
2798,5895495519,893cde8118bffff,20.8117106,92.3106614,M/S Aklima General Store,"M/S Aklima General Store, Cox's Bazar District, Chattogram Division, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","M/S Aklima General Store, ",,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['marketplace'],[],Bangladesh,Chittagong,Cox'SBazar,Teknaf,Sabrang,64a25e8d9b06df7f7c5db488e725e13c
