,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
584,2571296118,893c1bae3abffff,25.6458795,88.7758409,চিরিরবন্দর,"Dinajpur District, Rangpur Division, Bangladesh","চিরিরবন্দর, দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,"চিরিরবন্দর, ",['Chirirbandar'],,বাংলাদেশ,রংপুর বিভাগ,admin2,boundaries,['railway_station'],[],Bangladesh,Rangpur,Dinajpur,Chirirbandar,Abdulpur,ec7cd93b9e84659ceebc99bdaae1648b
626,5104644462,893c1ba661bffff,25.800113,88.7682779,,"Khansama, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Khansama,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['supermarket'],[],Bangladesh,Rangpur,Dinajpur,Khansama,Bhabki,fd58507d64d91dad1100ac285688983b
628,5104644464,893c1ba661bffff,25.8000164,88.7684603,,"Khansama, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Khansama,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Dinajpur,Khansama,Bhabki,fd58507d64d91dad1100ac285688983b
630,5104644465,893c1ba661bffff,25.8000261,88.7683315,,"Khansama, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Khansama,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Rangpur,Dinajpur,Khansama,Bhabki,fd58507d64d91dad1100ac285688983b
634,5105820387,893c19795c7ffff,25.9832521,88.7052122,,"Birganj, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Birganj,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Rangpur,Dinajpur,Birganj,Shatagram,09fbe00eaf09cad0e04ed9190d8a279a
635,5105895576,893c1979057ffff,25.955525,88.7015523,,"Birganj, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Birganj,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Rangpur,Dinajpur,Birganj,Mohanpur,5dc7f543ab30e3762790fcd4f8f452ed
674,5127854072,893c1ba766bffff,25.7399306,88.740366,foot ferry,"foot ferry, Dinajpur, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ","foot ferry, ",,,Dinajpur,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Rangpur,Dinajpur,DinajpurSadar,Sundarban,7d2d0c53b84b294e39c85fbf731cf31a
680,5127854073,893c1ba766bffff,25.740011,88.7395577,foot ferry,"foot ferry, Dinajpur, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ","foot ferry, ",,,Dinajpur,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Rangpur,Dinajpur,DinajpurSadar,Sundarban,7d2d0c53b84b294e39c85fbf731cf31a
724,5154770240,893c1ba0aa7ffff,25.6947575,88.7264496,pedestrian ferry,"pedestrian ferry, Dinajpur, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ","pedestrian ferry, ",,,Dinajpur,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Rangpur,Dinajpur,DinajpurSadar,Fazilpur,057ddbb1925eafc13f649a7263d6dc14
742,5203684909,893c1bb20c7ffff,25.8643578,88.491161,Bokultala Bazar বকুলতলা বাজার,"Bokultala Bazar, Bochaganj, Dinajpur District, Rangpur Division, Bangladesh","বকুলতলা বাজার, দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Bochaganj,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Dinajpur,Bochaganj,Ishania,85e63aad229493b7b6e5f20bf77d4711
744,5154770241,893c1ba086bffff,25.6951473,88.7262378,pedestrian ferry,"pedestrian ferry, Dinajpur, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ","pedestrian ferry, ",,,Dinajpur,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Rangpur,Dinajpur,DinajpurSadar,Fazilpur,057ddbb1925eafc13f649a7263d6dc14
750,5203780781,893c1949e07ffff,25.8566506,88.4112167,"Futkibari Hat, Bochaganj, Dinajpur","Futkibari Hat Bochaganj Dinajpur, Bochaganj, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ","Futkibari Hat Bochaganj Dinajpur, ",,,Bochaganj,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Dinajpur,Bochaganj,Nafanagar,24c460a0b72bf8f0c184643a24c93b56
753,5203786305,893c1949e07ffff,25.8568551,88.4108921,"Rejul Tea Hotel, Futkibari রেজুল চা হোটেল, ফুটকিবাড়ী","Rejul Tea Hotel Futkibari, Bochaganj, Dinajpur District, Rangpur Division, Bangladesh","রেজুল চা হোটেল ফুটকিবাড়ী, দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Bochaganj,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Dinajpur,Bochaganj,Nafanagar,24c460a0b72bf8f0c184643a24c93b56
888,5199777936,893c1ba7193ffff,25.7739227,88.779132,"গ্রামীণ ব্যাংক, নসরতপুর শাখা","Dinajpur District, Rangpur Division, Bangladesh","গ্রামীণ ব্যাংক নসরতপুর শাখা, দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,"গ্রামীণ ব্যাংক নসরতপুর শাখা, ","['Grameen Bank,Nasratpur Branch']",,বাংলাদেশ,রংপুর বিভাগ,admin2,boundaries,['bank'],[],Bangladesh,Rangpur,Dinajpur,Chirirbandar,Nasratpur,d22e2db88a02c83cf6ee6d0b9f2f9475
911,7757193547,893c1bb32b3ffff,25.8006364,88.4593609,সেতাবগঞ্জ রেল ষ্টেশন,"Bochaganj, Dinajpur District, Rangpur Division, Bangladesh","সেতাবগঞ্জ রেল ষ্টেশন, দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,"সেতাবগঞ্জ রেল ষ্টেশন, ",,Bochaganj,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rangpur,Dinajpur,Bochaganj,SetabganjPaurashava,21886429efdcbd319c9a8fff4bf3a65c
928,9529713026,893c1bb1553ffff,25.7770663,88.4916718,,"Bochaganj, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,,['আটগাঁও মন্ডলপাড়া জামে মসজিদ'],Bochaganj,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rangpur,Dinajpur,Bochaganj,Atgaon,ad244ff9982a80d1f7e2c58ba084ff7d
936,5227736502,893c1bad333ffff,25.5414285,88.7724833,mouchak hotel and restaurant মৌচাক হোটেল এবং রেস্টুরেন্ট,"mouchak hotel and restaurant, Dinajpur District, Rangpur Division, Bangladesh","মৌচাক হোটেল এবং রেস্টুরেন্ট, দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,রংপুর বিভাগ,admin2,boundaries,['restaurant'],[],Bangladesh,Rangpur,Dinajpur,Chirirbandar,Punatti,b265ced3d993e514fb1f73bcb30a00ff
939,5227737079,893c1bad00fffff,25.552521,88.7496919,Laxmitola Bazar লক্ষীতলা বাজার,"Laxmitola Bazar, Dinajpur, Dinajpur District, Rangpur Division, Bangladesh","লক্ষীতলা বাজার, দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Dinajpur,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Dinajpur,DinajpurSadar,Shankarpur,ff66e60c4abcbd359f170ccaae6dd11d
941,5227738908,893c1bad00fffff,25.5521532,88.7498834,Babur Hotel,"Babur Hotel, Dinajpur, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ","Babur Hotel, ",,,Dinajpur,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Dinajpur,DinajpurSadar,Shankarpur,ff66e60c4abcbd359f170ccaae6dd11d
943,5227739882,893c1baf217ffff,25.5881842,88.7123178,"Panchbari Bazar, Dinajpur","Panchbari Bazar Dinajpur, Dinajpur, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ","Panchbari Bazar Dinajpur, ",,"['পাঁচবাড়ী বাজার, দিনাজপুর']",Dinajpur,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Dinajpur,DinajpurSadar,Shashara,3a25c055709f20a4390c88768ff866f7
944,5227750077,893c1baf6b7ffff,25.6072717,88.700464,রাজাপুকুর বাজার,"Dinajpur, Dinajpur District, Rangpur Division, Bangladesh","রাজাপুকুর বাজার, দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",,"রাজাপুকুর বাজার, ","['রাজাপুকুর বাজার', 'Rajapukur bazzer']",Dinajpur,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Dinajpur,DinajpurSadar,Shashara,3a25c055709f20a4390c88768ff866f7
983,5372864337,893c1b3202bffff,25.4985477,88.7208372,,,,,,,,,,,boundaries,['gate'],[],Bangladesh,Rangpur,Dinajpur,DinajpurSadar,Shankarpur,ff66e60c4abcbd359f170ccaae6dd11d
