,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4514,2344154848,893cf3965cfffff,23.3927365,89.6848321,Boalmari Upazila Health Complex,"Boalmari Upazila Health Complex, Boalmari, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Boalmari Upazila Health Complex, ",,,Boalmari,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Dhaka,Faridpur,Boalmari,BoalmariPaurashava,49e1531db91eecb143d3d09c870eceed
4517,2344158202,893cf0251a7ffff,23.5447204,89.6295835,Madhukhali Upazila Health Complex,"Madhukhali Upazila Health Complex, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Madhukhali Upazila Health Complex, ",,,Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
4530,2577331355,893cf025cd3ffff,23.5467521,89.6307076,মধুখালী,"Madhukhali, Faridpur District, Dhaka Division, Bangladesh","মধুখালী, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,"মধুখালী, ",['Madhukhali'],Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
4533,2577347608,893cf396557ffff,23.3898014,89.687563,বোয়ালমারী,"Boalmari, Faridpur District, Dhaka Division, Bangladesh","বোয়ালমারী, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,"বোয়ালমারী, ",['Boalmari'],Boalmari,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Dhaka,Faridpur,Boalmari,BoalmariPaurashava,49e1531db91eecb143d3d09c870eceed
1151,5175794223,893cf0251bbffff,23.5440547,89.6226257,Madhukhali Bazar kali Bari,"Madhukhali Bazar kali Bari, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Madhukhali Bazar kali Bari, ",,,Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['variety_store'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
1158,5175812228,893cf0251a3ffff,23.5435958,89.6264884,Madhukhali Bazar,"Madhukhali Bazar, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Madhukhali Bazar, ",,,Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
1163,5175817466,893cf0251afffff,23.543327,89.6266149,Janany Telecom জননী টেলিকম,"Janany Telecom, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","জননী টেলিকম, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['mobile_phone'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
1167,5175820203,893cf025cdbffff,23.5427946,89.6300518,Uzzal Store উজ্জ্বল ষ্টোর,"Uzzal Store, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","উজ্জ্বল ষ্টোর, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['mall'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
1168,5175821024,893cf0251afffff,23.5426517,89.6279104,,"Madhukhali, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
1172,5175825535,893cf025cdbffff,23.5424955,89.630158,Madhukhali Bus Stop মধুখালী বাস স্টপ,"Madhukhali Bus Stop, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","মধুখালী বাস স্টপ, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
1175,5175826362,893cf025cdbffff,23.5422948,89.6305175,LIHAN TELECOM & ELECTRIC,"LIHAN TELECOM & ELECTRIC, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","LIHAN TELECOM & ELECTRIC, ",,,Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['electronics'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
1179,5175842964,893cf02592fffff,23.5327567,89.6993239,বোয়ালিয়া,"Madhukhali, Faridpur District, Dhaka Division, Bangladesh","বোয়ালিয়া, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,বোয়ালিয়া,,Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Raipur,4558cc8510e496c5e5b5fd22f0fe80f1
1353,5217431177,893cf3955bbffff,23.2962222,89.6878491,Nagorkanda Mosque,"Nagorkanda Mosque, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Nagorkanda Mosque, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Dhaka,Faridpur,Alfadanga,Buraich,2d650b3699afa2aae0d7b8e7da3a98fa
1358,5217461962,893cf39466bffff,23.300351,89.6952244,Buraich Jame Mosque,"Buraich Jame Mosque, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Buraich Jame Mosque, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Dhaka,Faridpur,Alfadanga,Buraich,2d650b3699afa2aae0d7b8e7da3a98fa
1426,5233397291,893cf3955bbffff,23.2956925,89.6873279,Nagarkanda Primary School,"Nagarkanda Primary School, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Nagarkanda Primary School, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Dhaka,Faridpur,Alfadanga,Buraich,2d650b3699afa2aae0d7b8e7da3a98fa
1430,5233397539,893cf39466bffff,23.2998447,89.6946658,Buraich Primary School,"Buraich Primary School, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Buraich Primary School, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Dhaka,Faridpur,Alfadanga,Buraich,2d650b3699afa2aae0d7b8e7da3a98fa
