,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
734,1932290199,893cc639c87ffff,23.0268735,91.3841083,,"Feni, Feni District, Chattogram Division, Bangladesh","ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['lift_gate'],[],Bangladesh,Chittagong,Feni,FeniSadar,Dharmapur,9cfa7dc8686a7e5086e446579e3dd7fc
743,2334074205,893cc6763cfffff,22.938362,91.3104378,দাগনভূঁইয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,"Dagonbhuiyan, Feni District, Chattogram Division, Bangladesh","দাগনভূঁইয়া উপজেলা স্বাস্থ্য কমপ্লেক্স, ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,"দাগনভূঁইয়া উপজেলা স্বাস্থ্য কমপ্লেক্স, ",['Daganbhuiyan Upazila Health Complex'],Dagonbhuiyan,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Chittagong,Feni,Daganbhuiyan,DaganbhuiyanPaurashava,d33d8af48078de49801b7c7ceed02824
753,2813223517,893cc639883ffff,23.0110161,91.3978614,ফেনী মডেল থানা,"Feni, Feni District, Chattogram Division, Bangladesh","ফেনী মডেল থানা, ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,"ফেনী মডেল থানা, ",['Feni Model Thana'],Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['police'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
756,2813483663,893cc639883ffff,23.0107581,91.3988221,ফেনী কোর্ট মসজিদ,"Feni, Feni District, Chattogram Division, Bangladesh","ফেনী কোর্ট মসজিদ, ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,"ফেনী কোর্ট মসজিদ, ",['Feni Court Mosjid'],Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
758,2813484873,893cc639893ffff,23.0127105,91.3967387,সোনালী ব্যাংক,"Feni, Feni District, Chattogram Division, Bangladesh","সোনালী ব্যাংক, ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,"সোনালী ব্যাংক, ",['Sonali Bank'],Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
759,2813486108,893cc639893ffff,23.0135852,91.3943863,Pathabari Mosjid,"Pathabari Mosjid, Feni, Feni District, Chattogram Division, Bangladesh","ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Pathabari Mosjid, ",,,Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
762,2813487838,893cc639c83ffff,23.0276768,91.380331,Feni Technical School and College,"Feni Technical School and College, Feni, Feni District, Chattogram Division, Bangladesh","ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Feni Technical School and College, ",,,Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
765,3448164503,893cc639893ffff,23.0125122,91.3969169,কৃষি ব্যাংক,"Feni, Feni District, Chattogram Division, Bangladesh","কৃষি ব্যাংক, ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,"কৃষি ব্যাংক, ","['কৃষি ব্যাংক', 'Krishi']",Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
768,3448775924,893cc639893ffff,23.0131126,91.3961823,Food Garden,"Food Garden, Feni, Feni District, Chattogram Division, Bangladesh","ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Food Garden, ",,,Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
770,3451499884,893cc63988bffff,23.0081138,91.3994115,,"Feni, Feni District, Chattogram Division, Bangladesh","ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['beauty_salon'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
774,3451518103,893cc639883ffff,23.0105943,91.398923,,"Feni, Feni District, Chattogram Division, Bangladesh","ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['bookshop'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
797,4829545427,893cc639c73ffff,23.0134864,91.3869662,,,,,,['Rafique Company House'],Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,housenumber,sameSource,['attraction'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
933,5127615800,893cc63828fffff,23.0411888,91.3638417,ASC Bus Stop,"ASC Bus Stop, Feni, Feni District, Chattogram Division, Bangladesh","ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",ASC Bus Stop,,,Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Chittagong,Feni,FeniSadar,Sarishadi,f1055e28402a49f0f3d5022909972aa6
937,5127644699,893cc639c4fffff,23.0097178,91.3813563,,"Feni, Feni District, Chattogram Division, Bangladesh","ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
939,5127650617,893cc639c4fffff,23.0089617,91.3822422,মহিপাল- চট্টগ্রাম বাস স্টপ,"Feni, Feni District, Chattogram Division, Bangladesh","মহিপাল- চট্টগ্রাম বাস স্টপ, ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,"মহিপাল- চট্টগ্রাম বাস স্টপ, ",['Mohipal-Chittagong Bus Stop মহিপাল- চট্টগ্রাম বাস স্টপ'],Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
944,5127651740,893cc639c4fffff,23.0095044,91.3817199,সিএসডি ফেনী বাস স্টপ,"CSD Feni Bus Stop, Feni, Feni District, Chattogram Division, Bangladesh","সিএসডি ফেনী বাস স্টপ, ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,"সিএসডি ফেনী বাস স্টপ, ",['CSD Feni Bus Stop'],Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
948,5127659602,893cc639c4fffff,23.0090247,91.3822053,,"Feni, Feni District, Chattogram Division, Bangladesh","ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
953,5127669755,893cc639857ffff,22.9999438,91.3967661,Kader Store & Tea stall কাদের দোকান ও চা স্টল Tea Store,"Kader Store & Tea stall Tea Store, Feni, Feni District, Chattogram Division, Bangladesh","কাদের দোকান ও চা স্টল, ফেনী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Feni,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['tea'],[],Bangladesh,Chittagong,Feni,FeniSadar,FeniPaurashava,1a7c4ff9213729b6553e11dd9c8ecc3c
