,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4730,2332802124,893ce647173ffff,25.3894271,89.4689775,Shadullahpur Upazila Health Complex,"Shadullahpur Upazila Health Complex, Sadullapur Subdistrict, Gaibandha District, Rangpur Division, Bangladesh","সাদুল্লাপুর উপজেলা, গাইবান্ধা জেলা, রংপুর বিভাগ, বাংলাদেশ","Shadullahpur Upazila Health Complex, ",,,সাদুল্লাপুর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Rangpur,Gaibandha,Sadullapur,KumarPara,78491e3ff2ddfbe16f696e03d4b07dca
4788,2571223722,893ce656ba7ffff,25.533746,89.4456638,বামনডাঙ্গা,"Gaibandha District, Rangpur Division, Bangladesh","বামনডাঙ্গা, গাইবান্ধা জেলা, রংপুর বিভাগ, বাংলাদেশ",,"বামনডাঙ্গা, ",['Bamandanga'],,বাংলাদেশ,রংপুর বিভাগ,admin2,boundaries,['railway_station'],[],Bangladesh,Rangpur,Gaibandha,Sundarganj,Bamandanga,66446a5c0747e77e918dbbe497af6f55
4868,2879917565,893ce656b77ffff,25.5232674,89.4404885,Katgora Bazar,"Katgora Bazar, Gaibandha District, Rangpur Division, Bangladesh","গাইবান্ধা জেলা, রংপুর বিভাগ, বাংলাদেশ",Katgora Bazar,,,,বাংলাদেশ,রংপুর বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rangpur,Gaibandha,Sundarganj,Bamandanga,66446a5c0747e77e918dbbe497af6f55
4871,3370070833,893ce654bafffff,25.4817052,89.4739586,নলডাঙ্গা,"Sadullapur Subdistrict, Gaibandha District, Rangpur Division, Bangladesh","নলডাঙ্গা, সাদুল্লাপুর উপজেলা, গাইবান্ধা জেলা, রংপুর বিভাগ, বাংলাদেশ",,"নলডাঙ্গা, ","['নলডাঙ্গা রেলওয়ে স্টেশন', 'নলডাঙ্গা', 'Naldanga Rail Station']",সাদুল্লাপুর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rangpur,Gaibandha,Sadullapur,Naldanga,5f3e0da01d72c7c4cf42d9e0d099281b
4875,3370268742,893ce646153ffff,25.4402522,89.4958403,কামারপাড়া,"Sadullapur Subdistrict, Gaibandha District, Rangpur Division, Bangladesh","কামারপাড়া, সাদুল্লাপুর উপজেলা, গাইবান্ধা জেলা, রংপুর বিভাগ, বাংলাদেশ",,"কামারপাড়া, ","['কামারপাড়া রেলওয়ে স্টেশন', 'কামারপাড়া', 'Kamarpara Rail Station']",সাদুল্লাপুর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rangpur,Gaibandha,Sadullapur,KumarPara,78491e3ff2ddfbe16f696e03d4b07dca
4892,3370277852,893ce646153ffff,25.4405333,89.4951158,Kamarpara Bazar,"Kamarpara Bazar, Sadullapur Subdistrict, Gaibandha District, Rangpur Division, Bangladesh","সাদুল্লাপুর উপজেলা, গাইবান্ধা জেলা, রংপুর বিভাগ, বাংলাদেশ","Kamarpara Bazar, ",,['কামারপাড়া বাজার'],সাদুল্লাপুর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Gaibandha,Sadullapur,KumarPara,78491e3ff2ddfbe16f696e03d4b07dca
4896,3370355554,893ce64645bffff,25.4452808,89.4535288,Kantanagar hat,"Kantanagar hat, Sadullapur Subdistrict, Gaibandha District, Rangpur Division, Bangladesh","সাদুল্লাপুর উপজেলা, গাইবান্ধা জেলা, রংপুর বিভাগ, বাংলাদেশ","Kantanagar hat, ",,['কান্তানাগর হাট'],সাদুল্লাপুর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Gaibandha,Sadullapur,Damodarpur,2395a7ac5c04961290a44ead5c5961a6
4900,3370367357,893ce646477ffff,25.448979,89.4667307,Damodorpur Hat,"Damodorpur Hat, Sadullapur Subdistrict, Gaibandha District, Rangpur Division, Bangladesh","সাদুল্লাপুর উপজেলা, গাইবান্ধা জেলা, রংপুর বিভাগ, বাংলাদেশ","Damodorpur Hat, ",,['দামোদরপুর হাঁট'],সাদুল্লাপুর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Gaibandha,Sadullapur,Damodarpur,2395a7ac5c04961290a44ead5c5961a6
2197,5190007874,893cf5b33bbffff,25.0734385,89.375321,Chaprigonj Bazar চাপড়িগঞ্জ বাজার,"Chaprigonj Bazar, Gobindaganj, Gaibandha District, Rangpur Division, Bangladesh","চাপড়িগঞ্জ বাজার, গাইবান্ধা জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Gobindaganj,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Gaibandha,Gobindaganj,Kamardaha,b626ac93b99cbfc1927692e0ca666625
2203,5190038663,893cf5b3103ffff,25.0902843,89.3818067,Fashitola Bazar,"Fashitola Bazar, Gobindaganj, Gaibandha District, Rangpur Division, Bangladesh","গাইবান্ধা জেলা, রংপুর বিভাগ, বাংলাদেশ","Fashitola Bazar, ",,,Gobindaganj,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Gaibandha,Gobindaganj,Kamardaha,b626ac93b99cbfc1927692e0ca666625
