,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4525,2523331726,893cf382ad7ffff,23.1949309,89.6934217,Kalna Ferry Terminal,"Kalna Ferry Terminal, Kasiani, Gopalganj District, Dhaka Division, Bangladesh","গোপালগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","Kalna Ferry Terminal, ",,,Kasiani,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Ratail,48971f11519d86cbfa4172c63533241e
4527,2523332143,893cf382ad3ffff,23.1941415,89.6897868,Kalna Ferry Terminal,"Kalna Ferry Terminal, Lohagora Upazila, Narail District, Khulna Division, Bangladesh","লোহাগড়া উপজেলা, নড়াইল জেলা, খুলনা বিভাগ, বাংলাদেশ","Kalna Ferry Terminal, ",,,লোহাগড়া উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Ratail,48971f11519d86cbfa4172c63533241e
126,4266834168,893cf380527ffff,23.1864193,89.6907899,Char Bhatpara High School,"Char Bhatpara High School, Kasiani, Gopalganj District, Dhaka Division, Bangladesh","গোপালগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","Char Bhatpara High School, ",,,Kasiani,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Ratail,48971f11519d86cbfa4172c63533241e
167,4366676452,893cf3828cbffff,23.2132225,89.6996722,Public Library,"Public Library, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Public Library, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['library'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
178,4367600579,893cf3828dbffff,23.2139607,89.6974641,Khan Store,"Khan Store, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Khan Store, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['cosmetics'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
182,4367603518,893cf3828dbffff,23.2139891,89.6974673,Sumaiya Garments & Bastraloy,"Sumaiya Garments & Bastraloy, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Sumaiya Garments & Bastraloy, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['clothes'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
186,4367610424,893cf3828dbffff,23.2140325,89.6974679,Lamia School Dress Point,"Lamia School Dress Point, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Lamia School Dress Point, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['clothes'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
190,4367611444,893cf3828dbffff,23.2140336,89.6974973,Mamun Mobile Store,"Mamun Mobile Store, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Mamun Mobile Store, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['mobile_phone'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
194,4367615601,893cf3828dbffff,23.2140276,89.6975273,Khan Electronics,"Khan Electronics, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Khan Electronics, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['electronics'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
196,4367651277,893cf3828dbffff,23.2140986,89.6969424,Munshi Bostraloy,"Munshi Bostraloy, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Munshi Bostraloy, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['clothes'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
199,4367661260,893cf3828dbffff,23.2141166,89.6967871,Kazi Pharmacy,"Kazi Pharmacy, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Kazi Pharmacy, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
202,4367674110,893cf3828dbffff,23.2140898,89.6967742,Rakhal Store,"Rakhal Store, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Rakhal Store, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['cosmetics'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
205,4367687983,893cf3828dbffff,23.2142415,89.6967288,Mamun Medical,"Mamun Medical, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Mamun Medical, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
209,4367694280,893cf3828dbffff,23.2142547,89.6965774,Ghosh Pharma,"Ghosh Pharma, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Ghosh Pharma, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['veterinary'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
213,4367705289,893cf3828dbffff,23.214325,89.6967687,Montu Tea Stall,"Montu Tea Stall, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Montu Tea Stall, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['tea'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
216,4367709737,893cf3828dbffff,23.2143191,89.6966231,Ahesania Libray,"Ahesania Libray, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Ahesania Libray, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['bookshop'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
223,4370833077,893cf3828dbffff,23.2154017,89.6975391,,"Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['department_store'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
225,4370854359,893cf3828dbffff,23.2151658,89.6972582,Srafil Store,"Srafil Store, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Srafil Store, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['electrician'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
227,4370856766,893cf3828dbffff,23.2150499,89.697169,Nazrul Store,"Nazrul Store, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Nazrul Store, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['department_store'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
229,4370857845,893cf3828dbffff,23.2150277,89.6971422,Sumon Mobile Media,"Sumon Mobile Media, Alfadanga, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Sumon Mobile Media, ",,,Alfadanga,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['mobile_phone'],[],Bangladesh,Dhaka,Gopalganj,Kashiani,Kashiani,1684f289f72ccda2210a25a680779d36
