,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
992,5083445489,893cf5a50afffff,24.980317,89.6937736,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Islampur,Noarpara,3333aa7845e27361fbf61c72293beb36
1005,5088210426,893cf5a51d7ffff,24.9830666,89.6995435,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Islampur,Noarpara,3333aa7845e27361fbf61c72293beb36
1007,5088702788,893cf5a5027ffff,24.9754678,89.6971633,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Madarganj,CharPakerdaha,6de5a1cee3cf50a16d662f9e2158eebe
1786,5476478968,893cf5a5037ffff,24.9778717,89.6955979,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Islampur,Noarpara,3333aa7845e27361fbf61c72293beb36
1788,5479071383,893cf5a5027ffff,24.9740037,89.697509,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Madarganj,CharPakerdaha,6de5a1cee3cf50a16d662f9e2158eebe
1793,5479071908,893cf5a51d7ffff,24.9835384,89.6991764,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Islampur,Noarpara,3333aa7845e27361fbf61c72293beb36
1798,5479071914,893cf5a51c3ffff,24.9822036,89.6996335,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Islampur,Noarpara,3333aa7845e27361fbf61c72293beb36
1809,5499996796,893cf5a502fffff,24.9722239,89.6976881,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Madarganj,CharPakerdaha,6de5a1cee3cf50a16d662f9e2158eebe
1813,5499997161,893cf5a50b7ffff,24.9831955,89.6917419,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Islampur,Noarpara,3333aa7845e27361fbf61c72293beb36
1818,5499997164,893cf5a50a7ffff,24.982271,89.6924139,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Islampur,Noarpara,3333aa7845e27361fbf61c72293beb36
1820,5499997167,893cf5a50a7ffff,24.9811927,89.6931282,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Islampur,Noarpara,3333aa7845e27361fbf61c72293beb36
1825,5499997168,893cf5a50afffff,24.980072,89.69396,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Islampur,Noarpara,3333aa7845e27361fbf61c72293beb36
1830,5499997174,893cf5a51dbffff,24.9790379,89.6948725,,"Jamalpur District, Mymensingh Division, Bangladesh","জামালপুর জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Mymensingh,Jamalpur,Islampur,Noarpara,3333aa7845e27361fbf61c72293beb36
