,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
1023,2343351888,893cf374043ffff,22.5689886,90.1333629,Rajapur Upazila Health Complex,"Rajapur Upazila Health Complex, Rajapur Sbdistrict, Jhalokathi District, Barishal Division, Bangladesh","রাজাপুর উপজেলা, ঝালকাঠি জেলা, বরিশাল বিভাগ, বাংলাদেশ","Rajapur Upazila Health Complex, ",,['রাজাপুর উপজেলা স্বাস্থ্য কমপ্লেক্স'],রাজাপুর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Barisal,Jhalokati,Rajapur,Rajapur,c6206a42475c1a88e0868295c8a4b702
1032,2392682576,893cf376d3bffff,22.6480776,90.1874122,,"Jhalakathi Sadar Subdistrict, Jhalokathi District, Barishal Division, Bangladesh","ঝালকাঠি সদর উপজেলা, ঝালকাঠি জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,ঝালকাঠি সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['bump'],[],Bangladesh,Barisal,Jhalokati,JhalokatiSadar,Paurashava,f90ac51d5dcf0154ce16ddaccaa928cd
1150,3388662632,893cf3768cbffff,22.6221953,90.1635587,,"Jhalakathi Sadar Subdistrict, Jhalokathi District, Barishal Division, Bangladesh","ঝালকাঠি সদর উপজেলা, ঝালকাঠি জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,ঝালকাঠি সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['communication_tower'],[],Bangladesh,Barisal,Jhalokati,JhalokatiSadar,GabkhanDhansiri,8a58ee2c0545b9f5fef6e6ae726f0fa5
1153,3388662721,893cf376d77ffff,22.6442786,90.1844232,,"Jhalakathi Sadar Subdistrict, Jhalokathi District, Barishal Division, Bangladesh","ঝালকাঠি সদর উপজেলা, ঝালকাঠি জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,ঝালকাঠি সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['toll_booth'],[],Bangladesh,Barisal,Jhalokati,JhalokatiSadar,Paurashava,f90ac51d5dcf0154ce16ddaccaa928cd
1156,3388662723,893cf376d77ffff,22.644372,90.1845337,,"Jhalakathi Sadar Subdistrict, Jhalokathi District, Barishal Division, Bangladesh","ঝালকাঠি সদর উপজেলা, ঝালকাঠি জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,ঝালকাঠি সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['bump'],[],Bangladesh,Barisal,Jhalokati,JhalokatiSadar,Paurashava,f90ac51d5dcf0154ce16ddaccaa928cd
1159,3388662860,893cf339a53ffff,22.6518688,90.1956331,,"Jhalakathi Sadar Subdistrict, Jhalokathi District, Barishal Division, Bangladesh","ঝালকাঠি সদর উপজেলা, ঝালকাঠি জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,ঝালকাঠি সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['car_repair'],[],Bangladesh,Barisal,Jhalokati,JhalokatiSadar,Paurashava,f90ac51d5dcf0154ce16ddaccaa928cd
1161,3388662867,893cf339acbffff,22.6524585,90.1939878,,"Jhalakathi Sadar Subdistrict, Jhalokathi District, Barishal Division, Bangladesh","ঝালকাঠি সদর উপজেলা, ঝালকাঠি জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,ঝালকাঠি সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['bump'],[],Bangladesh,Barisal,Jhalokati,JhalokatiSadar,Paurashava,f90ac51d5dcf0154ce16ddaccaa928cd
1164,3388662868,893cf339acbffff,22.6524809,90.1942222,,"Jhalakathi Sadar Subdistrict, Jhalokathi District, Barishal Division, Bangladesh","ঝালকাঠি সদর উপজেলা, ঝালকাঠি জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,ঝালকাঠি সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['charity'],[],Bangladesh,Barisal,Jhalokati,JhalokatiSadar,Paurashava,f90ac51d5dcf0154ce16ddaccaa928cd
1167,3388663088,893cf339163ffff,22.6795686,90.1710852,,"Jhalakathi Sadar Subdistrict, Jhalokathi District, Barishal Division, Bangladesh","ঝালকাঠি সদর উপজেলা, ঝালকাঠি জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,ঝালকাঠি সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['communication_tower'],[],Bangladesh,Barisal,Jhalokati,JhalokatiSadar,Kirtipasha,08c0dc9fc2b90ad0d6cf35b36e7cddc1
1170,3388665276,893cf376e27ffff,22.6213548,90.1636879,,"Jhalakathi Sadar Subdistrict, Jhalokathi District, Barishal Division, Bangladesh","ঝালকাঠি সদর উপজেলা, ঝালকাঠি জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,ঝালকাঠি সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Barisal,Jhalokati,JhalokatiSadar,GabkhanDhansiri,8a58ee2c0545b9f5fef6e6ae726f0fa5
