,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
1797,4479302090,893cf00b577ffff,23.4068073,88.8981026,,"Maheshpur Upazila, Jhenaidah District, Khulna Division, Bangladesh","মহেশপুর উপজেলা, ঝিনাইদহ জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,মহেশপুর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Khulna,Jhenaidah,Maheshpur,Fatehpur,06b5824ddc1aa26ddf22584fd2d806b9
2668,8687655669,893cf055a33ffff,23.2673357,88.8169442,,"Maheshpur Upazila, Jhenaidah District, Khulna Division, Bangladesh","মহেশপুর উপজেলা, ঝিনাইদহ জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,মহেশপুর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Khulna,Jhenaidah,Maheshpur,Banshbaria,119e46c116765521f647c45b11ff54da
2729,9586150762,893cf04635bffff,23.2617586,88.8894249,Jadavpur College,"Jadavpur College, Maheshpur Upazila, Jhenaidah District, Khulna Division, Bangladesh","মহেশপুর উপজেলা, ঝিনাইদহ জেলা, খুলনা বিভাগ, বাংলাদেশ","Jadavpur College, ",,,মহেশপুর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Khulna,Jhenaidah,Maheshpur,Jadabpur,1f4c6890e71fc23b715141f231262d0a
2732,9586150763,893cf0444c7ffff,23.2502999,88.8886958,Krishnapur Dakhil Madrasa,"Krishnapur Dakhil Madrasa, Maheshpur Upazila, Jhenaidah District, Khulna Division, Bangladesh","মহেশপুর উপজেলা, ঝিনাইদহ জেলা, খুলনা বিভাগ, বাংলাদেশ","Krishnapur Dakhil Madrasa, ",,,মহেশপুর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Khulna,Jhenaidah,Maheshpur,Jadabpur,1f4c6890e71fc23b715141f231262d0a
2735,9586150764,893cf047557ffff,23.2531275,88.846192,Jaluli High School,"Jaluli High School, Maheshpur Upazila, Jhenaidah District, Khulna Division, Bangladesh","মহেশপুর উপজেলা, ঝিনাইদহ জেলা, খুলনা বিভাগ, বাংলাদেশ","Jaluli High School, ",,,মহেশপুর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Jhenaidah,Maheshpur,Jadabpur,1f4c6890e71fc23b715141f231262d0a
2763,9586150765,893cf047557ffff,23.2536167,88.8463321,Jaluli Govt Primary School,"Jaluli Govt Primary School, Maheshpur Upazila, Jhenaidah District, Khulna Division, Bangladesh","মহেশপুর উপজেলা, ঝিনাইদহ জেলা, খুলনা বিভাগ, বাংলাদেশ","Jaluli Govt Primary School, ",,,মহেশপুর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Jhenaidah,Maheshpur,Jadabpur,1f4c6890e71fc23b715141f231262d0a
2766,9586150766,893cf04661bffff,23.2775836,88.8524824,Pathra High School,"Pathra High School, Maheshpur Upazila, Jhenaidah District, Khulna Division, Bangladesh","মহেশপুর উপজেলা, ঝিনাইদহ জেলা, খুলনা বিভাগ, বাংলাদেশ","Pathra High School, ",,,মহেশপুর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Jhenaidah,Maheshpur,Jadabpur,1f4c6890e71fc23b715141f231262d0a
2769,9586150767,893cf04661bffff,23.278282,88.8522872,Pathra Govt Primary School,"Pathra Govt Primary School, Maheshpur Upazila, Jhenaidah District, Khulna Division, Bangladesh","মহেশপুর উপজেলা, ঝিনাইদহ জেলা, খুলনা বিভাগ, বাংলাদেশ","Pathra Govt Primary School, ",,,মহেশপুর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Jhenaidah,Maheshpur,Jadabpur,1f4c6890e71fc23b715141f231262d0a
2771,9586150768,893cf054b23ffff,23.3231327,88.878569,Govt Primary School,"Govt Primary School, Maheshpur Upazila, Jhenaidah District, Khulna Division, Bangladesh","মহেশপুর উপজেলা, ঝিনাইদহ জেলা, খুলনা বিভাগ, বাংলাদেশ","Govt Primary School, ",,,মহেশপুর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Jhenaidah,Maheshpur,Natima,0bcfeb01d0d9d436e36fbad41fb7228e
2774,9586150769,893cf00940bffff,23.3509056,88.898734,High School,"High School, Maheshpur Upazila, Jhenaidah District, Khulna Division, Bangladesh","মহেশপুর উপজেলা, ঝিনাইদহ জেলা, খুলনা বিভাগ, বাংলাদেশ","High School, ",,,মহেশপুর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Jhenaidah,Maheshpur,MaheshpurPaurashava,e0a311d4f165d3fc02ba45f55c08ef26
