,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4508,2343395447,893cf389b4bffff,22.9281896,89.6728479,Terokhada Upazila Health Complex,"Terokhada Upazila Health Complex, ",,"Terokhada Upazila Health Complex, ",,,তেরখাদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,housenumber,contains,['hospital'],[],Bangladesh,Khulna,Khulna,Terokhada,Terokhada,73b8b8324bc8f094520f70363cd84d68
4748,2343395385,893cf3c009bffff,22.8099927,89.4105622,Dumuria Upazila Health Complex,"Dumuria Upazila Health Complex, Dumuria Upazila, Khulna District, Khulna Division, Bangladesh","ডুমুরিয়া উপজেলা, খুলনা জেলা, খুলনা বিভাগ, বাংলাদেশ","Dumuria Upazila Health Complex, ",,,ডুমুরিয়া উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Khulna,Khulna,Dumuria,Dumuria,efa0b23285161e57fc14627763d788f5
4904,3420466571,893cf3c9d3bffff,22.6174623,89.4167497,,"Paikgachha Upazila, Khulna District, Khulna Division, Bangladesh","পাইকগাছা উপজেলা, খুলনা জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,পাইকগাছা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Khulna,Paikgachha,Deluti,41135003ccb8f22f66e55b1397e23065
4909,3421652293,893cf352367ffff,22.5711002,89.4966459,,"Dacope, Khulna District, Khulna Division, Bangladesh","খুলনা জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,Dacope,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Khulna,Dacope,ChalnaPaurashava,8181b98c0e799f7fb38bc60aa34d21a3
4913,3422504086,893cf3c8e7bffff,22.6318126,89.4166128,,"Paikgachha Upazila, Khulna District, Khulna Division, Bangladesh","পাইকগাছা উপজেলা, খুলনা জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,পাইকগাছা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Khulna,Paikgachha,Deluti,41135003ccb8f22f66e55b1397e23065
4920,3435850163,893cf352187ffff,22.6092374,89.4959518,,"Dacope, Khulna District, Khulna Division, Bangladesh","খুলনা জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,Dacope,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Khulna,Khulna,Dacope,Pankhali,4746dbabee84a1843e4cba943753d0f6
4957,4592468363,893cf350243ffff,22.510667,89.491767,Sree Nagar sluice gate(School R pase),"Sree Nagar sluice gate School R pase, Dacope, Khulna District, Khulna Division, Bangladesh","খুলনা জেলা, খুলনা বিভাগ, বাংলাদেশ","Sree Nagar sluice gate School R pase, ",,"['logic_undp', 'Aila & Sidr']",Dacope,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['gate'],[],Bangladesh,Khulna,Khulna,Dacope,Kamarkhola,38071f4ab84b55b5f1950f0dd9314772
4961,4592468482,893cf35a17bffff,22.4359345,89.4528926,Kalabagi Kacha Ghat,"Kalabagi Kacha Ghat, Dacope, Khulna District, Khulna Division, Bangladesh","খুলনা জেলা, খুলনা বিভাগ, বাংলাদেশ","Kalabagi Kacha Ghat, ",,"['logic_undp', 'Aila and River Erosion']",Dacope,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Khulna,Dacope,Sutarkhali,d47e9f5cf8217667a1cb5b58690cd79e
4965,4599204211,893cf35a503ffff,22.4608403,89.4353326,Naliyan Launch Ghat,"Naliyan Launch Ghat, Dacope, Khulna District, Khulna Division, Bangladesh","খুলনা জেলা, খুলনা বিভাগ, বাংলাদেশ","Naliyan Launch Ghat, ",,"['logic_undp', 'Aila']",Dacope,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Khulna,Dacope,Sutarkhali,d47e9f5cf8217667a1cb5b58690cd79e
4969,4599250604,893cf350257ffff,22.5139356,89.492587,,"Dacope, Khulna District, Khulna Division, Bangladesh","খুলনা জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,Dacope,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Khulna,Dacope,Kamarkhola,38071f4ab84b55b5f1950f0dd9314772
