,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
1221,9705706614,893cf08257bffff,23.9768767,88.7597313,Dharmadah High School,"Dharmadah High School, Daulatpur Upazila (Kushtia), Kushtia District, Khulna Division, Bangladesh","দৌলতপুর উপজেলা কুষ্টিয়া, কুষ্টিয়া জেলা, খুলনা বিভাগ, বাংলাদেশ","Dharmadah High School, ",,,দৌলতপুর উপজেলা (কুষ্টিয়া),বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Khulna,Kushtia,Daulatpur,Adabaria,3db386410b5734f285dc70d78b5269eb
1223,9705706615,893cf082183ffff,23.9767182,88.77365,D.G.T Junior Girls High School,"D.G.T Junior Girls High School, Daulatpur Upazila (Kushtia), Kushtia District, Khulna Division, Bangladesh","দৌলতপুর উপজেলা কুষ্টিয়া, কুষ্টিয়া জেলা, খুলনা বিভাগ, বাংলাদেশ","D.G.T Junior Girls High School, ",,,দৌলতপুর উপজেলা (কুষ্টিয়া),বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Khulna,Kushtia,Daulatpur,Adabaria,3db386410b5734f285dc70d78b5269eb
1225,9705706616,893cf08252fffff,23.981368,88.7730764,D.G.T High School,"D.G.T High School, Daulatpur Upazila (Kushtia), Kushtia District, Khulna Division, Bangladesh","দৌলতপুর উপজেলা কুষ্টিয়া, কুষ্টিয়া জেলা, খুলনা বিভাগ, বাংলাদেশ","D.G.T High School, ",,,দৌলতপুর উপজেলা (কুষ্টিয়া),বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Khulna,Kushtia,Daulatpur,Adabaria,3db386410b5734f285dc70d78b5269eb
1227,9705759517,893cf082c83ffff,23.9840898,88.7981473,Adabaria High School,"Adabaria High School, Daulatpur Upazila (Kushtia), Kushtia District, Khulna Division, Bangladesh","দৌলতপুর উপজেলা কুষ্টিয়া, কুষ্টিয়া জেলা, খুলনা বিভাগ, বাংলাদেশ","Adabaria High School, ",,,দৌলতপুর উপজেলা (কুষ্টিয়া),বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Khulna,Kushtia,Daulatpur,Adabaria,3db386410b5734f285dc70d78b5269eb
1230,9705759523,893cf095083ffff,24.0209256,88.785412,Bagoan   K.  C. V. N. High School,"Bagoan K. C. V. N. High School, Daulatpur Upazila (Kushtia), Kushtia District, Khulna Division, Bangladesh","দৌলতপুর উপজেলা কুষ্টিয়া, কুষ্টিয়া জেলা, খুলনা বিভাগ, বাংলাদেশ","Bagoan K. C. V. N. High School, ",,,দৌলতপুর উপজেলা (কুষ্টিয়া),বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Khulna,Kushtia,Daulatpur,Mathurapur,eccabc0475079d71fb4a34fc791e927a
1231,9705759523,893cf095083ffff,24.0209256,88.785412,Bagoan   K.  C. V. N. High School,"Bagoan K. C. V. N. High School, Daulatpur Upazila (Kushtia), Kushtia District, Khulna Division, Bangladesh","দৌলতপুর উপজেলা কুষ্টিয়া, কুষ্টিয়া জেলা, খুলনা বিভাগ, বাংলাদেশ","Bagoan K. C. V. N. High School, ",,,দৌলতপুর উপজেলা (কুষ্টিয়া),বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Khulna,Kushtia,Daulatpur,Prayagpur,d8f62b47673745259eb15f463da4bb61
1234,9705759524,893cf095603ffff,24.0076995,88.7678438,Pragpur High School,"Pragpur High School, Daulatpur Upazila (Kushtia), Kushtia District, Khulna Division, Bangladesh","দৌলতপুর উপজেলা কুষ্টিয়া, কুষ্টিয়া জেলা, খুলনা বিভাগ, বাংলাদেশ","Pragpur High School, ",,,দৌলতপুর উপজেলা (কুষ্টিয়া),বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Khulna,Kushtia,Daulatpur,Prayagpur,d8f62b47673745259eb15f463da4bb61
1237,9705759525,893cf09568fffff,24.0125862,88.7627238,P.M. Ideal Girls High School,"P.M. Ideal Girls High School, Daulatpur Upazila (Kushtia), Kushtia District, Khulna Division, Bangladesh","দৌলতপুর উপজেলা কুষ্টিয়া, কুষ্টিয়া জেলা, খুলনা বিভাগ, বাংলাদেশ","P.M. Ideal Girls High School, ",,,দৌলতপুর উপজেলা (কুষ্টিয়া),বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Khulna,Kushtia,Daulatpur,Prayagpur,d8f62b47673745259eb15f463da4bb61
1240,9705759526,893cf09094bffff,24.0120715,88.7421462,Bilgatua High School,"Bilgatua High School, Daulatpur Upazila (Kushtia), Kushtia District, Khulna Division, Bangladesh","দৌলতপুর উপজেলা কুষ্টিয়া, কুষ্টিয়া জেলা, খুলনা বিভাগ, বাংলাদেশ","Bilgatua High School, ",,,দৌলতপুর উপজেলা (কুষ্টিয়া),বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Khulna,Kushtia,Daulatpur,Prayagpur,d8f62b47673745259eb15f463da4bb61
1243,9705759527,893cf0954a3ffff,24.0357588,88.7770726,J.M.G High School,"J.M.G High School, Daulatpur Upazila (Kushtia), Kushtia District, Khulna Division, Bangladesh","দৌলতপুর উপজেলা কুষ্টিয়া, কুষ্টিয়া জেলা, খুলনা বিভাগ, বাংলাদেশ","J.M.G High School, ",,,দৌলতপুর উপজেলা (কুষ্টিয়া),বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Khulna,Kushtia,Daulatpur,Prayagpur,d8f62b47673745259eb15f463da4bb61
