,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
3962,4014790615,893c1964ca3ffff,26.1283375,89.1386051,হাতীবান্ধা,"Hatibandha, Lalmonirhat District, Rangpur Division, Bangladesh","হাতীবান্ধা, লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ",,"হাতীবান্ধা, ",['Hathibandha'],Hatibandha,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rangpur,Lalmonirhat,Hatibandha,Shingimari,d5c2100cb07d2796a4c8546860545139
4725,1430006598,893ce68d4c3ffff,25.9126271,89.4453733,লালমনিরহাট জংশন,"Lalmonirhat Sadar, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট জংশন, লালমনিরহাট সদর উপজেলা, লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ",,"লালমনিরহাট জংশন, ",['Lalmonirhat Junction'],লালমনিরহাট সদর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rangpur,Lalmonirhat,LalmonirhatSadar,Paurashava,1a4b68d132ece142ef6f7ee539fced55
4727,2332802123,893ce68d487ffff,25.9198854,89.4559009,Lalmonirhat General Hospital,"Lalmonirhat General Hospital, Lalmonirhat Sadar, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট সদর উপজেলা, লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ","Lalmonirhat General Hospital, ",,,লালমনিরহাট সদর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Rangpur,Lalmonirhat,LalmonirhatSadar,Paurashava,1a4b68d132ece142ef6f7ee539fced55
4831,5240539121,893ce6986d3ffff,25.9983815,89.174872,Shaha Pharmacy সাহা ফার্মেসী,"Shaha Pharmacy, Kaliganj Lalmonirhat, Lalmonirhat District, Rangpur Division, Bangladesh","সাহা ফার্মেসী, লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Kaliganj (Lalmonirhat),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Rangpur,Lalmonirhat,Kaliganj,Bhotemari,5a748dc11073b76114a3e310d6e4d4e4
4834,5240540965,893ce69a613ffff,26.0514898,89.153407,Ghunti Bazar,"Ghunti Bazar, Hatibandha, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ","Ghunti Bazar, ",,,Hatibandha,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Lalmonirhat,Hatibandha,Daoabari,255df329ab674eb1f8a52abba7e18167
4837,5240541369,893ce69b183ffff,26.0201179,89.1662653,Vakarir bill,"Vakarir bill, Kaliganj Lalmonirhat, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ","Vakarir bill, ",,,Kaliganj (Lalmonirhat),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['wastewater_plant'],[],Bangladesh,Rangpur,Lalmonirhat,Kaliganj,Bhotemari,5a748dc11073b76114a3e310d6e4d4e4
4838,5240541369,893ce69b183ffff,26.0201179,89.1662653,Vakarir bill,"Vakarir bill, Kaliganj Lalmonirhat, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ","Vakarir bill, ",,,Kaliganj (Lalmonirhat),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['wastewater_plant'],[],Bangladesh,Rangpur,Lalmonirhat,Kaliganj,Madati,15d601f0792ce88003fe8f6b8fc03341
4841,5240548650,893c196592bffff,26.0583693,89.1470944,Bot Tola,"Bot Tola, Hatibandha, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ","Bot Tola, ",,,Hatibandha,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Lalmonirhat,Hatibandha,PatikaPara,26d5b854469220a9c6e00a8b7ddfcdd2
4843,5240550435,893c1964a4bffff,26.0729835,89.1392833,Shimultola Mor,"Shimultola Mor, Hatibandha, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ","Shimultola Mor, ",,,Hatibandha,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Lalmonirhat,Hatibandha,PatikaPara,26d5b854469220a9c6e00a8b7ddfcdd2
4846,5240551424,893c1964a4bffff,26.0746999,89.1370904,Grammen Bank,"Grammen Bank, Hatibandha, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ","Grammen Bank, ",,,Hatibandha,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Rangpur,Lalmonirhat,Hatibandha,PatikaPara,26d5b854469220a9c6e00a8b7ddfcdd2
4849,5240558010,893c1964a5bffff,26.0761701,89.1367857,Alif hotel and resturent,"Alif hotel and resturent, Hatibandha, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ","Alif hotel and resturent, ",,,Hatibandha,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Lalmonirhat,Hatibandha,PatikaPara,26d5b854469220a9c6e00a8b7ddfcdd2
4852,5240558213,893c1964a5bffff,26.0767309,89.1365254,Parulia Bazar,"Parulia Bazar, Hatibandha, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ","Parulia Bazar, ",,,Hatibandha,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Lalmonirhat,Hatibandha,PatikaPara,26d5b854469220a9c6e00a8b7ddfcdd2
4855,5240558676,893c1964c23ffff,26.1210916,89.1413444,Medical More,"Medical More, Hatibandha, Lalmonirhat District, Rangpur Division, Bangladesh","লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ","Medical More, ",,,Hatibandha,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['monument'],[],Bangladesh,Rangpur,Lalmonirhat,Hatibandha,Sindurna,a61ca8d2172e79ed777c287f04bc159d
4857,5240565175,893c1964c37ffff,26.1238805,89.143123,Alauddin Hotel & Restaurant আলাউদ্দিন হোটেল এন্ড রেঁস্তোরা,"Alauddin Hotel & Restaurant, Hatibandha, Lalmonirhat District, Rangpur Division, Bangladesh","আলাউদ্দিন হোটেল এন্ড রেঁস্তোরা, লালমনিরহাট জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Hatibandha,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Lalmonirhat,Hatibandha,Tangbhanga,0b2c1d80fb9b977007ae1198ae1c8c33
