,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
966,155130505,893cf1d564fffff,23.97842606,89.69742604,,"Bera, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,,,Bera,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['island'],[],Bangladesh,Dhaka,Manikganj,Daulatpur,Bachamara,137677486cfbc2f41691b5196e2788b3
881,2365517028,893cf1561a7ffff,23.7422154,89.9756,Harirampur Upazila Health Complex,"Harirampur Upazila Health Complex, Harirampur Subdistrict, Manikganj District, Dhaka Division, Bangladesh","হরিরামপুর উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","Harirampur Upazila Health Complex, ",,,হরিরামপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Dhaka,Manikganj,Harirampur,Boyra,f800d838bc99f28043b11003f26b40a5
903,2428763455,893cf11a38bffff,23.8706167,89.9986742,Manikganj,"Manikganj, Manikganj Sadar Subdistrict, Manikganj District, Dhaka Division, Bangladesh","মানিকগঞ্জ সদর উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",Manikganj,,,মানিকগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Dhaka,Manikganj,ManikganjSadar,Jaigir,8586675abde6b5f9dafbd210a7b6f016
904,2428763455,893cf11a38bffff,23.8706167,89.9986742,Manikganj,"Manikganj, Manikganj Sadar Subdistrict, Manikganj District, Dhaka Division, Bangladesh","মানিকগঞ্জ সদর উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",Manikganj,,,মানিকগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Dhaka,Manikganj,ManikganjSadar,ManikganjPaurashava,b66c033ce02ced4038369d512154c4a2
918,4861923216,893cf1c196fffff,23.835922,89.7800516,আরিচা,"Shibaloy Subdistrict, Manikganj District, Dhaka Division, Bangladesh","আরিচা, শিবালয় উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",,"আরিচা, ","['আরিচা', 'Aricha']",শিবালয় উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Dhaka,Manikganj,Shibalaya,Shibalaya,18490c289f64ef0e7c2985d45096329b
1012,2332686520,893cf1012b7ffff,23.8137908,90.1490043,Singair Upazilla Health Complex,"Singair Upazilla Health Complex, Singair Subdistrict, Manikganj District, Dhaka Division, Bangladesh","সিংগাইর উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","Singair Upazilla Health Complex, ",,,সিংগাইর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Dhaka,Manikganj,Singair,SingairPaurashava,b02414c6d34bf4ce33ae5569915d488c
1136,4164442490,893cf1ccb53ffff,23.7597784,89.9209695,BADHAN's HOME,"BADHAN's HOME, Harirampur Subdistrict, Manikganj District, Dhaka Division, Bangladesh","হরিরামপুর উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","BADHAN's HOME, ",,,হরিরামপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['guest_house'],[],Bangladesh,Dhaka,Manikganj,Harirampur,Gala,3a4f42e82722cf15eed1c3abd5645ecf
1139,4164442491,893cf1ccb73ffff,23.7603036,89.9316194,BADHAN Fashion ,"BADHAN Fashion, Harirampur Subdistrict, Manikganj District, Dhaka Division, Bangladesh","হরিরামপুর উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","BADHAN Fashion, ",,,হরিরামপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['clothes'],[],Bangladesh,Dhaka,Manikganj,Harirampur,Gala,3a4f42e82722cf15eed1c3abd5645ecf
1141,4164445989,893cf1ccb53ffff,23.7597863,89.9209201,BADHAN 's HOME ,"BADHAN 's HOME, Harirampur Subdistrict, Manikganj District, Dhaka Division, Bangladesh","হরিরামপুর উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","BADHAN 's HOME, ",,,হরিরামপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['guest_house'],[],Bangladesh,Dhaka,Manikganj,Harirampur,Gala,3a4f42e82722cf15eed1c3abd5645ecf
1352,5303280628,893cf11848fffff,23.8509439,89.9964857,Shuvo Pharmacy,"Shuvo Pharmacy, Manikganj Sadar Subdistrict, Manikganj District, Dhaka Division, Bangladesh","মানিকগঞ্জ সদর উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","Shuvo Pharmacy, ",,,মানিকগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Dhaka,Manikganj,ManikganjSadar,ManikganjPaurashava,b66c033ce02ced4038369d512154c4a2
1353,5303280630,893cf1184bbffff,23.8511174,89.9999404,"Shillpokola Academy, manikganj","Shillpokola Academy manikganj, Manikganj Sadar Subdistrict, Manikganj District, Dhaka Division, Bangladesh","মানিকগঞ্জ সদর উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","Shillpokola Academy manikganj, ",,,মানিকগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['arts_centre'],[],Bangladesh,Dhaka,Manikganj,ManikganjSadar,ManikganjPaurashava,b66c033ce02ced4038369d512154c4a2
1356,5303280631,893cf1184bbffff,23.8508525,89.9994731,"passport office, maniikganj","passport office maniikganj, Manikganj Sadar Subdistrict, Manikganj District, Dhaka Division, Bangladesh","মানিকগঞ্জ সদর উপজেলা, মানিকগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","passport office maniikganj, ",,,মানিকগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['government'],[],Bangladesh,Dhaka,Manikganj,ManikganjSadar,ManikganjPaurashava,b66c033ce02ced4038369d512154c4a2
