,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4013,401422104,893cc432b77ffff,24.3250162,91.7871805,,"Kamalganj Upazila, Moulvibazar District, Sylhet Division, Bangladesh","কমলগঞ্জ উপজেলা, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",,,,কমলগঞ্জ উপজেলা,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['gate'],[],Bangladesh,Sylhet,Maulvibazar,Kamalganj,Kamalganj,9f621397ed0dc4f4fe96cdb8ee87add5
4038,1934293490,893cc4a0d33ffff,24.5769943,91.7235483,Kazirbazar Chowmuhna,"Kazirbazar Chowmuhna, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Kazirbazar Chowmuhna,,,Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Manumukh,f860568caa32e3163193805400ccefcb
4041,1934296879,893cc4a0d3bffff,24.5725385,91.7231157,Kazirbazar,"Kazirbazar, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Kazirbazar,,,Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
4045,1934304159,893cc4a0d07ffff,24.5747241,91.7223164,Kazirbazar Eidgah,"Kazirbazar Eidgah, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Kazirbazar Eidgah, ",,,Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Manumukh,f860568caa32e3163193805400ccefcb
4050,1934310080,893cc4a0d3bffff,24.5748429,91.7227437,Kazirbazar Primary School,"Kazirbazar Primary School, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Kazirbazar Primary School, ",,,Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
4055,1934310081,893cc4a0d3bffff,24.5745014,91.7225559,Kazirbazar Aftab Uddin High School,"Kazirbazar Aftab Uddin High School, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Kazirbazar Aftab Uddin High School, ",,,Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
4059,1934336694,893cc4a0d3bffff,24.5723695,91.7231755,জনতা ব্যাংক (কাজীরবাজার শাখা),"Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","জনতা ব্যাংক কাজীরবাজার শাখা, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",,"জনতা ব্যাংক কাজীরবাজার শাখা, ","['জনতা ব্যাংক (কাজীরবাজার শাখা)', 'Janata Bank (Kazirbazar Branch)']",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
4064,1934336695,893cc4a0d77ffff,24.5720719,91.7226927,Kazirbazar Post Office,"Kazirbazar Post Office, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Kazirbazar Post Office, ",,,Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['post_office'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
4067,1934369999,893cc4a0dc7ffff,24.5764536,91.712104,Nadampur,"Nadampur, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Nadampur,,,Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
4073,1934371659,893cc4a0d07ffff,24.5764723,91.7207428,Sumari Primary School,"Sumari Primary School, Jamunia, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","জমুনিয়া, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Sumari Primary School, ",,,Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,locality,boundaries,['school'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Manumukh,f860568caa32e3163193805400ccefcb
4079,1934385167,893cc4a0d17ffff,24.577257799999998,91.7198791,Jamunia Puraton Masjid,"Jamunia Puraton Masjid, Jamunia, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","জমুনিয়া, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Jamunia Puraton Masjid, ",,,Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,locality,boundaries,['place_of_worship_muslim'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Manumukh,f860568caa32e3163193805400ccefcb
4110,2332892999,893cc4ae377ffff,24.4811474,91.7662744,Moulvibaza Sadar Hospital,"Moulvibaza Sadar Hospital, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Moulvibaza Sadar Hospital, ",,['মৌলভীাজার সদর হাসাতাল'],Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,MaulvibazarPaurashava,eea67690affcb96075935587ae0bea2b
4112,2332919090,893cc4300a7ffff,24.300898,91.7364249,Sreemangal Upazila Health Complex,"Sreemangal Upazila Health Complex, Sreemangal Upazila, Moulvibazar District, Sylhet Division, Bangladesh","শ্রীমঙ্গল উপজেলা, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Sreemangal Upazila Health Complex, ",,,শ্রীমঙ্গল উপজেলা,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Sylhet,Maulvibazar,Sreemangal,Kalighat,8a74dcb99a9e95e93b2d78426bdce39e
4117,2333133282,893cc4301d3ffff,24.3011416,91.7393956,Sreemongal Stadium,"Sreemongal Stadium, Sreemangal Upazila, Moulvibazar District, Sylhet Division, Bangladesh","শ্রীমঙ্গল উপজেলা, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Sreemongal Stadium, ",,,শ্রীমঙ্গল উপজেলা,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['stadium'],[],Bangladesh,Sylhet,Maulvibazar,Sreemangal,Kalighat,8a74dcb99a9e95e93b2d78426bdce39e
4387,4316325492,893cc430547ffff,24.3094315,91.7315006,,"Sreemangal Upazila, Moulvibazar District, Sylhet Division, Bangladesh","শ্রীমঙ্গল উপজেলা, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",,,,শ্রীমঙ্গল উপজেলা,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Sylhet,Maulvibazar,Sreemangal,SreemangalPaurashava,d301ddce56e935d4b44bfe8ff3671e73
4393,4316325493,893cc430547ffff,24.3094422,91.7311683,রূপালী ব্যাংক শ্রীমঙ্গল শাখা,"Sreemangal Upazila, Moulvibazar District, Sylhet Division, Bangladesh","রূপালী ব্যাংক শ্রীমঙ্গল শাখা, শ্রীমঙ্গল উপজেলা, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",,"রূপালী ব্যাংক শ্রীমঙ্গল শাখা, ","['রূপালী ব্যাংক শ্রীমঙ্গল শাখা', 'Rupali Bank Sreemongal Branch']",শ্রীমঙ্গল উপজেলা,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Sylhet,Maulvibazar,Sreemangal,SreemangalPaurashava,d301ddce56e935d4b44bfe8ff3671e73
4452,4535319857,893cc4ae667ffff,24.4858478,91.7230665,Dighirpar Bazar,"Dighirpar Bazar, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Dighirpar Bazar, ",,['দিঘীরপার বাজার'],Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Amtail,95931a9ab38fc861aa4493ae2eb29998
4471,4595997864,893cc4ae377ffff,24.4794993,91.7657941,Moulvibazar Police Station,"Moulvibazar Police Station, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Moulvibazar Police Station, ",,['মৌলভীবাজার থানা'],Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['police'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,MaulvibazarPaurashava,eea67690affcb96075935587ae0bea2b
4476,4596000351,893cc4aeedbffff,24.4904139,91.7695467,Moulvibazar Post Office,"Moulvibazar Post Office, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Moulvibazar Post Office, ",,,Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['post_office'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,MaulvibazarPaurashava,eea67690affcb96075935587ae0bea2b
4482,4596018120,893cc4aee4bffff,24.4799443,91.7790259,Moulvibazar Govrnment Colledge,"Moulvibazar Govrnment Colledge, Kamalganj Upazila, Moulvibazar District, Sylhet Division, Bangladesh","কমলগঞ্জ উপজেলা, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ","Moulvibazar Govrnment Colledge, ",,"['মৌলভীবাজার সরকারি কলেজ', 'Moulvibazar Government College']",কমলগঞ্জ উপজেলা,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['university'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,MaulvibazarPaurashava,eea67690affcb96075935587ae0bea2b
