,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
551,2344313632,893cf08a123ffff,23.8162206,88.7444092,Gangni Upazila Health Complex,"Gangni Upazila Health Complex, Gangni Upazila, Meherpur District, Khulna Division, Bangladesh","গাংনী উপজেলা, মেহেরপুর জেলা, খুলনা বিভাগ, বাংলাদেশ","Gangni Upazila Health Complex, ",,,গাংনী উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Khulna,Meherpur,Gangni,GangniPaurashava,b4335c086351e66ec2ba3d5bb393bc32
633,5105598021,893cf081e33ffff,23.8525441,88.7980606,ষোলটাকা (Sholotata),"Sholotata, ","ষোলটাকা, ",,,['Sholotata'],গাংনী উপজেলা,বাংলাদেশ,খুলনা বিভাগ,housenumber,sameSource,['company'],[],Bangladesh,Khulna,Meherpur,Gangni,SholaTaka,10dacabc8c6319215990ea3367f1da97
1053,6696851931,893cf098b77ffff,23.8402548,88.7051647,Aminul Store,"Aminul Store, Bhatpara, Gangni Upazila, Meherpur District, Khulna Division, Bangladesh","ভাটপাড়া, গাংনী উপজেলা, মেহেরপুর জেলা, খুলনা বিভাগ, বাংলাদেশ","Aminul Store, ",,,গাংনী উপজেলা,বাংলাদেশ,খুলনা বিভাগ,locality,boundaries,['department_store'],[],Bangladesh,Khulna,Meherpur,Gangni,Shaharbati,b059dde550d9f4b2378fd1b68e1a9c5c
1056,6716312586,893cf080287ffff,23.8967099,88.7785331,,"Gangni Upazila, Meherpur District, Khulna Division, Bangladesh","গাংনী উপজেলা, মেহেরপুর জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,গাংনী উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Khulna,Meherpur,Gangni,Tentulbaria,ce3c8d159395448094cb68eb628536a2
1062,7076865967,893cf08202fffff,23.9611225,88.7663073,Tekala Mathpara Road,"Tekala Mathpara Road, Gangni Upazila, Meherpur District, Khulna Division, Bangladesh","গাংনী উপজেলা, মেহেরপুর জেলা, খুলনা বিভাগ, বাংলাদেশ","Tekala Mathpara Road, ",,['তেকালা মাঠপাড়া সড়ক'],গাংনী উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Khulna,Meherpur,Gangni,Kazipur,be8933ee5a10bc5f1018a6ed25c5b0b0
1070,7076865968,893cf08202fffff,23.9612389,88.7664418,Baitun Nur Jame Mosque,"Baitun Nur Jame Mosque, ",,"Baitun Nur Jame Mosque, ",,,গাংনী উপজেলা,বাংলাদেশ,খুলনা বিভাগ,housenumber,sameSource,['place_of_worship_muslim'],[],Bangladesh,Khulna,Meherpur,Gangni,Kazipur,be8933ee5a10bc5f1018a6ed25c5b0b0
1086,7076865969,893cf08202fffff,23.9608508,88.7675106,Tekala Bajar Mosque,"Tekala Bajar Mosque, Gangni Upazila, Meherpur District, Khulna Division, Bangladesh","গাংনী উপজেলা, মেহেরপুর জেলা, খুলনা বিভাগ, বাংলাদেশ","Tekala Bajar Mosque, ",,,গাংনী উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Khulna,Meherpur,Gangni,Kazipur,be8933ee5a10bc5f1018a6ed25c5b0b0
1121,2407518365,893cf0d584bffff,23.6443935,88.59644779999999,,"Meherpur Sadar Upazila, Meherpur District, Khulna Division, Bangladesh","মেহেরপুর সদর উপজেলা, মেহেরপুর জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,মেহেরপুর সদর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['helipad'],[],Bangladesh,Khulna,Meherpur,MujibNagar,Bagoan,3f761bf68d6f8a0194ffb3fee48d06de
1125,3220652331,893cf0d584bffff,23.644479,88.5956231,,"Meherpur Sadar Upazila, Meherpur District, Khulna Division, Bangladesh","মেহেরপুর সদর উপজেলা, মেহেরপুর জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,মেহেরপুর সদর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['helipad'],[],Bangladesh,Khulna,Meherpur,MujibNagar,Bagoan,3f761bf68d6f8a0194ffb3fee48d06de
1154,4747259879,893cf0d581bffff,23.653848,88.5985529,Mujibnagar Bus Stop,"Mujibnagar Bus Stop, Meherpur Sadar Upazila, Meherpur District, Khulna Division, Bangladesh","মেহেরপুর সদর উপজেলা, মেহেরপুর জেলা, খুলনা বিভাগ, বাংলাদেশ",Mujibnagar Bus Stop,,,মেহেরপুর সদর উপজেলা,বাংলাদেশ,খুলনা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Khulna,Meherpur,MujibNagar,Bagoan,3f761bf68d6f8a0194ffb3fee48d06de
