,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
3537,5548621500,893ce260e1bffff,24.5761289,90.7400027,Nandail Chourasta Bus Stop,"Nandail Chourasta Bus Stop, Nandail, Mymensingh District, Mymensingh Division, Bangladesh","ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",Nandail Chourasta Bus Stop,,,Nandail,বাংলাদেশ,ময়মনসিংহ বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Mymensingh,Mymensingh,Nandail,Gangail,b6009ca5ded5369f40f886705b6df950
3618,5627089257,893ce261e7bffff,24.5205486,90.708354,Shiyaldhora Bazar,"Shiyaldhora Bazar, Nandail, Mymensingh District, Mymensingh Division, Bangladesh","ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ","Shiyaldhora Bazar, ",,,Nandail,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Mymensingh,Mymensingh,Nandail,Singrail,915d7fdfd956c432ebbdd04359ef3a2b
3624,5627089270,893ce2618cbffff,24.5309073,90.7204252,Singroil Bazar,"Singroil Bazar, Nandail, Mymensingh District, Mymensingh Division, Bangladesh","ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ","Singroil Bazar, ",,,Nandail,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Mymensingh,Mymensingh,Nandail,Singrail,915d7fdfd956c432ebbdd04359ef3a2b
4563,231234287,893ce250c6fffff,24.70966536,90.16045351,Gabtali High School,"Gabtali High School, Muktagacha, Mymensingh District, Mymensingh Division, Bangladesh","ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ","Gabtali High School, ",,,Muktagacha,বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Mymensingh,Mymensingh,Muktagachha,Ghoga,b1ccb4138fb32abb3375c510d6f7ce2d
2173,4388826037,893ce255c2bffff,24.7134238,90.294617,Bashna Community Clinic,"Bashna Community Clinic, Phulbari Mymensingh, Mymensingh District, Mymensingh Division, Bangladesh","ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ","Bashna Community Clinic, ",,,Phulbari (Mymensingh),বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['clinic'],[],Bangladesh,Mymensingh,Mymensingh,Fulbaria,Balian,e72885f555e25c18fbc861a9837f0438
2179,4388859702,893ce255c73ffff,24.7105951,90.290255,Hutkhula Bazar,"Hutkhula Bazar, Phulbari Mymensingh, Mymensingh District, Mymensingh Division, Bangladesh","ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ","Hutkhula Bazar, ",,,Phulbari (Mymensingh),বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Mymensingh,Mymensingh,Fulbaria,Balian,e72885f555e25c18fbc861a9837f0438
2205,4450037167,893ce255c2bffff,24.7125007,90.2979499,Bashna Bazar,"Bashna Bazar, Phulbari Mymensingh, Mymensingh District, Mymensingh Division, Bangladesh","ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ","Bashna Bazar, ",,,Phulbari (Mymensingh),বাংলাদেশ,ময়মনসিংহ বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Mymensingh,Mymensingh,Fulbaria,Balian,e72885f555e25c18fbc861a9837f0438
2261,229541727,893ce2414bbffff,24.570583229862688,90.17974024501575,Garobazar-Fulbaria Road,"Garobazar-Fulbaria Road, Phulbari Mymensingh, Mymensingh District, Mymensingh Division, Bangladesh","ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",Garobazar-Fulbaria Road,,,Phulbari (Mymensingh),বাংলাদেশ,ময়মনসিংহ বিভাগ,street,,,,Bangladesh,Mymensingh,Mymensingh,Fulbaria,Rangamatia,409bba1704ebed33d382a407b50f8541
2497,278921558,893ce250e07ffff,24.70000215,90.1505518,Mymensingh - Tangail Highway,"Mymensingh - Tangail Highway, Muktagacha, Mymensingh District, Mymensingh Division, Bangladesh","ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",Mymensingh - Tangail Highway,,,Muktagacha,বাংলাদেশ,ময়মনসিংহ বিভাগ,street,,,,Bangladesh,Mymensingh,Mymensingh,Muktagachha,Ghoga,b1ccb4138fb32abb3375c510d6f7ce2d
2761,229541534,893ce24336fffff,24.5769963,90.19019735,Garobazar-Fulbaria Road,"Garobazar-Fulbaria Road, Phulbari Mymensingh, Mymensingh District, Mymensingh Division, Bangladesh","ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",Garobazar-Fulbaria Road,,,Phulbari (Mymensingh),বাংলাদেশ,ময়মনসিংহ বিভাগ,street,,,,Bangladesh,Mymensingh,Mymensingh,Fulbaria,Naogaon,f0458cbce42633228088e02256c47fff
