,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2733,4631403754,893cf12f56bffff,23.7684692,90.7251313,,"Araihazar Upazila, Narayanganj District, Dhaka Division, Bangladesh","আড়াইহাজার উপজেলা, নারায়নগঞ্জ জেলা, নারায়ণগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,আড়াইহাজার উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Dhaka,Narayanganj,Araihazar,Bishnandi,f84bf22b2904472b4a41e2ed6551102a
2774,5028153083,893cf12890fffff,23.7117463,90.7035596,,"Araihazar Upazila, Narayanganj District, Dhaka Division, Bangladesh","আড়াইহাজার উপজেলা, নারায়নগঞ্জ জেলা, নারায়ণগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,আড়াইহাজার উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Dhaka,Narayanganj,Araihazar,KalaPaharia,c050c795000a41d3f0ac38690f848c81
2780,5028153230,893cc692563ffff,23.668488,90.7179496,,"Araihazar Upazila, Narayanganj District, Dhaka Division, Bangladesh","আড়াইহাজার উপজেলা, নারায়নগঞ্জ জেলা, নারায়ণগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,আড়াইহাজার উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Dhaka,Narayanganj,Araihazar,KalaPaharia,c050c795000a41d3f0ac38690f848c81
4853,9530634428,893cf121bafffff,23.8018373,90.7115793,GOPALDI GIRLS HIGH SCHOOL,"GOPALDI GIRLS HIGH SCHOOL, Araihazar Upazila, Narayanganj District, Dhaka Division, Bangladesh","আড়াইহাজার উপজেলা, নারায়নগঞ্জ জেলা, নারায়ণগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","GOPALDI GIRLS HIGH SCHOOL, ",,,আড়াইহাজার উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Dhaka,Narayanganj,Araihazar,Sadasardi,b78b59cfc58f1e0cba522de8e771350c
4860,9530634429,893cf121bafffff,23.8011912,90.7124011,SADASADI M.L.HIGH SCHOOL,"SADASADI M.L.HIGH SCHOOL, Araihazar Upazila, Narayanganj District, Dhaka Division, Bangladesh","আড়াইহাজার উপজেলা, নারায়নগঞ্জ জেলা, নারায়ণগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","SADASADI M.L.HIGH SCHOOL, ",,,আড়াইহাজার উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,"['educational_institution', 'school']",[],Bangladesh,Dhaka,Narayanganj,Araihazar,Sadasardi,b78b59cfc58f1e0cba522de8e771350c
2217,535697035,893cc6925b7ffff,23.68724060703781,90.72065606835908,khaliyar char-kalapaharia moddharchar sarak,"khaliyar char-kalapaharia moddharchar sarak, Araihazar Upazila, Narayanganj District, Dhaka Division, Bangladesh","আড়াইহাজার উপজেলা, নারায়নগঞ্জ জেলা, নারায়ণগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",khaliyar char-kalapaharia moddharchar sarak,,,আড়াইহাজার উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,street,,,,Bangladesh,Dhaka,Narayanganj,Araihazar,KalaPaharia,c050c795000a41d3f0ac38690f848c81
4094,535697036,893cc6925abffff,23.67978601347947,90.71847935608267,khaliyar char-kalapaharia moddharchar sarak,"khaliyar char-kalapaharia moddharchar sarak, Araihazar Upazila, Narayanganj District, Dhaka Division, Bangladesh","আড়াইহাজার উপজেলা, নারায়নগঞ্জ জেলা, নারায়ণগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",khaliyar char-kalapaharia moddharchar sarak,,,আড়াইহাজার উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,street,,,,Bangladesh,Dhaka,Narayanganj,Araihazar,KalaPaharia,c050c795000a41d3f0ac38690f848c81
4127,514731943,893cf12d6c7ffff,23.698803355355654,90.71364615716983,khaliyar char-kalapaharia moddharchar sarak,"khaliyar char-kalapaharia moddharchar sarak, Araihazar Upazila, Narayanganj District, Dhaka Division, Bangladesh","আড়াইহাজার উপজেলা, নারায়নগঞ্জ জেলা, নারায়ণগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",khaliyar char-kalapaharia moddharchar sarak,,,আড়াইহাজার উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,street,,,,Bangladesh,Dhaka,Narayanganj,Araihazar,KalaPaharia,c050c795000a41d3f0ac38690f848c81
4634,9167070763,893cf121bafffff,23.8020868,90.7109859,গোপালদী,"Gopaldi, Araihazar Upazila, Narayanganj District, Dhaka Division, Bangladesh","গোপালদী, আড়াইহাজার উপজেলা, নারায়নগঞ্জ জেলা, নারায়ণগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",,"গোপালদী, ","['গোপালদী', 'Gopaldi']",আড়াইহাজার উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,locality,,,,Bangladesh,Dhaka,Narayanganj,Araihazar,Sadasardi,b78b59cfc58f1e0cba522de8e771350c
4775,818600758,893cf174a6bffff,23.6272308,90.5052256,Khanpur Lal Mosque,"Khanpur Lal Mosque, Narayanganj, Narayanganj District, Dhaka Division, Bangladesh","নারায়নগঞ্জ জেলা, নারায়ণগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ","Khanpur Lal Mosque, ",,,Narayanganj,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Dhaka,Narayanganj,NarayanganjSadar,NarayanganjPaurashava,780ea0df78abb5aafb51ed5b251475f2
