,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
60,2343344189,893cc618ab3ffff,23.0601569,90.969302,Chatkhil Upazila Health Complex,"Chatkhil Upazila Health Complex, Chatkhil, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Chatkhil Upazila Health Complex, ",,,Chatkhil,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Chittagong,Noakhali,Chatkhil,ChatkhilPaurashava,b6a76c997c917a98910a12b806c82d37
94,835165304,893cc60ab33ffff,23.004028,91.09305,Bazra masjid,"Bazra masjid, Begumganj, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Bazra masjid, ",,,Begumganj,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Chittagong,Noakhali,Sonaimuri,Bazra,39e2f93186b75b5b539bdbb24a11dbd0
97,835168094,893cc6730a3ffff,22.864908,91.098666,Noakhali Zila Jama Masjid,"Noakhali Zila Jama Masjid, Noakhali, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Noakhali Zila Jama Masjid, ",,,Noakhali,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Chittagong,Noakhali,NoakhaliSadar(Sudharam),KadirHanif,42ce4fc063e26947bceed975c8c3cb33
105,2343341315,893cc60ab33ffff,23.0025372,91.0952915,Begumganj Upazila Health Complex,"Begumganj Upazila Health Complex, Begumganj, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Begumganj Upazila Health Complex, ",,,Begumganj,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Chittagong,Noakhali,Sonaimuri,Bazra,39e2f93186b75b5b539bdbb24a11dbd0
110,2345800569,893cc671483ffff,22.8281912,91.0996006,সোনাপুর কলেজ,"Noakhali, Noakhali District, Chattogram Division, Bangladesh","সোনাপুর কলেজ, নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,"সোনাপুর কলেজ, ",['Sonapur College'],Noakhali,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Chittagong,Noakhali,NoakhaliSadar(Sudharam),NoakhaliPaurashava,3e63313d46b19bdcf4b5d56033e480ec
119,2388373317,893cc67148bffff,22.823948,91.098423,Sonapur Bus Terminal,"Sonapur Bus Terminal, Noakhali, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Sonapur Bus Terminal,,,Noakhali,বাংলাদেশ,চট্টগ্রাম বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Chittagong,Noakhali,NoakhaliSadar(Sudharam),NoakhaliPaurashava,3e63313d46b19bdcf4b5d56033e480ec
123,2388381732,893cc644e4fffff,22.790180499999998,91.0260038,Cormulla Bazar,"Cormulla Bazar, Noakhali, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Cormulla Bazar, ",,,Noakhali,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Chittagong,Noakhali,NoakhaliSadar(Sudharam),Kaladaraf,2ae4cd643e1130c5301ed7da962f9fbd
128,2559269307,893cd5af477ffff,22.2927099,91.0736132,,"Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['ferry_terminal'],[],Bangladesh,Chittagong,Noakhali,Hatiya,Tamaruddin,c7af27b3439265cb8b3ae591bf9d7ae3
138,2572038881,893cc601a03ffff,23.0440112,91.0986423,সোনাইমুড়ি,"Begumganj, Noakhali District, Chattogram Division, Bangladesh","সোনাইমুড়ি, নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,"সোনাইমুড়ি, ",['Sonaimuri'],Begumganj,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Chittagong,Noakhali,Sonaimuri,SonaimuriPaurashava,550217582db3212d1fa05b1d53b6864c
148,2581109999,893cd532687ffff,22.1765068,91.0557872,,"Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Chittagong,Noakhali,Hatiya,Jahajmara,ae112db5dd64c2f6c5d7e3a919929b55
262,3579941404,893cd504b17ffff,22.0604673,91.02711,বন্দরটিলা বাজার,"Nijhum Dip, Noakhali District, Chattogram Division, Bangladesh","বন্দরটিলা বাজার, নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,"বন্দরটিলা বাজার, ",['Bondortila Bazar'],,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['marketplace'],[],Bangladesh,Chittagong,Noakhali,Hatiya,NijumDip,bc4430816d69609b22001941b28ed135
442,4334254937,893cd505d77ffff,22.0401174,90.9817207,Hotel Shahin,"Hotel Shahin, Nijhum Dip, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Hotel Shahin, ",,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['hotel'],[],Bangladesh,Chittagong,Noakhali,Hatiya,NijumDip,bc4430816d69609b22001941b28ed135
619,4936085723,893cc61887bffff,23.0634466,90.9716051,,"Chatkhil, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,['daroga bari'],Chatkhil,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['viewpoint'],[],Bangladesh,Chittagong,Noakhali,Chatkhil,ChatkhilPaurashava,b6a76c997c917a98910a12b806c82d37
679,4315672008,893cc67355bffff,22.87208,91.0899083,Good Heal,"Good Heal, Noakhali, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Good Heal, ",,,Noakhali,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Chittagong,Noakhali,NoakhaliSadar(Sudharam),KadirHanif,42ce4fc063e26947bceed975c8c3cb33
683,4348318005,893cc673543ffff,22.8718282,91.09171,Prime Hospital,"Prime Hospital, Noakhali, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Prime Hospital, ",,,Noakhali,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Chittagong,Noakhali,NoakhaliSadar(Sudharam),KadirHanif,42ce4fc063e26947bceed975c8c3cb33
869,4636544761,893cd5af477ffff,22.2926584,91.0742147,,"Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['ferry_terminal'],[],Bangladesh,Chittagong,Noakhali,Hatiya,Tamaruddin,c7af27b3439265cb8b3ae591bf9d7ae3
874,4636544781,893cd5b4373ffff,22.522041,91.0893213,,"Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['ferry_terminal'],[],Bangladesh,Chittagong,Noakhali,Hatiya,Chandnandi,9018337a8ed68bc8172c5c2fd2f88ba2
934,5062447119,893cd5326c3ffff,22.1709117,91.0470311,,"Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Chittagong,Noakhali,Hatiya,Jahajmara,ae112db5dd64c2f6c5d7e3a919929b55
936,5084551221,893cc6736d7ffff,22.8538904,91.0592417,,"Noakhali, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Noakhali,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Chittagong,Noakhali,NoakhaliSadar(Sudharam),Noannai,f701c5834aa2a3f8d14d905ac6126ee8
1127,5205640429,893cc6730bbffff,22.8644179,91.0929402,,"Noakhali, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Noakhali,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['park'],[],Bangladesh,Chittagong,Noakhali,NoakhaliSadar(Sudharam),KadirHanif,42ce4fc063e26947bceed975c8c3cb33
1344,6216511328,893cc67918bffff,22.66021,91.0984182,Char Jabbar Degree College,"Char Jabbar Degree College, Noakhali, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ","Char Jabbar Degree College, ",,,Noakhali,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Chittagong,Noakhali,Subarnachar,CharJubille,143a440a2210f35d17125579185de6cf
1382,6776668586,893cc6736d7ffff,22.8536264,91.0592855,,"Noakhali, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,,Noakhali,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['telephone'],[],Bangladesh,Chittagong,Noakhali,NoakhaliSadar(Sudharam),Noannai,f701c5834aa2a3f8d14d905ac6126ee8
1490,7036439786,893cc60146bffff,23.074174,91.0228834,,"Begumganj, Noakhali District, Chattogram Division, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,,['Nasir store'],Begumganj,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['variety_store'],[],Bangladesh,Chittagong,Noakhali,Sonaimuri,Jayag,b8cba2c1cb1f01824249c5f8a1af4fb0
