,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4069,5153087849,893cf0b2d37ffff,24.0827547,89.1755809,Ganti Post Office,"Ganti Post Office, Pabna, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Ganti Post Office, ",,,Pabna,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['post_office'],[],Bangladesh,Rajshahi,Pabna,PabnaSadar,Dapunia,4d34919d579fe5a9f742515c3004db55
4071,5153110363,893cf0b2d37ffff,24.0824306,89.1763491,Haji Market হাজী মার্কেট,"Haji Market, Pabna, Pabna District, Rajshahi Division, Bangladesh","হাজী মার্কেট, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,,,Pabna,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Pabna,PabnaSadar,Dapunia,4d34919d579fe5a9f742515c3004db55
4073,5153111343,893cf0b74d7ffff,24.0761516,89.1983769,Seed Goddown Bazzar Pabna,"Seed Goddown Bazzar Pabna, Pabna, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Seed Goddown Bazzar Pabna, ",,,Pabna,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Pabna,PabnaSadar,Maligachha,d610de28093686b458eb8d45ff536fb5
4075,5153123043,893cf0b2d37ffff,24.0821144,89.1763891,Atmail Bus Station,"Atmail Bus Station, Pabna, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Atmail Bus Station,,,Pabna,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Pabna,PabnaSadar,Dapunia,4d34919d579fe5a9f742515c3004db55
4077,5153123163,893cf54d32bffff,24.0923065,89.157402,কালিকাপুর,"Iswardi, Pabna District, Rajshahi Division, Bangladesh","কালিকাপুর, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,কালিকাপুর,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
4078,5153203779,893cf54d00bffff,24.1086723,89.1289901,Art Cottage Technologies,"Art Cottage Technologies, Iswardi, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Art Cottage Technologies, ",,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['artwork'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
4079,5153226040,893cf54d0c7ffff,24.1119918,89.1224386,Dutch-Bangla Bank Limited Fast Track,"Dutch-Bangla Bank Limited Fast Track, Iswardi, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Dutch-Bangla Bank Limited Fast Track, ",,['ডাচ-বাংলা ব্যাংক লিমিটেড ফার্স্ট ট্র্যাক'],Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
4080,5153226306,893cf54d0d7ffff,24.1127494,89.1216409,Dashuria Bus Station,"Dashuria Bus Station, Iswardi, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Dashuria Bus Station, ",,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
4081,5153226490,893cf54d0c3ffff,24.1121484,89.1214142,হাজী বিরানি হাউজ,"Iswardi, Pabna District, Rajshahi Division, Bangladesh","হাজী বিরানি হাউজ, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,"হাজী বিরানি হাউজ, ",,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Silimpur,7d71b0f5de9ede75bb5fcea9be20b4c4
4082,5153227041,893cf54d0d7ffff,24.1123675,89.1216623,Dashuria circle,"Dashuria circle, Iswardi, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Dashuria circle, ",,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['monument'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
4083,5153227256,893cf54d0d7ffff,24.1129624,89.1217616,ট্রাস্ট ব্যাংক লিমিটেড,"Iswardi, Pabna District, Rajshahi Division, Bangladesh","ট্রাস্ট ব্যাংক লিমিটেড, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,"ট্রাস্ট ব্যাংক লিমিটেড, ",['Trust Bank Limited'],Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
4084,5153228220,893cf54c68bffff,24.1584485,89.1378262,Muladuli Kacha Bazar কাচা বাজার,"Muladuli Kacha Bazar, Iswardi, Pabna District, Rajshahi Division, Bangladesh","কাচা বাজার, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Muladuli,4cdfec87dbdfba0322cb081daa08a3fe
4086,5153232510,893cf54c44bffff,24.1676297,89.1410472,Jnanada Pharmacy,"Jnanada Pharmacy, Iswardi, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Jnanada Pharmacy, ",,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Muladuli,4cdfec87dbdfba0322cb081daa08a3fe
4088,5153232529,893cf54c687ffff,24.1626676,89.1401275,SAFIA SUPER MARKET সাফিয়া সুপার মার্কেট,"SAFIA SUPER MARKET, Iswardi, Pabna District, Rajshahi Division, Bangladesh","সাফিয়া সুপার মার্কেট, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Muladuli,4cdfec87dbdfba0322cb081daa08a3fe
4095,5153232570,893cf54c687ffff,24.1631873,89.1403526,AL-AMIN SUPER MARKET আওয়ামী লীগ-আমিন সুপার মার্কেট,"AL-AMIN SUPER MARKET, Iswardi, Pabna District, Rajshahi Division, Bangladesh","আওয়ামী লীগ-আমিন সুপার মার্কেট, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['supermarket'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Muladuli,4cdfec87dbdfba0322cb081daa08a3fe
4098,5153235816,893cf54c44bffff,24.1670998,89.1406168,Biswas Medical Hall,"Biswas Medical Hall, Iswardi, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Biswas Medical Hall, ",,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Muladuli,4cdfec87dbdfba0322cb081daa08a3fe
4593,3731340874,893cf56d37bffff,24.077227,89.614898,Bera Upazilla Health Complex,"Bera Upazilla Health Complex, Bera, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Bera Upazilla Health Complex, ",,,Bera,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Rajshahi,Pabna,Bera,BeraPaurashava,5a3313b78a62849bf2656f5c8a21feee
4760,2344452078,893cf0a4297ffff,23.9386038,89.4095874,Sujanagar Upazila Health Complex,"Sujanagar Upazila Health Complex, Sujanagar, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Sujanagar Upazila Health Complex, ",,,Sujanagar,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Rajshahi,Pabna,Sujanagar,SujanagarPaurashava,30f97e37c00e2f24c3251eba3a33d321
4764,2344452178,893cf56a10bffff,24.1607052,89.457109,FaridpurUpazila Health Complex,"FaridpurUpazila Health Complex, Faridpur Pabna, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","FaridpurUpazila Health Complex, ",,,Faridpur (Pabna),বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Rajshahi,Pabna,Faridpur,Banwarinagar,4b58e114ed84cbb979be4bcfe423d9f7
4785,2456516040,893cf0a4d7bffff,23.9610666,89.496046,Chinakhora High School,"Chinakhora High School, Sujanagar, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Chinakhora High School, ",,,Sujanagar,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Rajshahi,Pabna,Sujanagar,Dulai,81b1e314531a7ecfa44f956da5399a28
4866,2841323559,893cf0a694bffff,23.9965265,89.4736123,Bonogram Bazar Bus Stop,"Bonogram Bazar Bus Stop, Santhia, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Bonogram Bazar Bus Stop, ",,,Santhia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Rajshahi,Pabna,Santhia,Ataikola,2c6e4088fb1b47a3e208257b9e7de992
5023,5060561030,893cf0a4d7bffff,23.9617096,89.4960541,,"Sujanagar, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,,['Bus station'],Sujanagar,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Rajshahi,Pabna,Sujanagar,Dulai,81b1e314531a7ecfa44f956da5399a28
1,5108011933,893cf1db5b3ffff,23.876045,89.48808,,"Sujanagar, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,,"[""Hasan's house""]",Sujanagar,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['confectionery'],[],Bangladesh,Rajshahi,Pabna,Sujanagar,Manikhat,954ae2c8746b0acb07ae605b800e20ff
2,5719892574,893cf54d0d3ffff,24.1132985,89.1164912,,"Iswardi, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['gate'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
5,5720936762,893cf54d0c7ffff,24.1113996,89.1233589,Janata Bank Limited,"Janata Bank Limited, Iswardi, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Janata Bank Limited, ",,['জনতা ব্যাংক লিমিটেড'],Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
13,6018702590,893cf54d017ffff,24.1126858,89.130372,দাশুরিয়া,"Iswardi, Pabna District, Rajshahi Division, Bangladesh","দাশুরিয়া, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,"দাশুরিয়া, ","['দাশুরিয়া', 'Dashuria']",Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Muladuli,4cdfec87dbdfba0322cb081daa08a3fe
27,6185338150,893cf54c6b3ffff,24.1638224,89.1432797,মূলাডুলি,"Iswardi, Pabna District, Rajshahi Division, Bangladesh","মূলাডুলি, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,"মূলাডুলি, ",['Muladuli'],Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Muladuli,4cdfec87dbdfba0322cb081daa08a3fe
177,7382672510,893cf54d01bffff,24.1098963,89.125754,Art Cottage Technologies,"Art Cottage Technologies, Iswardi, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Art Cottage Technologies, ",,,Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['it'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
233,5149385651,893cf0a4d7bffff,23.9615583,89.4959527,Bondhu Restora & Sweets,"Bondhu Restora & Sweets, Sujanagar, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Bondhu Restora & Sweets, ",,,Sujanagar,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rajshahi,Pabna,Sujanagar,Dulai,81b1e314531a7ecfa44f956da5399a28
243,5149389887,893cf0a4d7bffff,23.9621933,89.4951315,Chinakhora Bazar,"Chinakhora Bazar, Sujanagar, Pabna District, Rajshahi Division, Bangladesh","পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Chinakhora Bazar, ",,,Sujanagar,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Pabna,Sujanagar,Dulai,81b1e314531a7ecfa44f956da5399a28
