,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
1054,2477819074,893cd435d8bffff,21.8143431,90.1228878,Kuakata Bus Station,"Kuakata Bus Station, Kalapara Upazila, Patuakhali District, Barishal Division, Bangladesh","কলাপাড়া উপজেলা, পটুয়াখালী জেলা, বরিশাল বিভাগ, বাংলাদেশ","Kuakata Bus Station, ",,,কলাপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Barisal,Patuakhali,KalaPara,LataChapli,6505b6defc2ca160a5cea6d45f6ed2e0
1057,2477823292,893cd435d8bffff,21.8130846,90.1226475,কুয়াকাটা সমুদ্র সৈকত,"Kalapara Upazila, Patuakhali District, Barishal Division, Bangladesh","কুয়াকাটা সমুদ্র সৈকত, কলাপাড়া উপজেলা, পটুয়াখালী জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"কুয়াকাটা সমুদ্র সৈকত, ",['Kuakata Sea Beach'],কলাপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['beach'],[],Bangladesh,Barisal,Patuakhali,KalaPara,LataChapli,6505b6defc2ca160a5cea6d45f6ed2e0
1541,5158207821,893cf36f137ffff,22.3204496,90.1889153,Ranipur Bazar,"Ranipur Bazar, Mirzaganj Subdistrict, Patuakhali District, Barishal Division, Bangladesh","মির্জাগঞ্জ উপজেলা, পটুয়াখালী জেলা, বরিশাল বিভাগ, বাংলাদেশ","Ranipur Bazar, ",,,মির্জাগঞ্জ উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['supermarket'],[],Bangladesh,Barisal,Patuakhali,Mirzaganj,DeuliSubidkhali,0dd7cc194eec9d280ef22daea6415d75
1545,5158208392,893cf36f127ffff,22.3184127,90.1917122,Mia Bari Masjid,"Mia Bari Masjid, Mirzaganj Subdistrict, Patuakhali District, Barishal Division, Bangladesh","মির্জাগঞ্জ উপজেলা, পটুয়াখালী জেলা, বরিশাল বিভাগ, বাংলাদেশ","Mia Bari Masjid, ",,,মির্জাগঞ্জ উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Barisal,Patuakhali,Mirzaganj,DeuliSubidkhali,0dd7cc194eec9d280ef22daea6415d75
1549,5158208746,893cf36c603ffff,22.3031747,90.1973678,Kakrabunia Launch Terminal,"Kakrabunia Launch Terminal, Mirzaganj Subdistrict, Patuakhali District, Barishal Division, Bangladesh","মির্জাগঞ্জ উপজেলা, পটুয়াখালী জেলা, বরিশাল বিভাগ, বাংলাদেশ","Kakrabunia Launch Terminal, ",,,মির্জাগঞ্জ উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Barisal,Patuakhali,Mirzaganj,Karabunia,e5f239635a7e1c13056f5a705106ce46
1553,5158209429,893cf36c603ffff,22.3030881,90.1951252,Kakriabunia Jame Mosque,"Kakriabunia Jame Mosque, Mirzaganj Subdistrict, Patuakhali District, Barishal Division, Bangladesh","মির্জাগঞ্জ উপজেলা, পটুয়াখালী জেলা, বরিশাল বিভাগ, বাংলাদেশ","Kakriabunia Jame Mosque, ",,,মির্জাগঞ্জ উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Barisal,Patuakhali,Mirzaganj,Karabunia,e5f239635a7e1c13056f5a705106ce46
1557,5158210254,893cf36c603ffff,22.3029868,90.1961663,Fatema Medical Hall,"Fatema Medical Hall, Mirzaganj Subdistrict, Patuakhali District, Barishal Division, Bangladesh","মির্জাগঞ্জ উপজেলা, পটুয়াখালী জেলা, বরিশাল বিভাগ, বাংলাদেশ","Fatema Medical Hall, ",,,মির্জাগঞ্জ উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Barisal,Patuakhali,Mirzaganj,Karabunia,e5f239635a7e1c13056f5a705106ce46
1560,5158212380,893cf36c603ffff,22.3029215,90.1963386,Hotel Nemai,"Hotel Nemai, Mirzaganj Subdistrict, Patuakhali District, Barishal Division, Bangladesh","মির্জাগঞ্জ উপজেলা, পটুয়াখালী জেলা, বরিশাল বিভাগ, বাংলাদেশ","Hotel Nemai, ",,,মির্জাগঞ্জ উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Barisal,Patuakhali,Mirzaganj,Karabunia,e5f239635a7e1c13056f5a705106ce46
1596,5158215395,893cf36c603ffff,22.3029379,90.1965451,নাসির স্টোর,"Mirzaganj Subdistrict, Patuakhali District, Barishal Division, Bangladesh","নাসির স্টোর, মির্জাগঞ্জ উপজেলা, পটুয়াখালী জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"নাসির স্টোর, ",,মির্জাগঞ্জ উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['department_store'],[],Bangladesh,Barisal,Patuakhali,Mirzaganj,Karabunia,e5f239635a7e1c13056f5a705106ce46
1598,5158287848,893cf36f32fffff,22.2949824,90.1835596,Sinbari Jame Mosque,"Sinbari Jame Mosque, Mirzaganj Subdistrict, Patuakhali District, Barishal Division, Bangladesh","মির্জাগঞ্জ উপজেলা, পটুয়াখালী জেলা, বরিশাল বিভাগ, বাংলাদেশ","Sinbari Jame Mosque, ",,,মির্জাগঞ্জ উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Barisal,Patuakhali,Mirzaganj,Karabunia,e5f239635a7e1c13056f5a705106ce46
