,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
877,2343347185,893cf379a6fffff,22.2861,89.9534843,Mathbaria Upazila Health Complex,"Mathbaria Upazila Health Complex, Mathbaria Subdistrict, Pirojpur District, Barishal Division, Bangladesh","মঠবাড়িয়া উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ","Mathbaria Upazila Health Complex, ",,,মঠবাড়িয়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Barisal,Pirojpur,Mathbaria,Paurashava,64d61d823028f7d1f3ad1f400fb5c80f
879,2343351884,893cf372e8fffff,22.5783,89.9764492,Pirozpur General Hospital,"Pirozpur General Hospital, Pirojpur Municipality, Pirojpur Sadar Subdistrict, Pirojpur District, Barishal Division, Bangladesh","পিরোজপুর পৌরসভা, পিরোজপুর সদর উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ","Pirozpur General Hospital, ",,,পিরোজপুর সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,locality,boundaries,['hospital'],[],Bangladesh,Barisal,Pirojpur,PirojpurSadar,Paurashava,d8a9228b3ab43e00aceb1dbe03d5b06d
884,2392727183,893cf371c27ffff,22.4922475,89.9920715,চরখালী ফেরীঘাট,"Bhandaria Subdistrict, Pirojpur District, Barishal Division, Bangladesh","চরখালী ফেরীঘাট, ভান্ডারিয়া উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"চরখালী ফেরীঘাট, ",['Chorkhali Ferry Terminal'],ভান্ডারিয়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Barisal,Pirojpur,Bhandaria,Nudmulla,d07d1896ad7af80fee52f83cdfc7c3b1
899,2424145993,893cf37216fffff,22.578446,89.9672359,Governemnt Boys School,"Governemnt Boys School, Pirojpur Municipality, Pirojpur Sadar Subdistrict, Pirojpur District, Barishal Division, Bangladesh","পিরোজপুর পৌরসভা, পিরোজপুর সদর উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ","Governemnt Boys School, ",,,পিরোজপুর সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,locality,boundaries,['school'],[],Bangladesh,Barisal,Pirojpur,PirojpurSadar,Paurashava,d8a9228b3ab43e00aceb1dbe03d5b06d
901,2424160155,893cf372167ffff,22.5812961,89.968424,New Market,"New Market, Pirojpur Municipality, Pirojpur Sadar Subdistrict, Pirojpur District, Barishal Division, Bangladesh","পিরোজপুর পৌরসভা, পিরোজপুর সদর উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ","New Market, ",,,পিরোজপুর সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,locality,boundaries,['mall'],[],Bangladesh,Barisal,Pirojpur,PirojpurSadar,Paurashava,d8a9228b3ab43e00aceb1dbe03d5b06d
984,2881474984,893cf372e9bffff,22.5792769,89.9728219,হোটেল অবকাশ,"Pirojpur Municipality, Pirojpur Sadar Subdistrict, Pirojpur District, Barishal Division, Bangladesh","হোটেল অবকাশ, পিরোজপুর পৌরসভা, পিরোজপুর সদর উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"হোটেল অবকাশ, ",['Hotel Obokas'],পিরোজপুর সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,locality,boundaries,['hotel'],[],Bangladesh,Barisal,Pirojpur,PirojpurSadar,Paurashava,d8a9228b3ab43e00aceb1dbe03d5b06d
986,2881474985,893cf372e9bffff,22.5789108,89.9729842,পিরোজপুর মহিলা কলেজ,"Pirojpur Municipality, Pirojpur Sadar Subdistrict, Pirojpur District, Barishal Division, Bangladesh","পিরোজপুর মহিলা কলেজ, পিরোজপুর পৌরসভা, পিরোজপুর সদর উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"পিরোজপুর মহিলা কলেজ, ",['Pirojpur Mohila College'],পিরোজপুর সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,locality,boundaries,['college'],[],Bangladesh,Barisal,Pirojpur,PirojpurSadar,Paurashava,d8a9228b3ab43e00aceb1dbe03d5b06d
988,2881474986,893cf372e9bffff,22.5793258,89.9720006,পিরোজপুর সদর থানা,"Pirojpur Municipality, Pirojpur Sadar Subdistrict, Pirojpur District, Barishal Division, Bangladesh","পিরোজপুর সদর থানা, পিরোজপুর পৌরসভা, পিরোজপুর সদর উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"পিরোজপুর সদর থানা, ",['Pirojpur Sadar Thana'],পিরোজপুর সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,locality,boundaries,['police'],[],Bangladesh,Barisal,Pirojpur,PirojpurSadar,Paurashava,d8a9228b3ab43e00aceb1dbe03d5b06d
990,2881475086,893cf372e83ffff,22.5795294,89.9737632,,"Pirojpur Municipality, Pirojpur Sadar Subdistrict, Pirojpur District, Barishal Division, Bangladesh","পিরোজপুর পৌরসভা, পিরোজপুর সদর উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,পিরোজপুর সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,locality,boundaries,['place_of_worship_muslim'],[],Bangladesh,Barisal,Pirojpur,PirojpurSadar,Paurashava,d8a9228b3ab43e00aceb1dbe03d5b06d
1003,3054895094,893cf37216fffff,22.5794532,89.9688912,,"Pirojpur Municipality, Pirojpur Sadar Subdistrict, Pirojpur District, Barishal Division, Bangladesh","পিরোজপুর পৌরসভা, পিরোজপুর সদর উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,,,পিরোজপুর সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,locality,boundaries,['place_of_worship_muslim'],[],Bangladesh,Barisal,Pirojpur,PirojpurSadar,Paurashava,d8a9228b3ab43e00aceb1dbe03d5b06d
1006,3057053859,893cf372177ffff,22.5833633,89.967204,শহীদ সোহরাওয়ার্দী সরকারী কলেজ,"Pirojpur Municipality, Pirojpur Sadar Subdistrict, Pirojpur District, Barishal Division, Bangladesh","শহীদ সোহরাওয়ার্দী সরকারী কলেজ, পিরোজপুর পৌরসভা, পিরোজপুর সদর উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"শহীদ সোহরাওয়ার্দী সরকারী কলেজ, ",['Sohid Sohrawardi Government College'],পিরোজপুর সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,locality,boundaries,['college'],[],Bangladesh,Barisal,Pirojpur,PirojpurSadar,Paurashava,d8a9228b3ab43e00aceb1dbe03d5b06d
1016,3342752474,893cf372163ffff,22.579295899999998,89.9660638,সদর বালিকা বিদ্যালয়,"Pirojpur Municipality, Pirojpur Sadar Subdistrict, Pirojpur District, Barishal Division, Bangladesh","সদর বালিকা বিদ্যালয়, পিরোজপুর পৌরসভা, পিরোজপুর সদর উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"সদর বালিকা বিদ্যালয়, ","[""Sadar Girl's School""]",পিরোজপুর সদর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,locality,boundaries,['school'],[],Bangladesh,Barisal,Pirojpur,PirojpurSadar,Paurashava,d8a9228b3ab43e00aceb1dbe03d5b06d
1019,3382226993,893cf36b493ffff,22.2894376,89.9584405,অগ্রণী ব্যাংক লিমিটেড,"Mathbaria Subdistrict, Pirojpur District, Barishal Division, Bangladesh","অগ্রণী ব্যাংক লিমিটেড, মঠবাড়িয়া উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"অগ্রণী ব্যাংক লিমিটেড, ",['Agrani Bank Limited'],মঠবাড়িয়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Barisal,Pirojpur,Mathbaria,Mathbaria,6c41990ac25d21dab8f77922096ca717
1022,3382226994,893cf36b49bffff,22.288468,89.9585572,মঠবাড়িয়া বাজার,"Mathbaria Subdistrict, Pirojpur District, Barishal Division, Bangladesh","মঠবাড়িয়া বাজার, মঠবাড়িয়া উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"মঠবাড়িয়া বাজার, ",['Mathbaria Bazaar'],মঠবাড়িয়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Barisal,Pirojpur,Mathbaria,Paurashava,64d61d823028f7d1f3ad1f400fb5c80f
1025,3382226995,893cf379a2bffff,22.2929021,89.9552573,মঠবাড়িয়া বাস স্ট্যান্ড,"Mathbaria Subdistrict, Pirojpur District, Barishal Division, Bangladesh","মঠবাড়িয়া বাস স্ট্যান্ড, মঠবাড়িয়া উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, বাংলাদেশ",,"মঠবাড়িয়া বাস স্ট্যান্ড, ",['Mathbaria Bus Stand'],মঠবাড়িয়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Barisal,Pirojpur,Mathbaria,Mathbaria,6c41990ac25d21dab8f77922096ca717
