,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2006,3711534034,893cf16b577ffff,23.3715277,90.2966638,Kazir Hat,"Kazir Hat, Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Kazir Hat, ",,,জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,PurbaNaodoba,58adc8ffaae5f991f9b63b45bc340e36
2013,3711548461,893cf17997bffff,23.4070873,90.2819753,Mazir Ghat,"Mazir Ghat, Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Mazir Ghat, ",,,জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
2026,3712965320,893cf16b043ffff,23.3467701,90.2807995,Club Mor,"Club Mor, Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Club Mor, ",,,জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,SenerChar,4ced0e6346279d881fca5a36b90b6a31
2092,7469486208,893cf17994fffff,23.4067375,90.2782299,Painpara Post office,"Painpara Post office, ",,"Painpara Post office, ",,,জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,housenumber,sameSource,['post_office'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
2096,7469491716,893cf17997bffff,23.4058021,90.2814294,New Rogmukti Pharmacy,"New Rogmukti Pharmacy, ",,"New Rogmukti Pharmacy, ",,,জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,housenumber,sameSource,['doctors'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
2163,8170712062,893cf17997bffff,23.4060116,90.2799402,আইটি প্যালেস কম্পিউটার ট্রেনিং সেন্টার,"Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","আইটি প্যালেস কম্পিউটার ট্রেনিং সেন্টার, জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,"আইটি প্যালেস কম্পিউটার ট্রেনিং সেন্টার, ",,জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['educational_institution'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
4382,367204257,893cf16b383ffff,23.34787262,90.29887491,Kazir Hat,"Kazir Hat, Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ","Kazir Hat, ",,,জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,ZanjiraPaurashava,c6f9a9058dd96f5759086c337d193af3
788,601621298,893cf179847ffff,23.40172367,90.25549311,,"Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
790,601621357,893cf17987bffff,23.39970208,90.25669981,,"Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['pitch'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
793,601621364,893cf17987bffff,23.40009826,90.25668261,,"Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",,,,জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['pitch'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
