,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4520,2349386825,893cf56414bffff,24.3003839,89.6950129,Belkuchi Upazila Health Complex,"Belkuchi Upazila Health Complex, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Belkuchi Upazila Health Complex, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['hospital'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Belkuchi,2c0940c6a192e109930ea36eba78ad37
4529,2571440313,893cf5661cbffff,24.3612687,89.6604338,জামতৈল,"Sirajganj District, Rajshahi Division, Bangladesh","জামতৈল, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,"জামতৈল, ",['Jamtoil'],,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['railway_station'],[],Bangladesh,Rajshahi,Sirajganj,Kamarkhanda,Jamtail,f98f6ba0eaf58a4c42479e9fab43abab
4543,3360080652,893cf564093ffff,24.3151336,89.6715888,Adachaki Eid Gah Madh,"Adachaki Eid Gah Madh, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Adachaki Eid Gah Madh, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4546,3360179508,893cf56442bffff,24.3161495,89.6683445,Mollabari Jame Mosjid,"Mollabari Jame Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Mollabari Jame Mosjid, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4549,3360180510,893cf564427ffff,24.3218649,89.6728848,Adachaki Moddho Para Primary School,"Adachaki Moddho Para Primary School, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Adachaki Moddho Para Primary School, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['school'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4552,3360180511,893cf56442fffff,24.3174753,89.6717024,Adachaki Purbo Para Jame Mosjid,"Adachaki Purbo Para Jame Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Adachaki Purbo Para Jame Mosjid, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4554,3360180819,893cf5645c3ffff,24.3272027,89.6736528,Adachaki Uttor Para Jame Mosjid,"Adachaki Uttor Para Jame Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Adachaki Uttor Para Jame Mosjid, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4556,3360180919,893cf564423ffff,24.3184705,89.6678297,Adachaki Dokkhin Para Mosjid,"Adachaki Dokkhin Para Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Adachaki Dokkhin Para Mosjid, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4558,3360184904,893cf564423ffff,24.3195827,89.6694713,Adachki Kalibari Mondir,"Adachki Kalibari Mondir, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Adachki Kalibari Mondir, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4563,3360185097,893cf564437ffff,24.3223272,89.670691,Adachaki Moddho Para Jame Mosjid,"Adachaki Moddho Para Jame Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Adachaki Moddho Para Jame Mosjid, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4566,3360213293,893cf564427ffff,24.3193097,89.6721271,Adachaki Community Hospital,"Adachaki Community Hospital, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Adachaki Community Hospital, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['hospital'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4569,3360213393,893cf564423ffff,24.3190319,89.6694655,Adachaki Dokkhin Para Primary School,"Adachaki Dokkhin Para Primary School, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Adachaki Dokkhin Para Primary School, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['school'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4571,3360213493,893cf5645cbffff,24.325624,89.6725222,Adachaki Mussoli Bari Jame Mosjid,"Adachaki Mussoli Bari Jame Mosjid, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Adachaki Mussoli Bari Jame Mosjid, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4573,3360213593,893cf564553ffff,24.3233126,89.674582,Children Development School,"Children Development School, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Children Development School, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['school'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Bhangabari,2afa2715215fb395e3b5783ecc5c7b3f
4575,3360220493,893cf5643b3ffff,24.2996028,89.6966313,Alhaj Siddique High School,"Alhaj Siddique High School, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Alhaj Siddique High School, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['school'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Belkuchi,2c0940c6a192e109930ea36eba78ad37
4578,3360220593,893cf5643b3ffff,24.300455,89.6971728,Chala Bus Station,"Chala Bus Station, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Chala Bus Station, ",,,,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['bus_station'],[],Bangladesh,Rajshahi,Sirajganj,Belkuchi,Belkuchi,2c0940c6a192e109930ea36eba78ad37
5000,4875439123,893cf50cc63ffff,24.5233525,89.4735025,Dhamainagar Bazar,"Dhamainagar Bazar, Raiganj, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Dhamainagar Bazar, ",,['ধামাইনগর বাজার'],Raiganj,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Sirajganj,Royganj,Dhamainagar,fbf122230845534d9b6bfca8bfb324bd
5004,4875456500,893cf50cc0bffff,24.5277885,89.4678969,,"Raiganj, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,,,Raiganj,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['helipad'],[],Bangladesh,Rajshahi,Sirajganj,Royganj,Dhamainagar,fbf122230845534d9b6bfca8bfb324bd
5011,4894836893,893cf50c8b3ffff,24.5241755,89.490773,Dumrai Bazar,"Dumrai Bazar, Raiganj, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Dumrai Bazar, ",,['ডুমরাই বাজার'],Raiganj,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Sirajganj,Royganj,Chandaikona,45bd97eb56a0d9801d9c91657a3d4043
4,5123971908,893cf570dc7ffff,24.3861122,89.4455307,Harin Chara Bazar Bus Stop,"Harin Chara Bazar Bus Stop, Ullapara, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Harin Chara Bazar Bus Stop,,,Ullapara,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Sirajganj,UllahPara,Ramkrishnapur,39a9913b3e2115aa382a5d978964cf6e
8,5123974562,893cf570ca3ffff,24.383742,89.4346899,,"Ullapara, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,,,Ullapara,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['water_works'],[],Bangladesh,Rajshahi,Sirajganj,UllahPara,Ramkrishnapur,39a9913b3e2115aa382a5d978964cf6e
12,5123974595,893cf570ca3ffff,24.3840807,89.4326932,Dabirgonj Post Office,"Dabirgonj Post Office, Ullapara, Sirajganj District, Rajshahi Division, Bangladesh","সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, বাংলাদেশ","Dabirgonj Post Office, ",,,Ullapara,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['post_office'],[],Bangladesh,Rajshahi,Sirajganj,UllahPara,Ramkrishnapur,39a9913b3e2115aa382a5d978964cf6e
