,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
608,4712024280,893ce235103ffff,25.0490654,90.9923328,Madhyanagar Bazar Post Office,"Madhyanagar Bazar Post Office, Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ","Madhyanagar Bazar Post Office, ",,,,বাংলাদেশ,সিলেট বিভাগ,admin2,boundaries,['post_office'],[],Bangladesh,Sylhet,Sunamganj,Dharampasha,Madhyanagar,dba8eaff94791f8004eadb415132018e
1131,5224266416,893ce22198fffff,24.8981652,91.0133229,Dharmapasha Bazar,"Dharmapasha Bazar, Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ","Dharmapasha Bazar, ",,,,বাংলাদেশ,সিলেট বিভাগ,admin2,boundaries,['variety_store'],[],Bangladesh,Sylhet,Sunamganj,Dharampasha,Dharmapasha,7e6dec982d9ffc8da70398cbf229ecd0
1139,5224270880,893ce2219bbffff,24.8994151,91.0183999,,"Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ",,,,,বাংলাদেশ,সিলেট বিভাগ,admin2,boundaries,['atm'],[],Bangladesh,Sylhet,Sunamganj,Dharampasha,Dharmapasha,7e6dec982d9ffc8da70398cbf229ecd0
1146,5224281085,893ce2254a7ffff,24.9580796,91.0861811,Ferry Ghat,"Ferry Ghat, Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ","Ferry Ghat, ",,,,বাংলাদেশ,সিলেট বিভাগ,admin2,boundaries,['ferry_terminal'],[],Bangladesh,Sylhet,Sunamganj,Dharampasha,Joysree,1961cdd3d0883292198d0fb74a1f7ab6
1255,6124526826,893ce234e27ffff,25.0849819,91.0615379,Shorif pur primary school,"Shorif pur primary school, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ","Shorif pur primary school, ",,['logic_undp'],Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
1260,6124526827,893ce234e37ffff,25.0870661,91.0581851,Durlobpur Government Primary School,"Durlobpur Government Primary School, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ","Durlobpur Government Primary School, ",,['logic_undp'],Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
1264,6124526828,893ce234c73ffff,25.0986916,91.0562995,"Mahmud pur government primay school,West para","Mahmud pur government primay school West para, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ","Mahmud pur government primay school West para, ",,"['logic_undp', 'Sudden flood']",Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
1270,6124526829,893ce234c73ffff,25.0998478,91.0579652,Mahmud pur government primay school,"Mahmud pur government primay school, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ","Mahmud pur government primay school, ",,"['logic_undp', 'Sudden flood']",Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
1274,6124739363,893ce234e27ffff,25.084994,91.0611945,Shorif pur Kali Mondir,"Shorif pur Kali Mondir, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ","Shorif pur Kali Mondir, ",,['logic_undp'],Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['place_of_worship'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
1279,6124739364,893ce234e37ffff,25.0870698,91.0581891,Durlobpur Jame Mosque,"Durlobpur Jame Mosque, Tahirpur, Sunamganj District, Sylhet Division, Bangladesh","সুনামগঞ্জ জেলা, সিলেট বিভাগ, বাংলাদেশ","Durlobpur Jame Mosque, ",,['logic_undp'],Tahirpur,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Sylhet,Sunamganj,Tahirpur,DakshinSreepur,6b72da866ae3956d6516ccbbc62b3f3e
