,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4102,2332856867,893ce37250fffff,25.0854567,91.7554136,Companygonj Upazila Health Complex,"Companygonj Upazila Health Complex, Companiganj Sylhet, Sylhet District, Sylhet Division, Bangladesh","সিলেট জেলা, সিলেট বিভাগ, বাংলাদেশ","Companygonj Upazila Health Complex, ",,,Companiganj (Sylhet),বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Sylhet,Sylhet,Companiganj,IslampurPaschim,591449b9d04028c1fa84f845b118cd9e
4105,2332872329,893ce378203ffff,24.8405595,91.7257035,বিশ্বনাথ উপজেলা স্বাস্থ্য কমপ্লেক্স,"Biswanath, Sylhet District, Sylhet Division, Bangladesh","বিশ্বনাথ উপজেলা স্বাস্থ্য কমপ্লেক্স, সিলেট জেলা, সিলেট বিভাগ, বাংলাদেশ",,"বিশ্বনাথ উপজেলা স্বাস্থ্য কমপ্লেক্স, ",['বিশ্বনাথ উপজেলা স্বাস্থ্য কমপ্লেক্স'],Biswanath,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Sylhet,Sylhet,Bishwanath,Rampasha,b8beb2d3c588466c857ec1cdd28463df
4559,4818701027,893ce37a16bffff,24.9098067,91.7314632,Lamakaji bus stop,"Lamakaji bus stop, Biswanath, Sylhet District, Sylhet Division, Bangladesh","সিলেট জেলা, সিলেট বিভাগ, বাংলাদেশ",Lamakaji bus stop,,,Biswanath,বাংলাদেশ,সিলেট বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Sylhet,Sylhet,Bishwanath,LamaKazi,e1badf065ba4bd1ea64abd49b2eec233
94,5162589909,893ce379937ffff,24.8190117,91.7965109,Alinogar & Shabsen Mosque,"Alinogar & Shabsen Mosque, Biswanath, Sylhet District, Sylhet Division, Bangladesh","সিলেট জেলা, সিলেট বিভাগ, বাংলাদেশ","Alinogar & Shabsen Mosque, ",,,Biswanath,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Sylhet,Sylhet,DakshinSurma,LalaBazar,c0671d00bdec2492af4ea36a95c9473c
95,5162592008,893ce379923ffff,24.8160327,91.7957078,Taj Mohrom pur Masjid,"Taj Mohrom pur Masjid, Biswanath, Sylhet District, Sylhet Division, Bangladesh","সিলেট জেলা, সিলেট বিভাগ, বাংলাদেশ","Taj Mohrom pur Masjid, ",,,Biswanath,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Sylhet,Sylhet,DakshinSurma,LalaBazar,c0671d00bdec2492af4ea36a95c9473c
97,5162600085,893ce379977ffff,24.811346,91.7920933,Roshidpur pharmacy,"Roshidpur pharmacy, Biswanath, Sylhet District, Sylhet Division, Bangladesh","সিলেট জেলা, সিলেট বিভাগ, বাংলাদেশ","Roshidpur pharmacy, ",,,Biswanath,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Sylhet,Sylhet,DakshinSurma,LalaBazar,c0671d00bdec2492af4ea36a95c9473c
98,5162601463,893ce379977ffff,24.8105932,91.7919912,Roshidpur Bus Stop,"Roshidpur Bus Stop, Biswanath, Sylhet District, Sylhet Division, Bangladesh","সিলেট জেলা, সিলেট বিভাগ, বাংলাদেশ","Roshidpur Bus Stop, ",,,Biswanath,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Sylhet,Sylhet,DakshinSurma,LalaBazar,c0671d00bdec2492af4ea36a95c9473c
100,5162641459,893ce379bafffff,24.7992629,91.7898126,Jony Resturant and Sweetmeat,"Jony Resturant and Sweetmeat, Biswanath, Sylhet District, Sylhet Division, Bangladesh","সিলেট জেলা, সিলেট বিভাগ, বাংলাদেশ","Jony Resturant and Sweetmeat, ",,,Biswanath,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Sylhet,Sylhet,DakshinSurma,LalaBazar,c0671d00bdec2492af4ea36a95c9473c
101,5162643290,893ce379bafffff,24.7991565,91.7898512,Shahed Departmental Store,"Shahed Departmental Store, Biswanath, Sylhet District, Sylhet Division, Bangladesh","সিলেট জেলা, সিলেট বিভাগ, বাংলাদেশ","Shahed Departmental Store, ",,,Biswanath,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['department_store'],[],Bangladesh,Sylhet,Sylhet,DakshinSurma,LalaBazar,c0671d00bdec2492af4ea36a95c9473c
103,5162645095,893ce379bafffff,24.7990091,91.7898502,Rajmahal Sweets and Fire Foods,"Rajmahal Sweets and Fire Foods, Biswanath, Sylhet District, Sylhet Division, Bangladesh","সিলেট জেলা, সিলেট বিভাগ, বাংলাদেশ","Rajmahal Sweets and Fire Foods, ",,,Biswanath,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Sylhet,Sylhet,DakshinSurma,LalaBazar,c0671d00bdec2492af4ea36a95c9473c
