,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
10,1412090871,893c1949053ffff,25.859262,88.3578266,পীরগঞ্জ,"Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","পীরগঞ্জ, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",,"পীরগঞ্জ, ","['পীরগঞ্জ', 'Pirganj']",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
24,4402116589,893c195952bffff,25.984854,88.2505923,,"Ranisankail Upazila, Thakurgaon District, Rangpur Division, Bangladesh","রাণীশংকৈল উপজেলা, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",,,['nekmorad'],রাণীশংকৈল উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Rangpur,Thakurgaon,Ranisankail,Nekmarad,e3f8833fda395bad35798850921b9df3
85,5203789326,893c1949073ffff,25.8597128,88.3671155,Pirganj-Dinajpur Bus-Tarminal,"Pirganj-Dinajpur Bus-Tarminal, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj-Dinajpur Bus-Tarminal,,,Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
92,5203795612,893c1949043ffff,25.8573198,88.3606963,Priyanka Restaurant প্রিয়াংকা রেস্তোরাঁ,"Priyanka Restaurant, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","প্রিয়াংকা রেস্তোরাঁ, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
94,5203797382,893c1949043ffff,25.8573282,88.3610222,Pirganj East Chourasta Bus Stop,"Pirganj East Chourasta Bus Stop, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj East Chourasta Bus Stop,,,Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
97,5203799441,893c1949043ffff,25.8572032,88.3606524,Jakir Hotel জাকির হোটেল,"Jakir Hotel, ","জাকির হোটেল, ",,,,Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,housenumber,contains,['restaurant'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
99,5203799446,893c1949043ffff,25.8571383,88.3604806,অগ্রণী ব্যাংক,"Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","অগ্রণী ব্যাংক, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",,"অগ্রণী ব্যাংক, ","['অগ্রণী ব্যাংক', 'Agrani Bank']",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
106,5203799488,893c1949043ffff,25.8569787,88.3603654,,"Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
109,5203799495,893c1949043ffff,25.8569402,88.359878,Pirganj BRTC Bus Stop,"Pirganj BRTC Bus Stop, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ","Pirganj BRTC Bus Stop, ",,,Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
111,5203802345,893c1949043ffff,25.8567391,88.3587231,,"Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",,,,Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
