osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2343351880.0,893cf342317ffff,22.4732356,89.6175708,Mangla Upazila Health Complex,,"Mangla Upazila Health Complex, Bagerhat District, Khulna Division, Bangladesh","মঙ্গেলা উপজিলা স্বাস্থ্য কমপ্লেক্স, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['hospital'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
3578047659.0,893cf341e2bffff,22.3707932,89.6434788,Joymoni Forest Office,,"Joymoni Forest Office, ","জয়মনি ফরেস্ট অফিস, ",,বাংলাদেশ,খুলনা বিভাগ,housenumber,sameSource,['government'],[],Bangladesh,Khulna,Bagerhat,Mongla,Chila,0788084c4f27331c26023c1564256680
3578049494.0,893cf341e2bffff,22.3704167,89.6442244,Joymoni Bazar,,"Joymoni Bazar, ","জয়মোনি বাজার, ",,বাংলাদেশ,খুলনা বিভাগ,housenumber,sameSource,['marketplace'],[],Bangladesh,Khulna,Bagerhat,Mongla,Chila,0788084c4f27331c26023c1564256680
4410247093.0,893cf34200fffff,22.4826707,89.6009217,,['PowerPac Economic Zone'],"Bagerhat District, Khulna Division, Bangladesh","বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['government'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
4605820199.0,893cf35519bffff,22.5511584,89.6524528,,,"Rampal Upazila, Bagerhat District, Khulna Division, Bangladesh","রামপাল উপজেলা, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",রামপাল উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Bagerhat,Rampal,Perikhali,b576ee1c649888b561cccebd7b55fee5
5176022555.0,893cf341e67ffff,22.3673053,89.6428864,Forest Ghat,,"Forest Ghat, Bagerhat District, Khulna Division, Bangladesh","বন ঘাট, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Bagerhat,Mongla,ChandpaiRange,a9acae0b7a51899f709eaf805a82b809
5176025011.0,893cf34231bffff,22.4696242,89.6144663,মংলা উপজেলা কেন্দ্রীয় মন্দির,,"Mongla Upazila Central Temple, Bagerhat District, Khulna Division, Bangladesh","মংলা উপজেলা কেন্দ্রীয় মন্দির, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['place_of_worship'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5176041682.0,893cf341dcbffff,22.4003435,89.6555788,Baiddomari Bazar,,"Baiddomari Bazar, Bagerhat District, Khulna Division, Bangladesh","বাইদোমারি বাজার, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['supermarket'],[],Bangladesh,Khulna,Bagerhat,Mongla,ChandpaiRange,a9acae0b7a51899f709eaf805a82b809
5176047212.0,893cf34230bffff,22.4689298,89.6147159,Roy Telecom রায় টেলি,,"Roy Telecom, Bagerhat District, Khulna Division, Bangladesh","রায় টেলি, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['copyshop'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5176051801.0,893cf3423c3ffff,22.4717188,89.6054148,Bangladesh Hotel & Restaurant বাংলাদেশ হোটেল এন্ড রেঁস্তোরা,,"Bangladesh Hotel & Restaurant, Bagerhat District, Khulna Division, Bangladesh","বাংলাদেশ হোটেল এন্ড রেঁস্তোরা, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['restaurant'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5176054536.0,893cf3423d3ffff,22.4721614,89.6051918,Arafat shoes আরাফাত জুতা,,"Arafat shoes, Bagerhat District, Khulna Division, Bangladesh","আরাফাত জুতা, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['shoes'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5176054614.0,893cf3423d3ffff,22.471737,89.6050078,Mohiuddin and Sons মহিউদ্দিন এবং সন্স,,"Mohiuddin and Sons, Bagerhat District, Khulna Division, Bangladesh","মহিউদ্দিন এবং সন্স, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['department_store'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5176054615.0,893cf3423d3ffff,22.4716119,89.6042408,Shuvo cloth stor শুভ কাপড় বিশাল,,"Shuvo cloth stor, Bagerhat District, Khulna Division, Bangladesh","শুভ কাপড় বিশাল, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['clothes'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5176055920.0,893cf3423d3ffff,22.4714485,89.6047816,Bosurhat Store,,"Bosurhat Store, Bagerhat District, Khulna Division, Bangladesh","বোসুরহাত স্টোর, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['department_store'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5176056758.0,893cf3423d3ffff,22.4718346,89.6044766,CT Trailers,,"CT Trailers, Bagerhat District, Khulna Division, Bangladesh","সিটি ট্রেলার, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['clothes'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5176142243.0,893cf3423d3ffff,22.4721098,89.6044767,Mongla Super Cafe,,"Mongla Super Cafe, Bagerhat District, Khulna Division, Bangladesh","মংলা সুপার ক্যাফে, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['cafe'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5179322674.0,893cf3423cfffff,22.4676614,89.6106596,Shahin Sweets,,"Shahin Sweets, Bagerhat District, Khulna Division, Bangladesh","শাহিন মিষ্টি, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['restaurant'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5179327058.0,893cf3423dbffff,22.4694897,89.6020258,Sundarban Market,,"Sundarban Market, Bagerhat District, Khulna Division, Bangladesh","সুন্দরবান বাজার, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['marketplace'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5179328576.0,893cf3423dbffff,22.4704382,89.6028625,Ahona Super Shop,,"Ahona Super Shop, Bagerhat District, Khulna Division, Bangladesh","আহোনা সুপার শপ, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['supermarket'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5179336770.0,893cf3423dbffff,22.4707295,89.6035374,jui electronics and electrics,,"jui electronics and electrics, Bagerhat District, Khulna Division, Bangladesh","JUI ইলেকট্রনিক্স এবং বৈদ্যুতিন, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['electronics'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5179338032.0,893cf3423dbffff,22.4708088,89.6032598,Jubayer Stationry,,"Jubayer Stationry, Bagerhat District, Khulna Division, Bangladesh","জুবায়ার স্টেশন, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['stationery'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5179338797.0,893cf3423dbffff,22.4708361,89.6035522,Mobile Shope Mongla,,"Mobile Shope Mongla, Bagerhat District, Khulna Division, Bangladesh","মোবাইল শপ মংলা, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['mobile_phone'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5179343060.0,893cf3422a7ffff,22.4715859,89.60199,Mongla Banishanta Boat Ghat,,"Mongla Banishanta Boat Ghat, Bagerhat District, Khulna Division, Bangladesh","মংলা বনিশন্ত নৌকা ঘাট, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
5179343572.0,893cf3423d3ffff,22.4723416,89.602802,Boat trip to the Sundarban from Mongla,,"Boat trip to the Sundarban from Mongla, Bagerhat District, Khulna Division, Bangladesh","মংলা থেকে সুন্দরবনে নৌকা ভ্রমণ, বাগেরহাট জেলা, খুলনা বিভাগ, বাংলাদেশ",,বাংলাদেশ,খুলনা বিভাগ,admin2,boundaries,['ferry_terminal'],[],Bangladesh,Khulna,Bagerhat,Mongla,MonglaPortPaurashava,cfa5533c37fcd2c2dc4c52c976f11982
