osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
477231874.0,893cc26687bffff,22.0599881,92.3796806,Ruma Garison,,"Ruma Garison, Ruma, Bandarban Hill District, Chattogram Division, Bangladesh","রুমা গ্যারিসন, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Ruma,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['police'],[],Bangladesh,Chittagong,Bandarban,Ruma,Ruma,336f4571b690be14a4b7ed66df30751b
1751595436.0,893cc2660cbffff,22.0692935,92.3013978,,,"Rowangchhari, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Rowangchhari,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['cafe'],[],Bangladesh,Chittagong,Bandarban,Rowangchhari,Tarachha,9d37466edc127248da7e413c2442678c
1751595447.0,893cc266e13ffff,22.065371,92.3522846,,,"Ruma, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Ruma,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Chittagong,Bandarban,Ruma,Ruma,336f4571b690be14a4b7ed66df30751b
2633868683.0,893cdcd6407ffff,21.8203053,92.3795874,চিম্বুক,"['চিম্বুক', 'Chimbuk']","Chimbook, Bandarban Hill District, Chattogram Division, Bangladesh","চিম্বুক, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['peak'],[],Bangladesh,Chittagong,Bandarban,Thanchi,Balipara,a6c2aaa6a406400300699fc74b32c262
2831083551.0,893cdcd1977ffff,21.6523607,92.3119346,Alikadam Upazila Health Complex,,"Alikadam Upazila Health Complex, Bandarban Hill District, Chattogram Division, Bangladesh","আলিকাদম উপজিলা স্বাস্থ্য কমপ্লেক্স, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['hospital'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
4563662790.0,893cc26e8c3ffff,21.9128384,92.3244821,,['NIL GIRI Resorts'],"Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['motel'],[],Bangladesh,Chittagong,Bandarban,Ruma,Ghalangya,3f2afb5c24afda9011ccb9d00b5162cc
6625402785.0,893cdcd1977ffff,21.6529421,92.3129482,,['Alikadam'],"Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['fire_station'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
6625420985.0,893cdcd1947ffff,21.6502928,92.3072684,,['The Damtuya Inn'],"Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['guest_house'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
6636544900.0,893cdcd1973ffff,21.6505178,92.3077753,Alikadam Ideal School Of College,,"Alikadam Ideal School Of College, Bandarban Hill District, Chattogram Division, Bangladesh","কলেজের অ্যালিকাদম আদর্শ স্কুল, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['school'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
6636544901.0,893cdcd1973ffff,21.6529958,92.3092908,Alikadam Police Station,,"Alikadam Police Station, Bandarban Hill District, Chattogram Division, Bangladesh","আলিকাদম থানা, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['police'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
6636669380.0,893cdcc2693ffff,21.6520552,92.3180929,Green Hill,,"Green Hill, Bandarban Hill District, Chattogram Division, Bangladesh","সবুজ পাহাড়, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['ngo'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
6636690588.0,893cdcd1973ffff,21.6522221,92.308467,,,"Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
6636690589.0,893cdcd193bffff,21.6557256,92.3118643,Alikadam Bus Stops,,"Alikadam Bus Stops, Bandarban Hill District, Chattogram Division, Bangladesh","আলিকাদম বাস স্টপস, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
6665385141.0,893cdcc26d3ffff,21.6449122,92.3126583,,,"Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['gate'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
6718194728.0,893cdcc2687ffff,21.6487889,92.3233455,,,"Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['gate'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
8298488117.0,893cdcd1973ffff,21.6529533,92.3093609,,,"Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['police'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
9143590029.0,893cdcc18d3ffff,21.5423672,92.3973289,,,"Alikadam, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Alikadam,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
9272924005.0,893cdcd0d0fffff,21.7227952,92.3291867,,,"Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,['ford'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
9530594595.0,893cdcd192fffff,21.6558658,92.319835,ALIKADAM RESIDENTIAL SCHOOL,,"ALIKADAM RESIDENTIAL SCHOOL, Bandarban Hill District, Chattogram Division, Bangladesh","আলিকাদম আবাসিক স্কুল, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,"['educational_institution', 'school']",[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
9530594596.0,893cdcd196bffff,21.6462885,92.3122742,ALIKADAM CANTONMENT PUBLIC SCHOOL,,"ALIKADAM CANTONMENT PUBLIC SCHOOL, Bandarban Hill District, Chattogram Division, Bangladesh","আলিকাদম ক্যান্টনমেন্ট পাবলিক স্কুল, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,"['educational_institution', 'school']",[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
9530594597.0,893cdcd1963ffff,21.6497787,92.3122757,ALIKADM GIRLS HIGH SCHOOL,,"ALIKADM GIRLS HIGH SCHOOL, Bandarban Hill District, Chattogram Division, Bangladesh","আলিকাদম গার্লস হাই স্কুল, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,"['educational_institution', 'school']",[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
9530594598.0,893cdcd1963ffff,21.6510942,92.3120546,ALIKADAM GOVT HIGH SCHOOL,,"ALIKADAM GOVT HIGH SCHOOL, Bandarban Hill District, Chattogram Division, Bangladesh","আলিকাদম সরকারী উচ্চ বিদ্যালয়, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,"['educational_institution', 'school']",[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
9530594599.0,893cdcd19c7ffff,21.6591557,92.3018381,MONGCHING HEADMANPARA GOVT. PRIMARY SCHOOL,,"MONGCHING HEADMANPARA GOVT. PRIMARY SCHOOL, Bandarban Hill District, Chattogram Division, Bangladesh","মংচিং হেডম্যানপারা সরকার।প্রাথমিক বিদ্যালয়, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,admin2,boundaries,"['educational_institution', 'school']",[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
9737680728.0,893cdccada3ffff,21.5183374,92.3850298,,,"Alikadam, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Alikadam,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
10008870429.0,893cdcc18d3ffff,21.5430324,92.3959942,,,"Alikadam, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Alikadam,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
10008870430.0,893cdcc18d3ffff,21.5428761,92.3963224,,,"Alikadam, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Alikadam,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
10008870431.0,893cdcc18d3ffff,21.5424779,92.3971713,,,"Alikadam, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Alikadam,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
10008870432.0,893cdcc18d3ffff,21.5416953,92.3983042,,,"Alikadam, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Alikadam,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
10008870433.0,893cdcc18c3ffff,21.5413817,92.3990369,,,"Alikadam, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Alikadam,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
10008870434.0,893cdcc18c3ffff,21.5413607,92.3991167,,,"Alikadam, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Alikadam,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
258476710.0,893cc22b143ffff,22.17840272,92.33778492,Rowangchhari Upazila Health Complex,,"Rowangchhari Upazila Health Complex, Rowangchhari, Bandarban Hill District, Chattogram Division, Bangladesh","রোআংখারি উপজিলা স্বাস্থ্য কমপ্লেক্স, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Rowangchhari,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Chittagong,Bandarban,Rowangchhari,Rowangchhari,11e1a0b5973654ae0c996cb138433baf
162797962.0,893cc22b407ffff,22.195784310693785,92.3052041519323,বান্দরবান-রোয়াংছড়ি সড়ক,['Bandarban Rowangchari Road'],"Bandarban-Roangchari road, Bandarban Rowangchari Road, Rowangchhari, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান-রোয়াংছড়ি সড়ক, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Rowangchhari,বাংলাদেশ,চট্টগ্রাম বিভাগ,street,,,,Bangladesh,Chittagong,Bandarban,BandarbanSadar,Bandarban,13cb303678dfba1aa2824cb8d9b10fe6
162681787.0,893cc275943ffff,22.073697550042255,92.26430181952742,Bandarban - Thanchi Road,,"Bandarban - Thanchi Road, Ruma, Bandarban Hill District, Chattogram Division, Bangladesh","বান্ডারবান - থানচি রোড, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Ruma,বাংলাদেশ,চট্টগ্রাম বিভাগ,street,,,,Bangladesh,Chittagong,Bandarban,Rowangchhari,Tarachha,9d37466edc127248da7e413c2442678c
9822352605.0,893cc22a08bffff,22.2346727,92.3507658,Katchaptali,,"Katchaptali, Rowangchhari, Bandarban Hill District, Chattogram Division, Bangladesh","কাচাপ্টালি, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Rowangchhari,বাংলাদেশ,চট্টগ্রাম বিভাগ,locality,,,,Bangladesh,Chittagong,Bandarban,Rowangchhari,Alikhong,222baf4ed4728eb8ece43ab81bf88b2f
4215808581.0,893cdcd625bffff,21.7736263,92.3780508,চৈক্ষ্যং,"['চৈক্ষ্যং', 'Chokhyong']","Chakhayang, Chokhyong, Bandarban Hill District, Chattogram Division, Bangladesh","চৈক্ষ্যং, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,locality,,,,Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
477231664.0,893cc266e13ffff,22.0652369,92.3519787,কাখাংছড়ি,"['কাখাংছড়ি', 'Kakhangchari']","Kakhangchhari, Kakhangchari, Ruma, Bandarban Hill District, Chattogram Division, Bangladesh","কাখাংছড়ি, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Ruma,বাংলাদেশ,চট্টগ্রাম বিভাগ,locality,,,,Bangladesh,Chittagong,Bandarban,Ruma,Ruma,336f4571b690be14a4b7ed66df30751b
4215808586.0,893cc265873ffff,21.9599401,92.3749609,গ্যালেংগ্যা,"['গ্যালেংগ্যা', 'Ghalangya']","Galengya, Ghalangya, Ruma, Bandarban Hill District, Chattogram Division, Bangladesh","গ্যালেংগ্যা, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Ruma,বাংলাদেশ,চট্টগ্রাম বিভাগ,locality,,,,Bangladesh,Chittagong,Bandarban,Ruma,Ghalangya,3f2afb5c24afda9011ccb9d00b5162cc
4215808568.0,893cc22accfffff,22.2389925,92.3979635,আলেক্ষ্যং,"['আলেক্ষ্যং', 'Alekyong']","Alphabet, Alekyong, Rowangchhari, Bandarban Hill District, Chattogram Division, Bangladesh","আলেক্ষ্যং, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Rowangchhari,বাংলাদেশ,চট্টগ্রাম বিভাগ,locality,,,,Bangladesh,Chittagong,Bandarban,Rowangchhari,Alikhong,222baf4ed4728eb8ece43ab81bf88b2f
7022937812.0,893cc266a1bffff,22.0456404,92.3679946,,,"Ruma, Bandarban Hill District, Chattogram Division, Bangladesh","বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Ruma,বাংলাদেশ,চট্টগ্রাম বিভাগ,local_admin,,,,Bangladesh,Chittagong,Bandarban,Ruma,Ruma,336f4571b690be14a4b7ed66df30751b
2481967219.0,893cc22b153ffff,22.1786191,92.3354471,রোয়াংছড়ি,"['রোয়াংছড়ি', 'Rowangchari']","Roangchari, Rowangchari, Rowangchhari, Bandarban Hill District, Chattogram Division, Bangladesh","রোয়াংছড়ি, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Rowangchhari,বাংলাদেশ,চট্টগ্রাম বিভাগ,locality,,,,Bangladesh,Chittagong,Bandarban,Rowangchhari,Rowangchhari,11e1a0b5973654ae0c996cb138433baf
4215808901.0,893cc238817ffff,22.2844283,92.328269,নোয়াপতং,"['নোয়াপতং', 'Nowa Potong']","Noaptong, Nowa Potong, Rowangchhari, Bandarban Hill District, Chattogram Division, Bangladesh","নোয়াপতং, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",Rowangchhari,বাংলাদেশ,চট্টগ্রাম বিভাগ,locality,,,,Bangladesh,Chittagong,Bandarban,Rowangchhari,NowaPatang,c9e8c47a15111dedb61b553ad20862e7
2481967203.0,893cdcd1937ffff,21.6588358,92.3185873,আলীকদম,"['আলীকদম', 'Alikadam']","Alikadam, Bandarban Hill District, Chattogram Division, Bangladesh","আলীকদম, বান্দরবান পার্বত্য জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",,বাংলাদেশ,চট্টগ্রাম বিভাগ,locality,,,,Bangladesh,Chittagong,Bandarban,Alikadam,Chokhyong,d939fff41bb7656140080dd8032388c9
