osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2343395370.0,893cf3324a7ffff,22.9636166,90.1825251,Agailjhara Upazila Health Complex,,"Agailjhara Upazila Health Complex, Agailjhara Subdistrict, Barisal District, Barishal Division, Bangladesh","আযাইলঝারা উপজিলা স্বাস্থ্য কমপ্লেক্স, আগৈলঝাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",আগৈলঝাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Barisal,Barisal,Agailjhara,Gaila,653d44002e2457d49015f3865d5034f4
3377493611.0,893cf305ba3ffff,22.7767639,90.1070548,Gaurango Bazar,,"Gaurango Bazar, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","গৌরাঙ্গো বাজার, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Barisal,Barisal,BanariPara,Iluhar,73baf3721554313c989afd570bd50517
3382649739.0,893cf33a443ffff,22.7914849,90.1267662,বাইশারী বাজার,,"Baishari Market, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","বাইশারী বাজার, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Barisal,Barisal,BanariPara,BaisariPara,c9b2da8105786f2bc3f07cbeb4563833
3382661620.0,893cf305babffff,22.7761704,90.1066017,Gaurango Bazar Boat Terminal,,"Gaurango Bazar Boat Terminal, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","গৌরাঙ্গো বাজার বোট টার্মিনাল, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Barisal,Barisal,BanariPara,Iluhar,73baf3721554313c989afd570bd50517
3382667415.0,893cf30590bffff,22.790404,90.107556,Moluhar Boat Terminal,,"Moluhar Boat Terminal, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","মোলুহার নৌকা টার্মিনাল, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Barisal,Barisal,BanariPara,Iluhar,73baf3721554313c989afd570bd50517
3384056553.0,893cf304a5bffff,22.8077247,90.1050978,জনতা বাজার,,"Janata Market, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","জনতা বাজার, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Barisal,Barisal,BanariPara,Udaykati,fcea95c4f2f3b2c2ee01314537630f0a
3384061091.0,893cf304a5bffff,22.8068045,90.1047773,জনতা লঞ্চ ঘাট,,"Janata Launch Ghat, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","জনতা লঞ্চ ঘাট, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Barisal,Barisal,BanariPara,Udaykati,fcea95c4f2f3b2c2ee01314537630f0a
3384141522.0,893cf33a02fffff,22.780756,90.1613644,বানারীপাড়া বাস স্টপ,,"Banaripara bus stop, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","বানারীপাড়া বাস স্টপ, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Barisal,Barisal,BanariPara,Paurashava,bb6d3834f4c4509634809c670fe7abb5
3384170766.0,893cf33a033ffff,22.786797,90.1567561,বানারীপাড়া থানা,,"Banaripara police station, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","বানারীপাড়া থানা, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['police'],[],Bangladesh,Barisal,Barisal,BanariPara,Paurashava,bb6d3834f4c4509634809c670fe7abb5
3385102973.0,893cf33a0abffff,22.7878524,90.1555384,বানারীপাড়া লঞ্চঘাট,['Banaripara Launch Terminal'],"Banaripara Launchghat, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","বানারীপাড়া লঞ্চঘাট, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Barisal,Barisal,BanariPara,Paurashava,bb6d3834f4c4509634809c670fe7abb5
3391152744.0,893cf33a44bffff,22.7904814,90.1271217,বাইশারী ডাকঘর,,"Baishari Post Office, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","বাইশারী ডাকঘর, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['post_office'],[],Bangladesh,Barisal,Barisal,BanariPara,BaisariPara,c9b2da8105786f2bc3f07cbeb4563833
3397345860.0,893cf33a553ffff,22.7999784,90.1486858,বাংলাবাজার লঞ্চঘাট,['Bangla Bazar Boar Terminal'],"Bangla Bazar Launchghat, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","বাংলাবাজার লঞ্চঘাট, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Barisal,Barisal,BanariPara,BaisariPara,c9b2da8105786f2bc3f07cbeb4563833
3397347725.0,893cf33a55bffff,22.7998691,90.1484189,বাংলাবাজার,['Bangla Bazar'],"Bangla Bazar, Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","বাংলাবাজার, বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Barisal,Barisal,BanariPara,BaisariPara,c9b2da8105786f2bc3f07cbeb4563833
4438700321.0,893cf305babffff,22.7760226,90.107185,,,"Banaripara Subdistrict, Barisal District, Barishal Division, Bangladesh","বানারীপাড়া উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",বানারীপাড়া উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['toilets'],[],Bangladesh,Barisal,Barisal,BanariPara,Iluhar,73baf3721554313c989afd570bd50517
4571989402.0,893cf33044bffff,22.8927102,90.1978758,,['Ma Pharmacy'],"Wazirpur Subdistrict, Barisal District, Barishal Division, Bangladesh","উজিরপুর উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",উজিরপুর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Barisal,Barisal,Wazirpur,Sholak,c53806619332a4a0bcde39cc0127a83b
4571997100.0,893cf33045bffff,22.8929335,90.1976649,,['Molla Library'],"Wazirpur Subdistrict, Barisal District, Barishal Division, Bangladesh","উজিরপুর উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",উজিরপুর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['library'],[],Bangladesh,Barisal,Barisal,Wazirpur,Sholak,c53806619332a4a0bcde39cc0127a83b
4572000498.0,893cf33044bffff,22.892133,90.1981656,,['Khondokar Medical Hall'],"Wazirpur Subdistrict, Barisal District, Barishal Division, Bangladesh","উজিরপুর উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",উজিরপুর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['clinic'],[],Bangladesh,Barisal,Barisal,Wazirpur,Sholak,c53806619332a4a0bcde39cc0127a83b
4572010497.0,893cf3315b3ffff,22.8669719,90.1972357,,,"Wazirpur Subdistrict, Barisal District, Barishal Division, Bangladesh","উজিরপুর উপজেলা, বরিশাল জেলা, বরিশাল বিভাগ, বাংলাদেশ",উজিরপুর উপজেলা,বাংলাদেশ,বরিশাল বিভাগ,local_admin,boundaries,['toilets'],[],Bangladesh,Barisal,Barisal,Wazirpur,BaraKotha,afd2c8dbc3d22489628165323a9970e2
