osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2352337332.0,893cf58f3a7ffff,24.8758068,89.1717127,Dupchachia Upazila Health Complex,,"Dupchachia Upazila Health Complex, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","দুপচিয়া উপজিলা স্বাস্থ্য কমপ্লেক্স, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144463056.0,893cf588883ffff,24.8406255,89.103033,Saharpukur Bazar সাহারপুকুর বাজার,,"Saharpukur Bazar, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","সাহারপুকুর বাজার, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,Gobindapur,c2bc7207f7124d30055fbc5eba3d851e
5144463559.0,893cf588887ffff,24.8413677,89.1050327,Saharpukur Bus Stand সাহারপুকুর বাস স্ট্যান্ড,,"Saharpukur Bus Stand, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","সাহারপুকুর বাস স্ট্যান্ড, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,Gobindapur,c2bc7207f7124d30055fbc5eba3d851e
5144497916.0,893cf58f243ffff,24.8527,89.1331079,Chahmoni Bazar চৌহমুনী বাজার,,"Chahmoni Bazar, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","চৌহমুনী বাজার, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,Dhupchanchia,669a814aee945070484293c015127f23
5144520989.0,893cf58f243ffff,24.8526073,89.1321814,Chahomuni Bus Stop চৌহমুনী বাস স্ট্যান্ড,,"Chahomuni Bus Stop, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","চৌহমুনী বাস স্ট্যান্ড, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,Dhupchanchia,669a814aee945070484293c015127f23
5144529244.0,893cf58f227ffff,24.8602968,89.1490394,Bazar Dighi Bus Stop বাজারদিঘী বাস স্ট্যান্ড,,"Bazar Dighi Bus Stop, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","বাজারদিঘী বাস স্ট্যান্ড, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,Dhupchanchia,669a814aee945070484293c015127f23
5144531475.0,893cf58f243ffff,24.8529243,89.1325808,Pharmacy,,"Pharmacy, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","ফার্মাসি, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,Dhupchanchia,669a814aee945070484293c015127f23
5144536135.0,893cf58f227ffff,24.8601362,89.1491373,Bazar Dighi Bazar বাজারদিঘী বাজার,,"Bazar Dighi Bazar, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","বাজারদিঘী বাজার, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,Dhupchanchia,669a814aee945070484293c015127f23
5144539694.0,893cf58c6d3ffff,24.8756907,89.1732126,Dupchanchia Chairman Super Market দুপচাঁচিয়া চেয়ারম্যান সুপার মার্কেট,,"Dupchanchia Chairman Super Market, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","দুপচাঁচিয়া চেয়ারম্যান সুপার মার্কেট, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144543098.0,893cf58c6dbffff,24.8747616,89.1738053,রকি ইলেকট্রনিক্স,,"Rocky Electronics, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","রকি ইলেকট্রনিক্স, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['convenience'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144543562.0,893cf58c6dbffff,24.8750034,89.1736404,কামরুননাহার প্লাজা,,"Plaza of Kamrunnah, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","কামরুননাহার প্লাজা, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144546119.0,893cf58c6d3ffff,24.8760612,89.172782,Sha Ali Restaurant শাহ আলি রেস্টুরেন্ট,,"Sha Ali Restaurant, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","শাহ আলি রেস্টুরেন্ট, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144546249.0,893cf58c6d3ffff,24.875869,89.1730422,Health Complex Bus Stand স্বাস্থ্য কমপ্লেক্স বাস স্ট্যান্ড,,"Health Complex Bus Stand, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","স্বাস্থ্য কমপ্লেক্স বাস স্ট্যান্ড, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144547656.0,893cf58c6d3ffff,24.8765754,89.1727271,R.S Farmacy ( Talukder Market ) তালুকদার মার্কেট,,"R.S Farmacy Talukder Market, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","তালুকদার মার্কেট, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144548944.0,893cf58c6d3ffff,24.8762249,89.1735001,,,"Dubchachia, Bogura District, Rajshahi Division, Bangladesh","বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144550707.0,893cf58c6d7ffff,24.8781128,89.1771682,অগ্রণী ব্যাংক লিমিটেড,"['Agranibank Limited, Dupchanchia']","Agrani Bank Limited, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","অগ্রণী ব্যাংক লিমিটেড, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144554576.0,893cf58c6d7ffff,24.8781202,89.1774722,Main Bus Stand Jame Masjid,,"Main Bus Stand Jame Masjid, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","মেইন বাস স্ট্যান্ড জামে মসজিদ, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144554577.0,893cf58c6d7ffff,24.8780971,89.1777404,Mail Bus Stand ( মেইল বাসষ্ট্যান্ড ),,"Mail Bus Stand, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","মেইল বাসষ্ট্যান্ড, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144567259.0,893cf58c68bffff,24.8785504,89.1816218,Thana Road থানা রোড,,"Thana Road, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","থানা রোড, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144567306.0,893cf58c68bffff,24.8787805,89.1814654,,,"Dubchachia, Bogura District, Rajshahi Division, Bangladesh","বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144568153.0,893cf58c68bffff,24.8786428,89.1818617,General Pharmacy জেনারেল ফার্মেসি,,"General Pharmacy, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","জেনারেল ফার্মেসি, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['pharmacy'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
5144571121.0,893cf58c68bffff,24.8776491,89.1817131,Thana Busstand Baitun Noor Jame Masjid,,"Thana Busstand Baitun Noor Jame Masjid, Dubchachia, Bogura District, Rajshahi Division, Bangladesh","থানা বাসস্ট্যান্ড বাইটুন নূর জামে মসজিদ, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Dubchachia,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Bogra,Dhupchanchia,DhupchanchiaPaurashava,93cd27f4af19bd93e67637ab6acb0a8b
2572045057.0,893cf5a24c7ffff,25.0440325,89.497082,সোনাতলা,['Sonotala'],"Sonatla, Bogura District, Rajshahi Division, Bangladesh","সোনাতলা, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",,বাংলাদেশ,রাজশাহী বিভাগ,admin2,boundaries,['railway_station'],[],Bangladesh,Rajshahi,Bogra,Sonatola,SonatolaPaurashava,fdf2cfde0ff831e622edbf3a17d9d805
3599854443.0,893cf50714bffff,24.668835,89.4174274,ডাচ-বাংলা ব্যাংক,['Dutch Bangla Bank'],"Dutch-Bangla Bank, Sherpur Bogra, Bogura District, Rajshahi Division, Bangladesh","ডাচ-বাংলা ব্যাংক, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Sherpur (Bogra),বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Rajshahi,Bogra,Sherpur,SherpurPaurashava,ee38be46550c6afa8ab9b9d202de9485
4875539606.0,893cf50ee73ffff,24.555661,89.4375989,Bhabanipur Bazar,['ভবানীপুর বাজার'],"Bhabanipur Bazar, Sherpur Bogra, Bogura District, Rajshahi Division, Bangladesh","ভবানীপুর বাজার, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Sherpur (Bogra),বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Bogra,Sherpur,Bhabanipur,a04f6b5722d014800ed78e624ddd17cb
5146809897.0,893cf507583ffff,24.7001588,89.4009888,গাড়ীদহ বাজার বাস স্টপ,,"Caradah Bazaar Bus Stop, Sherpur Bogra, Bogura District, Rajshahi Division, Bangladesh","গাড়ীদহ বাজার বাস স্টপ, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Sherpur (Bogra),বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Bogra,Sherpur,Garidaha,51509a87263e65380a659ffa3bca608c
5146810081.0,893cf50758fffff,24.6979723,89.4016258,Mannan Department Store মান্নান ডিপার্টমেন্ট স্টোর,,"Mannan Department Store, Sherpur Bogra, Bogura District, Rajshahi Division, Bangladesh","মান্নান ডিপার্টমেন্ট স্টোর, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Sherpur (Bogra),বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['department_store'],[],Bangladesh,Rajshahi,Bogra,Sherpur,Garidaha,51509a87263e65380a659ffa3bca608c
5146811655.0,893cf50758fffff,24.6997157,89.400858,Garidoho Mosque,,"Garidoho Mosque, Sherpur Bogra, Bogura District, Rajshahi Division, Bangladesh","গ্যারিডোহো মসজিদ, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Sherpur (Bogra),বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Bogra,Sherpur,Garidaha,51509a87263e65380a659ffa3bca608c
5146813346.0,893cf507503ffff,24.694142,89.4052947,Kholil Tea Stall খলিল টি স্টল,,"Kholil Tea Stall, Sherpur Bogra, Bogura District, Rajshahi Division, Bangladesh","খলিল টি স্টল, বগুড়া জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Sherpur (Bogra),বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['tea'],[],Bangladesh,Rajshahi,Bogra,Sherpur,Garidaha,51509a87263e65380a659ffa3bca608c
