osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
1731369808,893cf01a233ffff,23.5264682,88.7971289,দর্শনা রেলওয়ে জংশন,['Darshana Railway Junction'],"Darshan Railway Junction, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দর্শনা রেলওয়ে জংশন, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,DarshanaPaurashava,10591cbf160b465144978d7efc91be93
2344160642,893cf0c4d5bffff,23.6142025,88.7627066,Damurhuda Upazila Health Complex,,"Damurhuda Upazila Health Complex, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুরহুদা উপজিলা স্বাস্থ্য কমপ্লেক্স, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Damurhuda,5c4997ff6ceaabefefe21ab6fb517a09
2407514251,893cf01a01bffff,23.5462126,88.793689,Darsana Fire Station,,"Darsana Fire Station, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দারসানা ফায়ার স্টেশন, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['fire_station'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Howli,748178ad3ab8f03c2ab4e204f961aeaf
2407516743,893cf0c5c97ffff,23.5750446,88.7093807,কার্পাসডাঙ্গা ঈদগাহ,['Karpashdanga Eidgah'],"Karpasdanga Eidgah, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","কার্পাসডাঙ্গা ঈদগাহ, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
2407516860,893cf0c434bffff,23.57572,88.7101656,Karpashdanga Bus Stop,,"Karpashdanga Bus Stop, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","কারপাশদঙ্গা বাস স্টপ, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
2407517144,893cf0c5c97ffff,23.5750361,88.7080558,Ajij Filling Station,,"Ajij Filling Station, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","অজিজ ফিলিং স্টেশন, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['fuel'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
4747062822,893cf01a23bffff,23.5244359,88.7954735,Puraton Bazar Haat,,"Puraton Bazar Haat, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","পুরাটন বাজার হাট, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,DarshanaPaurashava,10591cbf160b465144978d7efc91be93
4747062823,893cf0c5c93ffff,23.5749255,88.7053494,Karpasdanga Bazar,,"Karpasdanga Bazar, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","কারপাসদঙ্গা বাজার, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
4747062831,893cf0c423bffff,23.579497,88.7000325,কার্পাশডাঙ্গা নজরুল হাট,['Karpasdanga Nazrul Hat'],"Karpashdanga Nazrul Hat, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","কার্পাশডাঙ্গা নজরুল হাট, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['museum'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
232400128,893cf0c4837ffff,23.60338392,88.77749653,Damuhuda Pilot Girls high School,,"Damuhuda Pilot Girls high School, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুরহুদা পাইলট গার্লস হাই স্কুল, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Damurhuda,5c4997ff6ceaabefefe21ab6fb517a09
232400169,893cf0c495bffff,23.59842346,88.78303724,Wadud Shah Degree College,,"Wadud Shah Degree College, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","ওয়াদুদ শাহ ডিগ্রি কলেজ, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Howli,748178ad3ab8f03c2ab4e204f961aeaf
232400185,893cf0c4833ffff,23.60131725,88.77390362,Damurhuda Model Thana,,"Damurhuda Model Thana, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","দামুরহুদা মডেল থানা, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['police'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Damurhuda,5c4997ff6ceaabefefe21ab6fb517a09
232400697,893cf0c5c87ffff,23.57367897,88.70943122,কার্পাসডাঙ্গা উচ্চ বিদ্যালয়,['Karpashdanga High School'],"Carpasdanga High School, Damurhuda Upazila, Chuadanga District, Khulna Division, Bangladesh","কার্পাসডাঙ্গা উচ্চ বিদ্যালয়, দামুড়হুদা উপজেলা, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",দামুড়হুদা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Chuadanga,Damurhuda,Kapasadanga,323ca9f91e0c23887f15232154eae4a6
2344160641,893cf010663ffff,23.6356794,88.8473986,Chuadanga General Hospital,,"Chuadanga General Hospital, Chuadanga, Chuadanga District, Khulna Division, Bangladesh","চুয়াদঙ্গা জেনারেল হাসপাতাল, চুয়াডাঙ্গা জেলা, খুলনা বিভাগ, বাংলাদেশ",Chuadanga,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Khulna,Chuadanga,ChuadangaSadar,ChuadangaPaurashava,231b28d28750195d1094f2a44a13efd8
