osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2344154848.0,893cf3965cfffff,23.3927365,89.6848321,Boalmari Upazila Health Complex,,"Boalmari Upazila Health Complex, Boalmari, Faridpur District, Dhaka Division, Bangladesh","বোলমারি উপজিলা স্বাস্থ্য কমপ্লেক্স, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",Boalmari,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Dhaka,Faridpur,Boalmari,BoalmariPaurashava,49e1531db91eecb143d3d09c870eceed
2344158202.0,893cf0251a7ffff,23.5447204,89.6295835,Madhukhali Upazila Health Complex,,"Madhukhali Upazila Health Complex, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","মাধুখলি উপজিলা স্বাস্থ্য কমপ্লেক্স, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
2577331355.0,893cf025cd3ffff,23.5467521,89.6307076,মধুখালী,['Madhukhali'],"Honeymoon, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","মধুখালী, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
2577347608.0,893cf396557ffff,23.3898014,89.687563,বোয়ালমারী,['Boalmari'],"Boalmari, Faridpur District, Dhaka Division, Bangladesh","বোয়ালমারী, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",Boalmari,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Dhaka,Faridpur,Boalmari,BoalmariPaurashava,49e1531db91eecb143d3d09c870eceed
5175794223.0,893cf0251bbffff,23.5440547,89.6226257,Madhukhali Bazar kali Bari,,"Madhukhali Bazar kali Bari, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","মাধুখলি বাজার কালী বারী, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['variety_store'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
5175812228.0,893cf0251a3ffff,23.5435958,89.6264884,Madhukhali Bazar,,"Madhukhali Bazar, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","মাধুখলি বাজার, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
5175817466.0,893cf0251afffff,23.543327,89.6266149,Janany Telecom জননী টেলিকম,,"Janany Telecom, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","জননী টেলিকম, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['mobile_phone'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
5175820203.0,893cf025cdbffff,23.5427946,89.6300518,Uzzal Store উজ্জ্বল ষ্টোর,,"Uzzal Store, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","উজ্জ্বল ষ্টোর, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['mall'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
5175821024.0,893cf0251afffff,23.5426517,89.6279104,,,"Madhukhali, Faridpur District, Dhaka Division, Bangladesh","ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
5175825535.0,893cf025cdbffff,23.5424955,89.630158,Madhukhali Bus Stop মধুখালী বাস স্টপ,,"Madhukhali Bus Stop, Madhukhali, Faridpur District, Dhaka Division, Bangladesh","মধুখালী বাস স্টপ, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",Madhukhali,বাংলাদেশ,ঢাকা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Dhaka,Faridpur,Madhukhali,Madhukhali,4c1d86556e4704c52c2deaa18ceeddf5
