osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2332679004.0,893cc4dad27ffff,24.2443695,90.7978091,Katiyadi Upazilla Health Complex,,"Katiyadi Upazilla Health Complex, Katiadi, Kishoreganj District, Dhaka Division, Bangladesh","কাতিয়াদি উপজিলা স্বাস্থ্য কমপ্লেক্স, কিশোরগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",Katiadi,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Dhaka,Kishoreganj,Katiadi,KatiadiPaurashava,e594ecd91bcc0053f9234c7e1375da3f
2408419466.0,893ce26d43bffff,24.4436788,90.7793632,BIAM School,,"BIAM School, Kishoreganj Sadar, Kishoreganj District, Dhaka Division, Bangladesh","বিয়াম স্কুল, কিশোরগঞ্জ সদর উপজেলা, কিশোরগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",কিশোরগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Dhaka,Kishoreganj,KishoreganjSadar,Mahinanda,14db1cfbfde7f009141b3a6ffb34e9ea
2409648570.0,893ce26f3c3ffff,24.4681903,90.7708654,Himu Filling Station,,"Himu Filling Station, Kishoreganj Sadar, Kishoreganj District, Dhaka Division, Bangladesh","হিমু ফিলিং স্টেশন, কিশোরগঞ্জ সদর উপজেলা, কিশোরগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",কিশোরগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['fuel'],[],Bangladesh,Dhaka,Kishoreganj,KishoreganjSadar,Latibabad,fbce201442f36cd900c11656482aef4e
3312647154.0,893ce26d6a3ffff,24.4311076,90.7738902,Nagua Bus Stand,,"Nagua Bus Stand, Kishoreganj Sadar, Kishoreganj District, Dhaka Division, Bangladesh","নাগুয়া বাস স্ট্যান্ড, কিশোরগঞ্জ সদর উপজেলা, কিশোরগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",কিশোরগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Dhaka,Kishoreganj,KishoreganjSadar,KishoreganjPaurashava,35fe2860e3c1e0d6a453c9e69db09705
3312649670.0,893ce26f343ffff,24.4577599,90.7751098,Gaital Bus Stand,,"Gaital Bus Stand, Kishoreganj Sadar, Kishoreganj District, Dhaka Division, Bangladesh","গাইটাল বাস স্ট্যান্ড, কিশোরগঞ্জ সদর উপজেলা, কিশোরগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",কিশোরগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Dhaka,Kishoreganj,KishoreganjSadar,Latibabad,fbce201442f36cd900c11656482aef4e
3312680161.0,893ce26d43bffff,24.4421735,90.7792355,Kishoreganj Sarkari Adorsho Shishu Biddaloy,,"Kishoreganj Sarkari Adorsho Shishu Biddaloy, Kishoreganj Sadar, Kishoreganj District, Dhaka Division, Bangladesh","কিশোরেগঞ্জ সারকারি অ্যাডোরশো শিশু বিদালয়, কিশোরগঞ্জ সদর উপজেলা, কিশোরগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",কিশোরগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['educational_institution'],[],Bangladesh,Dhaka,Kishoreganj,KishoreganjSadar,Mahinanda,14db1cfbfde7f009141b3a6ffb34e9ea
5431108435.0,893ce26894fffff,24.4281273,90.7481548,,,"Kishoreganj Sadar, Kishoreganj District, Dhaka Division, Bangladesh","কিশোরগঞ্জ সদর উপজেলা, কিশোরগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",কিশোরগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['gate'],[],Bangladesh,Dhaka,Kishoreganj,KishoreganjSadar,Maria,e2831f2948008556e63464538078bc1d
5551884670.0,893ce26d2a3ffff,24.4146648,90.7899849,,,"Kishoreganj Sadar, Kishoreganj District, Dhaka Division, Bangladesh","কিশোরগঞ্জ সদর উপজেলা, কিশোরগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",কিশোরগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['gate'],[],Bangladesh,Dhaka,Kishoreganj,KishoreganjSadar,Jasodal,4fffc444444f44cc8230e4fcc5c5fc4c
5551884704.0,893ce26d083ffff,24.4354165,90.7872605,azim uddin high school,,"azim uddin high school, Kishoreganj Sadar, Kishoreganj District, Dhaka Division, Bangladesh","আজিম উডদিন উচ্চ বিদ্যালয়, কিশোরগঞ্জ সদর উপজেলা, কিশোরগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",কিশোরগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Dhaka,Kishoreganj,KishoreganjSadar,KishoreganjPaurashava,35fe2860e3c1e0d6a453c9e69db09705
5580124893.0,893ce26d477ffff,24.4396679,90.7797208,Kishoreganj Club,,"Kishoreganj Club, Kishoreganj Sadar, Kishoreganj District, Dhaka Division, Bangladesh","কিশোরগঞ্জ ক্লাব, কিশোরগঞ্জ সদর উপজেলা, কিশোরগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",কিশোরগঞ্জ সদর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['community_centre'],[],Bangladesh,Dhaka,Kishoreganj,KishoreganjSadar,KishoreganjPaurashava,35fe2860e3c1e0d6a453c9e69db09705
