osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
401422104.0,893cc432b77ffff,24.3250162,91.7871805,,,"Kamalganj Upazila, Moulvibazar District, Sylhet Division, Bangladesh","কমলগঞ্জ উপজেলা, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",কমলগঞ্জ উপজেলা,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['gate'],[],Bangladesh,Sylhet,Maulvibazar,Kamalganj,Kamalganj,9f621397ed0dc4f4fe96cdb8ee87add5
1934293490.0,893cc4a0d33ffff,24.5769943,91.7235483,Kazirbazar Chowmuhna,,"Kazirbazar Chowmuhna, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","কাজিরবাজার চৌমুহনা, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Manumukh,f860568caa32e3163193805400ccefcb
1934296879.0,893cc4a0d3bffff,24.5725385,91.7231157,Kazirbazar,,"Kazirbazar, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","কাজিরবাজার, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
1934304159.0,893cc4a0d07ffff,24.5747241,91.7223164,Kazirbazar Eidgah,,"Kazirbazar Eidgah, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","কাজিরবাজার ইদগাহ, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Manumukh,f860568caa32e3163193805400ccefcb
1934310080.0,893cc4a0d3bffff,24.5748429,91.7227437,Kazirbazar Primary School,,"Kazirbazar Primary School, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","কাজিরবাজার প্রাথমিক বিদ্যালয়, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
1934310081.0,893cc4a0d3bffff,24.5745014,91.7225559,Kazirbazar Aftab Uddin High School,,"Kazirbazar Aftab Uddin High School, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","কাজিরবাজার আফতাব উদদিন উচ্চ বিদ্যালয়, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
1934336694.0,893cc4a0d3bffff,24.5723695,91.7231755,জনতা ব্যাংক (কাজীরবাজার শাখা),"['জনতা ব্যাংক (কাজীরবাজার শাখা)', 'Janata Bank (Kazirbazar Branch)']","Janata Bank Kazir Bazar Branch, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","জনতা ব্যাংক কাজীরবাজার শাখা, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
1934336695.0,893cc4a0d77ffff,24.5720719,91.7226927,Kazirbazar Post Office,,"Kazirbazar Post Office, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","কাজিরবাজার ডাকঘর, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,local_admin,boundaries,['post_office'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
1934369999.0,893cc4a0dc7ffff,24.5764536,91.712104,Nadampur,,"Nadampur, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","নাদামপুর, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Akhailkura,0f098697ccb57c2f5a9c1cbccd01cba3
1934371659.0,893cc4a0d07ffff,24.5764723,91.7207428,Sumari Primary School,,"Sumari Primary School, Jamunia, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","সুমারি প্রাথমিক বিদ্যালয়, জমুনিয়া, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,locality,boundaries,['school'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Manumukh,f860568caa32e3163193805400ccefcb
1934385167.0,893cc4a0d17ffff,24.5772578,91.7198791,Jamunia Puraton Masjid,,"Jamunia Puraton Masjid, Jamunia, Moulavibazar, Moulvibazar District, Sylhet Division, Bangladesh","জামুনিয়া পুরিতন মসজিদ, জমুনিয়া, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",Moulavibazar,বাংলাদেশ,সিলেট বিভাগ,locality,boundaries,['place_of_worship_muslim'],[],Bangladesh,Sylhet,Maulvibazar,MaulviBazarSadar,Manumukh,f860568caa32e3163193805400ccefcb
