osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
280205290.0,893cf550087ffff,24.380248215044745,88.91066207529175,ঢাকা - রাজশাহী মহাসড়ক,"['Rajshahi - Dhaka Highway', 'Dhaka - Rajshahi Highway']","Dhaka - Rajshahi Highway, -, Puthia, Rajshahi District, Rajshahi Division, Bangladesh","ঢাকা রাজশাহী মহাসড়ক, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Puthia,বাংলাদেশ,রাজশাহী বিভাগ,street,,,,Bangladesh,Rajshahi,Natore,NatoreSadar,Kafuria,7fe8d9ee137525ddd32a93d84493e120
280205290.0,893cf550087ffff,24.380248215044745,88.91066207529175,ঢাকা - রাজশাহী মহাসড়ক,"['Rajshahi - Dhaka Highway', 'Dhaka - Rajshahi Highway']","Dhaka - Rajshahi Highway, -, Natore, Rajshahi Division, Bangladesh","ঢাকা রাজশাহী মহাসড়ক, রাজশাহী বিভাগ, বাংলাদেশ",Natore,বাংলাদেশ,রাজশাহী বিভাগ,street,,,,Bangladesh,Rajshahi,Natore,NatoreSadar,Kafuria,7fe8d9ee137525ddd32a93d84493e120
280205290.0,893cf550087ffff,24.380248215044745,88.91066207529175,ঢাকা - রাজশাহী মহাসড়ক,"['Rajshahi - Dhaka Highway', 'Dhaka - Rajshahi Highway']","Dhaka - Rajshahi Highway, -, Puthia, Natore District, Rajshahi Division, Bangladesh","ঢাকা রাজশাহী মহাসড়ক, নাটোর জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Puthia,বাংলাদেশ,রাজশাহী বিভাগ,street,,,,Bangladesh,Rajshahi,Natore,NatoreSadar,Kafuria,7fe8d9ee137525ddd32a93d84493e120
2349386851.0,893cf51985bffff,24.5135663,89.1461038,Singra Upazila Health Complex,,"Singra Upazila Health Complex, Singra, Natore District, Rajshahi Division, Bangladesh","সিংরা উপজিলা স্বাস্থ্য কমপ্লেক্স, নাটোর জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Singra,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Rajshahi,Natore,Singra,SingraPaurashava,57f0e84245c59cc1bdc7d551ce273095
2613295213.0,893cf519a8bffff,24.5046022,89.144603,উপজেলা কেন্দ্রীয় জামে মসজিদ,['Upazila kendriyo Jame Masjid'],"Upazila Central Jame Mosque, Singra, Natore District, Rajshahi Division, Bangladesh","উপজেলা কেন্দ্রীয় জামে মসজিদ, নাটোর জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Singra,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Natore,Singra,SingraPaurashava,57f0e84245c59cc1bdc7d551ce273095
2613296895.0,893cf519a8fffff,24.5049781,89.145472,UNO Office,,"UNO Office, Singra, Natore District, Rajshahi Division, Bangladesh","ইউএনও অফিস, নাটোর জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Singra,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['government'],[],Bangladesh,Rajshahi,Natore,Singra,SingraPaurashava,57f0e84245c59cc1bdc7d551ce273095
5124030379.0,893cf54447bffff,24.3212296,89.1915743,Jame mosjid,,"Jame mosjid, Baraigram, Natore District, Rajshahi Division, Bangladesh","জামে মোসজিড, নাটোর জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Baraigram,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Natore,Baraigram,BaraigramPaurashava,78ffffcb4c6498db072d74712723ee84
5124035266.0,893cf547177ffff,24.3188217,89.1717318,Razzaker moar bus stand,,"Razzaker moar bus stand, Baraigram, Natore District, Rajshahi Division, Bangladesh","রাজহর মোয়ার বাস স্ট্যান্ড, নাটোর জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Baraigram,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Natore,Baraigram,BaraigramPaurashava,78ffffcb4c6498db072d74712723ee84
5124036073.0,893cf547003ffff,24.3157157,89.1423005,Parkol Bazar,,"Parkol Bazar, Baraigram, Natore District, Rajshahi Division, Bangladesh","পার্কল বাজার, নাটোর জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Baraigram,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Natore,Baraigram,Majgaon,fd2af4647d74c7b6756caef50fcf761f
5124036896.0,893cf547023ffff,24.3169873,89.1511254,Baraigram Thana Mor Bus Stand বড়াইগ্রাম থানামোড় বাস স্ট্যান্ড,,"Baraigram Thana Mor Bus Stand, Baraigram, Natore District, Rajshahi Division, Bangladesh","বড়াইগ্রাম থানামোড় বাস স্ট্যান্ড, নাটোর জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Baraigram,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Natore,Baraigram,BaraigramPaurashava,78ffffcb4c6498db072d74712723ee84
