osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2410128201.0,893ce23b3d7ffff,24.8834747,90.7334478,Boro Bazar Mosque,,"Boro Bazar Mosque, Netrokona District, Mymensingh Division, Bangladesh","বোরো বাজার মসজিদ, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['place_of_worship_muslim'],[],Bangladesh,Mymensingh,Netrakona,NetrokonaSadar,NetrokonaPaurashava,2289aa39fd9174d3437b17088bf1f0c7
3558445433.0,893ce23b35bffff,24.8717045,90.7338985,ASA NGO,,"ASA NGO, Netrokona District, Mymensingh Division, Bangladesh","এএসএ এনজিও, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['ngo'],[],Bangladesh,Mymensingh,Netrakona,NetrokonaSadar,NetrokonaPaurashava,2289aa39fd9174d3437b17088bf1f0c7
3558445434.0,893ce23b35bffff,24.8710544,90.7333343,"Civil Surgeon Office, Netrokona",,"Civil Surgeon Office Netrokona, Netrokona District, Mymensingh Division, Bangladesh","সিভিল সার্জন অফিস নেত্রোকোনা, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['government'],[],Bangladesh,Mymensingh,Netrakona,NetrokonaSadar,NetrokonaPaurashava,2289aa39fd9174d3437b17088bf1f0c7
3558445435.0,893ce23b35bffff,24.8713797,90.7338547,Diagonostic Center,,"Diagonostic Center, Netrokona District, Mymensingh Division, Bangladesh","ডায়াগনস্টিক সেন্টার, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['clinic'],[],Bangladesh,Mymensingh,Netrakona,NetrokonaSadar,NetrokonaPaurashava,2289aa39fd9174d3437b17088bf1f0c7
3558445436.0,893ce23b35bffff,24.8713837,90.7328864,Netrokona Nursing Institute,,"Netrokona Nursing Institute, Netrokona District, Mymensingh Division, Bangladesh","নেট্রোকোনা নার্সিং ইনস্টিটিউট, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['college'],[],Bangladesh,Mymensingh,Netrakona,NetrokonaSadar,NetrokonaPaurashava,2289aa39fd9174d3437b17088bf1f0c7
3558445437.0,893ce23b35bffff,24.8717249,90.7321918,Netrokona Sadar Hospital,,"Netrokona Sadar Hospital, Netrokona District, Mymensingh Division, Bangladesh","নেত্রোকোনা সদর হাসপাতাল, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['hospital'],[],Bangladesh,Mymensingh,Netrakona,NetrokonaSadar,NetrokonaPaurashava,2289aa39fd9174d3437b17088bf1f0c7
3558445438.0,893ce23b35bffff,24.8708574,90.7329536,Sub Tax Commissioner Office,,"Sub Tax Commissioner Office, Netrokona District, Mymensingh Division, Bangladesh","সাব ট্যাক্স কমিশনার অফিস, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['government'],[],Bangladesh,Mymensingh,Netrakona,NetrokonaSadar,NetrokonaPaurashava,2289aa39fd9174d3437b17088bf1f0c7
3558445439.0,893ce23b34bffff,24.8708332,90.7341675,Tori Madokasokto Niramoy Kendro,,"Tori Madokasokto Niramoy Kendro, Netrokona District, Mymensingh Division, Bangladesh","তোরি মাদোকাসোক্টো নিরাময় কেন্ড্রো, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['clinic'],[],Bangladesh,Mymensingh,Netrakona,NetrokonaSadar,NetrokonaPaurashava,2289aa39fd9174d3437b17088bf1f0c7
3558487502.0,893ce23b347ffff,24.8739995,90.7392022,Ahasan Society,,"Ahasan Society, Netrokona District, Mymensingh Division, Bangladesh","আহাসন সোসাইটি, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['company'],[],Bangladesh,Mymensingh,Netrakona,NetrokonaSadar,NetrokonaPaurashava,2289aa39fd9174d3437b17088bf1f0c7
3558487503.0,893ce23b34bffff,24.8708629,90.7344031,Anondo Niketon Kindergarten,,"Anondo Niketon Kindergarten, Netrokona District, Mymensingh Division, Bangladesh","অননডো নিকেটন কিন্ডারগার্টেন, নেত্রকোনা জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",,বাংলাদেশ,ময়মনসিংহ বিভাগ,admin2,boundaries,['kindergarten'],[],Bangladesh,Mymensingh,Netrakona,NetrokonaSadar,NetrokonaPaurashava,2289aa39fd9174d3437b17088bf1f0c7
