osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2543961100,893c190d227ffff,26.2431402,88.7963052,চিলাহাটি,['Chilahati'],"Chilahati, Domar Upazila, Nilphamari District, Rangpur Division, Bangladesh","চিলাহাটি, ডোমার উপজেলা, নীলফামারী জেলা, রংপুর বিভাগ, বাংলাদেশ",ডোমার উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rangpur,Nilphamari,Domar,Bhogdabari,c2fb4b605affb065cbfbbece94dbe490
5104644502,893c1978077ffff,26.0057391,88.7483558,,,"Nilphamari Sadar Upazila, Nilphamari District, Rangpur Division, Bangladesh","নীলফামারী সদর উপজেলা, নীলফামারী জেলা, রংপুর বিভাগ, বাংলাদেশ",নীলফামারী সদর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Rangpur,Nilphamari,NilphamariSadar,Gorgram,fdd116d8c6d8c9cd3d9187f6f15db39d
5293439322,893c1978383ffff,26.0027831,88.7568518,,['Nillsagar'],"Nilphamari Sadar Upazila, Nilphamari District, Rangpur Division, Bangladesh","নীলফামারী সদর উপজেলা, নীলফামারী জেলা, রংপুর বিভাগ, বাংলাদেশ",নীলফামারী সদর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Rangpur,Nilphamari,NilphamariSadar,Gorgram,fdd116d8c6d8c9cd3d9187f6f15db39d
5293444821,893c197988fffff,25.9658049,88.7715429,M.D.R High School,"['মুশরতগোড়গ্রাম, দুকুড়ী, রামকলা (এম,ডি,আর)উচ্চ বিদ্যালয়', 'M.D.R High School']","M.D.R High School, Nilphamari Sadar Upazila, Nilphamari District, Rangpur Division, Bangladesh","এমডিআর হাই স্কুল, নীলফামারী সদর উপজেলা, নীলফামারী জেলা, রংপুর বিভাগ, বাংলাদেশ",নীলফামারী সদর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Rangpur,Nilphamari,NilphamariSadar,Gorgram,fdd116d8c6d8c9cd3d9187f6f15db39d
5667881738,893c19782a3ffff,25.995299,88.7412722,,,"Khansama, Dinajpur District, Rangpur Division, Bangladesh","দিনাজপুর জেলা, রংপুর বিভাগ, বাংলাদেশ",Khansama,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Rangpur,Nilphamari,NilphamariSadar,Gorgram,fdd116d8c6d8c9cd3d9187f6f15db39d
557556834,893c1978ecbffff,26.00099107,88.77600764,,,"Nilphamari Sadar Upazila, Nilphamari District, Rangpur Division, Bangladesh","নীলফামারী সদর উপজেলা, নীলফামারী জেলা, রংপুর বিভাগ, বাংলাদেশ",নীলফামারী সদর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['ford'],[],Bangladesh,Rangpur,Nilphamari,NilphamariSadar,ChaoraBargachha,6c63d08706f46e017cdf0fb70370346c
835161457,893c1ba6b33ffff,25.794233,88.890722,Chini Masjid,,"Chini Masjid, Saidpur, Nilphamari District, Rangpur Division, Bangladesh","চিনি মসজিদ, সৈয়দপুর উপজেলা, নীলফামারী জেলা, রংপুর বিভাগ, বাংলাদেশ",সৈয়দপুর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rangpur,Nilphamari,Saidpur,Paurashava,8936068c9e40975278e943eabb822680
1412090876,893c1ba6b33ffff,25.7925449,88.8900156,সৈয়দপুর,['Saidpur'],"Saidpur, Nilphamari District, Rangpur Division, Bangladesh","সৈয়দপুর, সৈয়দপুর উপজেলা, নীলফামারী জেলা, রংপুর বিভাগ, বাংলাদেশ",সৈয়দপুর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rangpur,Nilphamari,Saidpur,Paurashava,8936068c9e40975278e943eabb822680
1412092716,893c196a04fffff,25.9490764,88.8358417,নীলফামারী রেল স্টেশন,"['নীলফামারী রেল স্টেশন', 'Nilphamari']","Nilphamari Rail Station, Nilphamari Sadar Upazila, Nilphamari District, Rangpur Division, Bangladesh","নীলফামারী রেল স্টেশন, নীলফামারী সদর উপজেলা, নীলফামারী জেলা, রংপুর বিভাগ, বাংলাদেশ",নীলফামারী সদর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rangpur,Nilphamari,NilphamariSadar,Paurashava,f4062efff46ab26a7db0879d2a5718fb
1534651319,893c1ba69c7ffff,25.8159083,88.8814903,,,"Saidpur, Nilphamari District, Rangpur Division, Bangladesh","সৈয়দপুর উপজেলা, নীলফামারী জেলা, রংপুর বিভাগ, বাংলাদেশ",সৈয়দপুর উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rangpur,Nilphamari,Saidpur,Bothlagari,2725fefa4b08d57a85a2a3e09d306071
