osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
5153087849.0,893cf0b2d37ffff,24.0827547,89.1755809,Ganti Post Office,,"Ganti Post Office, Pabna, Pabna District, Rajshahi Division, Bangladesh","গান্তি পোস্ট অফিস, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Pabna,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['post_office'],[],Bangladesh,Rajshahi,Pabna,PabnaSadar,Dapunia,4d34919d579fe5a9f742515c3004db55
5153110363.0,893cf0b2d37ffff,24.0824306,89.1763491,Haji Market হাজী মার্কেট,,"Haji Market, Pabna, Pabna District, Rajshahi Division, Bangladesh","হাজী মার্কেট, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Pabna,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Pabna,PabnaSadar,Dapunia,4d34919d579fe5a9f742515c3004db55
5153111343.0,893cf0b74d7ffff,24.0761516,89.1983769,Seed Goddown Bazzar Pabna,,"Seed Goddown Bazzar Pabna, Pabna, Pabna District, Rajshahi Division, Bangladesh","বীজ গোডাউন বাজার পাবনা, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Pabna,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rajshahi,Pabna,PabnaSadar,Maligachha,d610de28093686b458eb8d45ff536fb5
5153123043.0,893cf0b2d37ffff,24.0821144,89.1763891,Atmail Bus Station,,"Atmail Bus Station, Pabna, Pabna District, Rajshahi Division, Bangladesh","আতমেল বাস স্টেশন, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Pabna,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Pabna,PabnaSadar,Dapunia,4d34919d579fe5a9f742515c3004db55
5153123163.0,893cf54d32bffff,24.0923065,89.157402,কালিকাপুর,,"Clerk, Iswardi, Pabna District, Rajshahi Division, Bangladesh","কালিকাপুর, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
5153203779.0,893cf54d00bffff,24.1086723,89.1289901,Art Cottage Technologies,,"Art Cottage Technologies, Iswardi, Pabna District, Rajshahi Division, Bangladesh","আর্ট কটেজ প্রযুক্তি, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['artwork'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
5153226040.0,893cf54d0c7ffff,24.1119918,89.1224386,Dutch-Bangla Bank Limited Fast Track,['ডাচ-বাংলা ব্যাংক লিমিটেড ফার্স্ট ট্র্যাক'],"Dutch-Bangla Bank Limited Fast Track, Iswardi, Pabna District, Rajshahi Division, Bangladesh","ডাচ-ব্যাংলা ব্যাংক লিমিটেড দ্রুত ট্র্যাক, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
5153226306.0,893cf54d0d7ffff,24.1127494,89.1216409,Dashuria Bus Station,,"Dashuria Bus Station, Iswardi, Pabna District, Rajshahi Division, Bangladesh","দাশুরিয়া বাস স্টেশন, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
5153226490.0,893cf54d0c3ffff,24.1121484,89.1214142,হাজী বিরানি হাউজ,,"Haji Barani House, Iswardi, Pabna District, Rajshahi Division, Bangladesh","হাজী বিরানি হাউজ, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Silimpur,7d71b0f5de9ede75bb5fcea9be20b4c4
5153227041.0,893cf54d0d7ffff,24.1123675,89.1216623,Dashuria circle,,"Dashuria circle, Iswardi, Pabna District, Rajshahi Division, Bangladesh","দাশুরিয়া সার্কেল, পাবনা জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Iswardi,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['monument'],[],Bangladesh,Rajshahi,Pabna,Ishwardi,Dashuria,abb29998fb26f24bd5332565c439d324
