osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
410133273,893cf1c86afffff,23.7346108,89.6569274,Unknown,,"Unknown, Rajbari, Rajbari District, Dhaka Division, Bangladesh","অজানা, রাজবাড়ী জেলা, ঢাকা বিভাগ, বাংলাদেশ",Rajbari,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['fuel'],[],Bangladesh,Dhaka,Rajbari,RajbariSadar,Dadshi,1d82911558d0d5927fec162043412e45
410141133,893cf1c86a3ffff,23.737465,89.6561492,,,"Rajbari, Rajbari District, Dhaka Division, Bangladesh","রাজবাড়ী জেলা, ঢাকা বিভাগ, বাংলাদেশ",Rajbari,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Dhaka,Rajbari,RajbariSadar,Dadshi,1d82911558d0d5927fec162043412e45
2365517031,893cf1c84c3ffff,23.7499925,89.6476795,Rajbari General Hospital,,"Rajbari General Hospital, Rajbari, Rajbari District, Dhaka Division, Bangladesh","রাজবাড়ি জেনারেল হাসপাতাল, রাজবাড়ী জেলা, ঢাকা বিভাগ, বাংলাদেশ",Rajbari,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Dhaka,Rajbari,RajbariSadar,RajbariPaurashava,f60ce0136275d60203ba667167c37648
2344447512,893cf0aceabffff,23.7909362,89.425505,Pangsha Upazila Health Complex,,"Pangsha Upazila Health Complex, Pangsa, Rajbari District, Dhaka Division, Bangladesh","পাঙ্গশা উপজিলা স্বাস্থ্য কমপ্লেক্স, রাজবাড়ী জেলা, ঢাকা বিভাগ, বাংলাদেশ",Pangsa,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Dhaka,Rajbari,Pangsha,PangshaPaurashava,db5d434668bb5af4ded934024316fdd4
2429202296,893cf0ace17ffff,23.7888015,89.422511,Pangsha George Pilot High School,,"Pangsha George Pilot High School, Pangsa, Rajbari District, Dhaka Division, Bangladesh","পাংশা জর্জ পাইলট উচ্চ বিদ্যালয়, রাজবাড়ী জেলা, ঢাকা বিভাগ, বাংলাদেশ",Pangsa,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Dhaka,Rajbari,Pangsha,PangshaPaurashava,db5d434668bb5af4ded934024316fdd4
2429203402,893cf0ace17ffff,23.7901746,89.421326,Pangsha University College,,"Pangsha University College, Pangsa, Rajbari District, Dhaka Division, Bangladesh","প্যাংসা বিশ্ববিদ্যালয় কলেজ, রাজবাড়ী জেলা, ঢাকা বিভাগ, বাংলাদেশ",Pangsa,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Dhaka,Rajbari,Pangsha,PangshaPaurashava,db5d434668bb5af4ded934024316fdd4
2429203591,893cf0ace17ffff,23.787979,89.4215079,Siddikia Madrasha,,"Siddikia Madrasha, Pangsa, Rajbari District, Dhaka Division, Bangladesh","সিদ্দিয়া মাদ্রাশা, রাজবাড়ী জেলা, ঢাকা বিভাগ, বাংলাদেশ",Pangsa,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Dhaka,Rajbari,Pangsha,PangshaPaurashava,db5d434668bb5af4ded934024316fdd4
2429206696,893cf0ace1bffff,23.7861527,89.4171519,পাংশা,"['পাংশা রেলওয়ে স্টেশন', 'Pangsha Railway Station']","Panga, Pangsa, Rajbari District, Dhaka Division, Bangladesh","পাংশা, রাজবাড়ী জেলা, ঢাকা বিভাগ, বাংলাদেশ",Pangsa,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Dhaka,Rajbari,Pangsha,PangshaPaurashava,db5d434668bb5af4ded934024316fdd4
2429300287,893cf0ac327ffff,23.7810486,89.4089785,Moishala Bus Stop,,"Moishala Bus Stop, Pangsa, Rajbari District, Dhaka Division, Bangladesh","মোশালা বাস স্টপ, রাজবাড়ী জেলা, ঢাকা বিভাগ, বাংলাদেশ",Pangsa,বাংলাদেশ,ঢাকা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Dhaka,Rajbari,Pangsha,PangshaPaurashava,db5d434668bb5af4ded934024316fdd4
2577322733,893cf03658fffff,23.7681463,89.4804096,কালুখালী জংশন,['Kalukhali Junction'],"Kalukhali junction, Pangsa, Rajbari District, Dhaka Division, Bangladesh","কালুখালী জংশন, রাজবাড়ী জেলা, ঢাকা বিভাগ, বাংলাদেশ",Pangsa,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Dhaka,Rajbari,Kalukhali,Ratandia,576f2661011087240efda82f64c15a5e
