osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
2344453917.0,893cf4a83d3ffff,24.4737703,88.3239856,Godagari Upazila Health Complex,,"Godagari Upazila Health Complex, Godagari, Rajshahi District, Rajshahi Division, Bangladesh","গডাগরী উপজিলা স্বাস্থ্য কমপ্লেক্স, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Godagari,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Rajshahi,Rajshahi,Godagari,GodagariPaurashava,b3830cc58618b2d8df205ccf3e63aeb4
5132799376.0,893cf43268fffff,24.4322421,88.3904117,Nice Mistanna Vander,,"Nice Mistanna Vander, Godagari, Rajshahi District, Rajshahi Division, Bangladesh","সুন্দর মিসান্না ভ্যান্ডার, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Godagari,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rajshahi,Rajshahi,Godagari,Matikata,a5b8834deeb27ae326ee1dd0904ded29
5132800830.0,893cf43268fffff,24.4320932,88.390287,Gopalpur Bus Stop,,"Gopalpur Bus Stop, Godagari, Rajshahi District, Rajshahi Division, Bangladesh","গোপালপুর বাস স্টপ, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Godagari,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Rajshahi,Godagari,Matikata,a5b8834deeb27ae326ee1dd0904ded29
5132848455.0,893cf4a9cafffff,24.4548238,88.3381713,C&B Jame Masjid সিএন্ডবি জামে মসজিদ,,"C&B Jame Masjid, Godagari, Rajshahi District, Rajshahi Division, Bangladesh","সিএন্ডবি জামে মসজিদ, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Godagari,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Rajshahi,Rajshahi,Godagari,GodagariPaurashava,b3830cc58618b2d8df205ccf3e63aeb4
5132849100.0,893cf4a9cb3ffff,24.4591153,88.331646,Mahishalbari Bus Stop,,"Mahishalbari Bus Stop, Godagari, Rajshahi District, Rajshahi Division, Bangladesh","মহিশালবাড়ী বাস স্টপ, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Godagari,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Rajshahi,Godagari,GodagariPaurashava,b3830cc58618b2d8df205ccf3e63aeb4
5132849307.0,893cf4a834bffff,24.4597592,88.3294361,Mohisalbari Secondary Girls School,,"Mohisalbari Secondary Girls School, Godagari, Rajshahi District, Rajshahi Division, Bangladesh","মহিসালবারি মাধ্যমিক গার্লস স্কুল, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Godagari,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Rajshahi,Rajshahi,Godagari,GodagariPaurashava,b3830cc58618b2d8df205ccf3e63aeb4
5132857435.0,893cf4a83cbffff,24.4665944,88.325545,TOIMUR Hotel and Restaurant,,"TOIMUR Hotel and Restaurant, Godagari, Rajshahi District, Rajshahi Division, Bangladesh","টোমুর হোটেল এবং রেস্তোঁরা, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Godagari,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rajshahi,Rajshahi,Godagari,GodagariPaurashava,b3830cc58618b2d8df205ccf3e63aeb4
5132878338.0,893cf4a83cbffff,24.4681196,88.3238726,Dilkhos Hotel and mistanno vandar 2,,"Dilkhos Hotel and mistanno vandar 2, Godagari, Rajshahi District, Rajshahi Division, Bangladesh","দিলখোস হোটেল এবং মিসান্নো ভান্দার 2, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Godagari,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rajshahi,Rajshahi,Godagari,GodagariPaurashava,b3830cc58618b2d8df205ccf3e63aeb4
5132879753.0,893cf4a83dbffff,24.468468,88.3238926,Godagari Bus Stop,,"Godagari Bus Stop, Godagari, Rajshahi District, Rajshahi Division, Bangladesh","গডাগারি বাস স্টপ, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Godagari,বাংলাদেশ,রাজশাহী বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rajshahi,Rajshahi,Godagari,GodagariPaurashava,b3830cc58618b2d8df205ccf3e63aeb4
5132892169.0,893cf4a83dbffff,24.4685049,88.3236055,Bismillah Hotel বিসমিল্লাহ হোটেল,,"Bismillah Hotel, Godagari, Rajshahi District, Rajshahi Division, Bangladesh","বিসমিল্লাহ হোটেল, রাজশাহী জেলা, রাজশাহী বিভাগ, বাংলাদেশ",Godagari,বাংলাদেশ,রাজশাহী বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rajshahi,Rajshahi,Godagari,GodagariPaurashava,b3830cc58618b2d8df205ccf3e63aeb4
