osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
3711534034.0,893cf16b577ffff,23.3715277,90.2966638,Kazir Hat,,"Kazir Hat, Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","কাজির টুপি, জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,PurbaNaodoba,58adc8ffaae5f991f9b63b45bc340e36
3711548461.0,893cf17997bffff,23.4070873,90.2819753,Mazir Ghat,,"Mazir Ghat, Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","মজির ঘাট, জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['ferry_terminal'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
3712965320.0,893cf16b043ffff,23.3467701,90.2807995,Club Mor,,"Club Mor, Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","ক্লাব মুর, জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,SenerChar,4ced0e6346279d881fca5a36b90b6a31
7469486208.0,893cf17994fffff,23.4067375,90.2782299,Painpara Post office,,"Painpara Post office, ","পেইনপ্যার পোস্ট অফিস, ",জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,housenumber,sameSource,['post_office'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
7469491716.0,893cf17997bffff,23.4058021,90.2814294,New Rogmukti Pharmacy,,"New Rogmukti Pharmacy, ","নতুন রোগমুকতি ফার্মাসি, ",জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,housenumber,sameSource,['doctors'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
8170712062.0,893cf17997bffff,23.4060116,90.2799402,আইটি প্যালেস কম্পিউটার ট্রেনিং সেন্টার,,"IT Palace Computer Training Center, Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","আইটি প্যালেস কম্পিউটার ট্রেনিং সেন্টার, জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['educational_institution'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
367204257.0,893cf16b383ffff,23.34787262,90.29887491,Kazir Hat,,"Kazir Hat, Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","কাজির টুপি, জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,ZanjiraPaurashava,c6f9a9058dd96f5759086c337d193af3
601621298.0,893cf179847ffff,23.40172367,90.25549311,,,"Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
601621357.0,893cf17987bffff,23.39970208,90.25669981,,,"Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['pitch'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
601621364.0,893cf17987bffff,23.40009826,90.25668261,,,"Zajira Upazila, Shariatpur District, Dhaka Division, Bangladesh","জাজিরা উপজেলা, শরিয়তপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",জাজিরা উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['pitch'],[],Bangladesh,Dhaka,Shariatpur,Zanjira,Naodoba,6ef5d7941bad74b9ba995405a52ad496
