osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
367887016.0,893cf190bd7ffff,24.3394869,89.924802,,,"Kalihati, Tangail District, Dhaka Division, Bangladesh","টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",Kalihati,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['bump'],[],Bangladesh,Dhaka,Tangail,Kalihati,Elenga,031435dfacd83bf4bcccaea80ee4f539
367887050.0,893cf1962b3ffff,24.4386075,89.9857172,,,"Ghatail, Tangail District, Dhaka Division, Bangladesh","টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",Ghatail,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['bump'],[],Bangladesh,Dhaka,Tangail,Ghatail,Digar,ae67cd148d77ef7ce0492964c113b525
835158789.0,893cf18160bffff,24.184346,89.911331,Atiya Masjid,,"Atiya Masjid, Delduar, Tangail District, Dhaka Division, Bangladesh","আতিয়া মসজিদ, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",Delduar,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Dhaka,Tangail,Delduar,Pathrail,e91c421529926c3e5c69d41b8a482fe2
2305804517.0,893ce2c92bbffff,24.745597,89.936509,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['kiosk'],[],Bangladesh,Dhaka,Tangail,Dhanbari,Baniajan,27fc685e162e383ef3e6ccb355b060dd
2305807520.0,893cf526cd3ffff,24.727821,89.941205,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['fast_food'],[],Bangladesh,Dhaka,Tangail,Dhanbari,Dhanbari,973595076810fd94e48f62d3a3346b19
2305808025.0,893cf526c43ffff,24.718641,89.946632,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['kiosk'],[],Bangladesh,Dhaka,Tangail,Dhanbari,Dhanbari,973595076810fd94e48f62d3a3346b19
2305809717.0,893cf526e77ffff,24.700515,89.951473,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['kiosk'],[],Bangladesh,Dhaka,Tangail,Dhanbari,DhanbariPaurashava,b6b52b67d81c1f7cacfd02fc5bf00806
2305811655.0,893cf524193ffff,24.676714,89.951922,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['kiosk'],[],Bangladesh,Dhaka,Tangail,Dhanbari,DhanbariPaurashava,b6b52b67d81c1f7cacfd02fc5bf00806
2305811730.0,893cf524117ffff,24.6684,89.959151,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['kiosk'],[],Bangladesh,Dhaka,Tangail,Dhanbari,DhanbariPaurashava,b6b52b67d81c1f7cacfd02fc5bf00806
2305811731.0,893cf524117ffff,24.668132,89.959275,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['kiosk'],[],Bangladesh,Dhaka,Tangail,Dhanbari,DhanbariPaurashava,b6b52b67d81c1f7cacfd02fc5bf00806
2305812066.0,893cf524e53ffff,24.645065,89.968221,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['monument'],[],Bangladesh,Dhaka,Tangail,Dhanbari,Dhopakhali,075e16b816796f77467c78aefad78194
2305812213.0,893cf525dbbffff,24.636037,89.973011,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['kiosk'],[],Bangladesh,Dhaka,Tangail,Dhanbari,Dhopakhali,075e16b816796f77467c78aefad78194
2305812342.0,893cf525dabffff,24.632811,89.974609,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['kiosk'],[],Bangladesh,Dhaka,Tangail,Dhanbari,Dhopakhali,075e16b816796f77467c78aefad78194
2305812453.0,893cf525d23ffff,24.627459,89.979606,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['kiosk'],[],Bangladesh,Dhaka,Tangail,Dhanbari,Dhopakhali,075e16b816796f77467c78aefad78194
2305812483.0,893cf525997ffff,24.624169,89.986393,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['monument'],[],Bangladesh,Dhaka,Tangail,Dhanbari,Dhopakhali,075e16b816796f77467c78aefad78194
2305812561.0,893cf5259b3ffff,24.622143,89.989972,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['kiosk'],[],Bangladesh,Dhaka,Tangail,Madhupur,Golabari,7341739b91bacaedd1c32bd74fb463e9
2305813398.0,893cf525937ffff,24.616561,89.998652,,,"Madhupur Upazila, Tangail District, Dhaka Division, Bangladesh","মধুপুর উপজেলা, টাঙ্গাইল জেলা, ঢাকা বিভাগ, বাংলাদেশ",মধুপুর উপজেলা,বাংলাদেশ,ঢাকা বিভাগ,local_admin,boundaries,['fast_food'],[],Bangladesh,Dhaka,Tangail,Madhupur,Golabari,7341739b91bacaedd1c32bd74fb463e9
