osm_id,h3level9,lat,lon,name,alt_names,name_en,name_bn,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
1412090871.0,893c1949053ffff,25.859262,88.3578266,পীরগঞ্জ,"['পীরগঞ্জ', 'Pirganj']","Pirganj, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","পীরগঞ্জ, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['railway_station'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
4402116589.0,893c195952bffff,25.984854,88.2505923,,['nekmorad'],"Ranisankail Upazila, Thakurgaon District, Rangpur Division, Bangladesh","রাণীশংকৈল উপজেলা, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",রাণীশংকৈল উপজেলা,বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Rangpur,Thakurgaon,Ranisankail,Nekmarad,e3f8833fda395bad35798850921b9df3
5203789326.0,893c1949073ffff,25.8597128,88.3671155,Pirganj-Dinajpur Bus-Tarminal,,"Pirganj-Dinajpur Bus-Tarminal, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","বীরগঞ্জ-দিনজপুর বাস-টার্মিনাল, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203795612.0,893c1949043ffff,25.8573198,88.3606963,Priyanka Restaurant প্রিয়াংকা রেস্তোরাঁ,,"Priyanka Restaurant, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","প্রিয়াংকা রেস্তোরাঁ, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203797382.0,893c1949043ffff,25.8573282,88.3610222,Pirganj East Chourasta Bus Stop,,"Pirganj East Chourasta Bus Stop, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","পিরগঞ্জ পূর্ব চুরাস্তা বাস স্টপ, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203799441.0,893c1949043ffff,25.8572032,88.3606524,Jakir Hotel জাকির হোটেল,,"Jakir Hotel, ","জাকির হোটেল, ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,housenumber,contains,['restaurant'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203799446.0,893c1949043ffff,25.8571383,88.3604806,অগ্রণী ব্যাংক,"['অগ্রণী ব্যাংক', 'Agrani Bank']","Agrani Bank, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","অগ্রণী ব্যাংক, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203799488.0,893c1949043ffff,25.8569787,88.3603654,,,"Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203799495.0,893c1949043ffff,25.8569402,88.359878,Pirganj BRTC Bus Stop,,"Pirganj BRTC Bus Stop, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","পিরগঞ্জ বিআরটিসি বাস স্টপ, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203802345.0,893c1949043ffff,25.8567391,88.3587231,,,"Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203802666.0,893c1949043ffff,25.8565191,88.3588404,Somobai Super Market,,"Somobai Super Market, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","সোমোবাই সুপার মার্কেট, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203802825.0,893c1949043ffff,25.8554423,88.3593143,তরিকুল চা স্টোর,,"Tariqul Tea Store, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","তরিকুল চা স্টোর, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['tea'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203803459.0,893c1949043ffff,25.8553593,88.3586877,Kamal Tea Stall,,"Kamal Tea Stall, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","কমল চা স্টল, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['tea'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203804141.0,893c1949043ffff,25.8560125,88.358843,saimum garments সাইমুম গার্মেন্টস,,"saimum garments, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","সাইমুম গার্মেন্টস, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['clothes'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203804239.0,893c1949043ffff,25.8555098,88.358981,Owashu Restaurant ওয়াসু রেস্তোরাঁ,,"Owashu Restaurant, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","ওয়াসু রেস্তোরাঁ, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203804305.0,893c1949043ffff,25.8558862,88.3588474,bikrampur fashion,,"bikrampur fashion, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","বিক্রমপুর ফ্যাশন, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['clothes'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203805723.0,893c1949043ffff,25.8563491,88.358524,Mitalee Restaurant,,"Mitalee Restaurant, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","মিটালির রেস্তোঁরা, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203806069.0,893c1949043ffff,25.8564527,88.3581184,Bonoful Restaurant,,"Bonoful Restaurant, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","বোনোফুল রেস্তোঁরা, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
5203806478.0,893c1949043ffff,25.8563301,88.3583777,Pirganj West Chourasta Bus Stop পীরগঞ্জ পশ্চিম চৌরাস্তা বাস স্ট্যান্ড,,"Pirganj West Chourasta Bus Stop, Pirganj Thakurgaon, Thakurgaon District, Rangpur Division, Bangladesh","পীরগঞ্জ পশ্চিম চৌরাস্তা বাস স্ট্যান্ড, ঠাকুরগাঁও জেলা, রংপুর বিভাগ, বাংলাদেশ",Pirganj (Thakurgaon),বাংলাদেশ,রংপুর বিভাগ,local_admin,boundaries,['bus_station'],[],Bangladesh,Rangpur,Thakurgaon,Pirganj,Paurashava,3379f3e501b9d6ccfec541f1123c075e
